"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type_","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","time","sunrise_time","num_males_observed","num_females_observed","comments_observations_or_marks","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder, floppy","18","1988","4","14","5:38","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Hazy on Horizons","Clear no frost","raptor ","6:26","strut","white","430","W430","red","178","R178","adult",NA,"6:33",NA,NA,NA,"6:34","6:39","4","4","4, 0","no one around","stand off with BB ",NA,"no","no","yes","6:26: raptor flew over and hens squatted down to hide males didn't. 6:30 all females moved out to NE. BB and WR are in a continual stand off with no actual fighting. By 7:00 am Just about all activity stopped. "
"binder","18","1988","4","14","5:38","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Hazy on Horizons","Clear no frost","raptor ","6:26","observation",NA,NA,NA,NA,NA,NA,NA,"6:09","6:33","8","6","only males left, unmarked male stuts around stake probably master cock. Hens and some males take off to NE ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:26: raptor flew over and hens squatted down to hide males didn't. 6:30 all females moved out to NE. BB and WR are in a continual stand off with no actual fighting. By 7:00 am Just about all activity stopped. "
"binder","18","1988","4","14","5:38","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Hazy on Horizons","Clear no frost","raptor ","6:26","observation",NA,NA,NA,NA,NA,NA,NA,"6:52","6:33","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:26: raptor flew over and hens squatted down to hide males didn't. 6:30 all females moved out to NE. BB and WR are in a continual stand off with no actual fighting. By 7:00 am Just about all activity stopped. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","observation",NA,NA,NA,NA,NA,NA,NA,"5:45","6:30","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","strut","orange",NA,NA,NA,NA,NA,NA,NA,"6:30",NA,NA,NA,"6:13","6:18","30","30","1",NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","observation",NA,NA,NA,NA,NA,NA,NA,"5:54","6:30","5","5","Hens clustering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder, floppy","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","strut","white","430","W430","red","178","R178","adult",NA,"6:30, 6:32",NA,NA,NA,"6:22","6:27","17","17","3",NA,"Interrupted by golden eagle",NA,"no","no","yes","OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","observation",NA,NA,NA,NA,NA,NA,NA,"6:02","6:30","5","7","Hens not clustered around a male yet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","strut","blue",NA,NA,"blue",NA,NA,NA,NA,"6:30",NA,NA,NA,"6:06","6:11","34","34","3",NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","observation",NA,NA,NA,NA,NA,NA,NA,"6:12","6:30","6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
