,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,
,,,,,,,,,,,,,,,,6:58,110,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,108,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:35,104,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:05,87,-,,,,,,,,,,,,,,
86,30-04-1990,5:58,,MUD SPRINGS,Gregg Kurz,,0 to 5,5,-,-,20,,Clear,Golden Eagle ,6:40,6:00,124,3,,6:33,6:38,Red White,Green,0,3,,1 lost ,,,,,
,,,,,,,,,,,,,,,,6:15,135,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,134,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:43,45,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:57,24,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:01,27,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,32,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:25,28,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:50,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:00,8,1,,,,,,,,,,,,,,
87,01-05-1990,5:42,,MUD SPRINGS,,Cannon netting,0,100,Yes,-,30,-,Clear,?,6:10:00 AM (about 1/2 birds flew),5:46,99,24,,,,,,,,,,,,,,
88,02-05-1990,5:43,6:10,MUD SPRINGS,Gregg Kurz,Cannon netting,0 to 5,5,-,-,28,-,Clear,-,-,5:59,114,8,,5:55,6:00,Yellow,Red,26,2,,,,,,,
,,,,,,,,,,,,,,,,6:10,118,8,,6:20,6:25,Green,?,0,3,,,,,,,
,,,,,,,,,,,,,,,,6:25,125,6,,6:40,6:45,Orange,Green,0,3,,,,,,,
,,,,,,,,,,,,,,,,6:40,123,4,,7:30,7:35,Red/White,?,0,3,,,,,,,
,,,,,,,,,,,,,,,,7:00,121,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:14,121,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:35,118,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:45,112,0,,,,,,,,,,,,,,
89,04-05-1990,5:50,,MUD SPRINGS,Gregg Kurz,,0 to 5,5,-,-,25,-,Clear,,,5:56,118,6,,5:59,6:04,Red White,White,25,2,,-,-,-,,1,
