,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
19,14-04 -1988,5:45,6:33,SYBILLE SPRINGS,Boyce/Jim Rose,,0,0,No,No,,Was very windy before 5:30,,"Prairie falcon, coyote","7:50, 7:07",6:05,20,32,Much chasing about at hen cluster,7:20,7:25,O,W,29,1,1m - but she moved away after 1 minute,0,Unmarked,,,4,7:50 falcon flew over lek. Master cock didn't stay strutting but everyone else did. Falcon nearly killed him - he lived but immediately began strutting again after the prairie falcon passed by!
,,,,,,,,,,,,,,,,6:08,22,40,,7:40,7:45,W,W,38,1,,0,W,W,7:26,1,
,,,,,,,,,,,,,,,,6:21,24,39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,23,14,Major exodus - unknown cause,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,25,23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:28,26,10,,,,,,,,,,,,,,
20,15-04-1988,6:13,6:35,SYBILLE SPRINGS,Boyce/Eddleman,,0,5,No,No,,-,Dry,,,6:45,23,31,,6:42,6:47,W,W,35,1,,"1 with unidentified male, won",Unmarked,,,4,"West mating center crowded when first arrived but always dispercing forwards W/W hens (?) stream. W/W had another fight at 6:55 w/ unidentified male - standoff. Again at 7:00. Female with orange on left, clustered near W/W, appears to be O/W? "
,,,,,,,,,,,,,,,,6:23,24,,,6:45,6:50,O,W,31,1,,,W,W,,2,
,,,,,,,,,,,,,,,,6:28,25,38,,7:05,7:10,W,W,37,1,,,,,,,
,,,,,,,,,,,,,,,,6:55,26,26,W/W now has 22 females surrounding him ,7:05,7:10,O,W,22,3,,,,,,,
,,,,,,,,,,,,,,,,7:23,27,27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,
21,16-04-1988,6:05,6:25,SYBILLE SPRINGS,Johnsons,,0,0,No,No,,,Clear,,,6:06,22,17,,6:20,6:25,Y,B,31,,walking there,,W,W,6:47,1,"2 mating centeres at beginning, most males and females were at one on hill. By 6:45, hens had moved to center by creek. Several males were walking back and forth between centers. "
,,,,,,,,,,,,,,,,7:05,26,0,hens all left,6:30,6:35,O,Y,37,1,,,Unmarked,,,1,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,W,W,39,,10 females 0-5m,,,,,,
22,19-04-1988,3:00,-,SYBILLE SPRINGS,White/Heimgartner,,0,20,No,No,,Spotlighting and photographers,,,,5:45,12,16,all flushed by photographers ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20-04-1988,6:00,6:24,SYBILLE SPRINGS,White/Duen,,0,40,No,No,,,,,,6:02,24,14,1 female with white on right,6:12,6:17,W,Y,30,,hen passed by,-,UM,,,1,"Y/R last chase to UM male. Y/P male chaesd off by UM male. 7:12 - immature golden eagle flew over - (?) all (?) but W/O who is still (?). Marked males: WY, YW, YR, YO, OW, WO, OG, YB, WR, YG, YP. Markes hens: WW, YP. "
,,,,,,,,,,,,,,,,6:26,27,10,,6:23,6:28,Y,W,28,2,,chased off UM male,UM,,,1,
,,,,,,,,,,,,,,,,,,,,6:30,6:35,W,O,41,1,,chased off Um male,Y,B,,1,
,,,,,,,,,,,,,,,,,,,,6:29,6:34,Y,P,33,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,O,G,42,1,,(?) by strutting (?),,,,,
,,,,,,,,,,,,,,,,,,,,6:34,6:39,O,W,42,,hen passed by,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:52,6:57,Y,B,33,1,,"chased juv male, wing fight with O/G - won",,,,,
,,,,,,,,,,,,,,,,,,,,6:53,6:58,Y,P,0,3,,just sat - chased UM male off,,,,,
,,,,,,,,,,,,,,,,,,,,7:07,7:12,Y,R,0,3,,standoff w/ another male,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24-04-1988,5:10,~6:25,SYBILLE SPRINGS,Burton,,0 to 5,35,Yes,No,,light snow cover on ground,W/ consider while open space between patches,,,5:10,19,?,still too dark to see females,7:00,7:05,O,Y,38,,Somtime 2-3ft,WO,,,,,"WO lost fight to unmarked bird. WO - bloodied. Lek breaking up male follow last 2 females - lots of juvenile males (?), lots of fights and chases. 7:10 - lek spread out very far females everywhere. Females - YR, RR, YP. "
,,,,,,,,,,,,,,,,5:20,20,0,still no females,7:10,7:15,O,W,36,1,,,,,,,
,,,,,,,,,,,,,,,,5:30,23,3,females present,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:40,27,5,no copulation,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:50,20,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:05,29,4,Females leaving,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,32,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,30,10,females have wandered toward drainage,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:45,30,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,25,5,Very spread out both males and females,,,,,,,,,,,,,
25,25-04-1988,5:25,-,SYBILLE SPRINGS,Heimgartner,,10,40,-,-,34,,,,,5:45,14,6,east,6:00,6:05,W,R,18,1,,,Y,G,,1,"Eagle on dam when leaving. Males: W-Y male, R-R female, W-R male, Y-W male, Y-G male. "
,,,,,,,,,,,,,,,,6:10,17,5,west,6:40,6:45,Y,W,19,2,,,W,R,,2,
,,,,,,,,,,,,,,,,6:35,11,5,east,6:55,7:00,Y,G,22,1,,,,,,,
,,,,,,,,,,,,,,,,6:50,16,3,west,,,,,,,,,,,,,
26,27-04-1988,5:20,6:15,SYBILLE SPRINGS,Boyce/Kearns,,0,90,-,-,,Disturbance by G+F photo crew. Wind picking up at 6:23. ,Dry,,,5:30,27,2,,6:57,7:02,Y,P,11,3,,,unmarked,,6:45,1,"6:5 copulation interrupted. 7:00 Y/P chased another male out of central cluster. Y/W missing nearly 1/2 of tail feathers. Marked females: /B, G/G, Marked males: W/Y, Y/R, W/R, W/W, Y/P, Y/W. "
,,,,,,,,,,,,,,,,6:00,,3,,7:12,7:17,Y,W,24,3,,,unmarked,,6:14,1,
,,,,,,,,,,,,,,,,6:24,30,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:55,26,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:18,32,0,,,,,,,,,,,,,,
27,29-04-1988,4:55,6:10,SYBILLE SPRINGS,Burton,,0 to 5,10,No,No,,Good shape,No frost,,,5:15,25,-,,5:45,5:50,Y,B,35,2,,,,,,,Master cock not marked. Two interrupted copulation of the MC by his nearby (?). 
,,,,,,,,,,,,,,,,5:25,32,3,,6:05,6:10,Y,P,14,2,,chased off by  master cock and YB,,,,,
,,,,,,,,,,,,,,,,6:00,36,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:13,28,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,31,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,32,0,The females have all left,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
