,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
9,1987-04-11,6:00,6:36,WINDMILL DAM LEK,MSB/J.Thompson,,5 to 10,70,N,N,,,,,,6:15,15,36,2+ YRLG females,6:45,6:50,Orange,Green,30,0,,,unmarked,,,2,"Blue/Orange next to lek master early on. (next to unmarked master cock) - has 33 females queuing. At 7:40, P/B still on lek with 1 other unmarked male. "
,,,,,,,,,,,,,,,,6:45,10,24,,7:00,7:05,Purple,Blue,27,,,fight - tie ,Unmarked,,,1,
,,,,,,,,,,,,,,,,6:57,9,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:27,8,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:36,9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:36,5,,,,,,,,,,,,,,,
10,1987-04-14,6:50,6:30,WINDMILL DAM LEK,Lacey ,,5,<5,N,N,,,Clear,,,6:52,11,0,,,,,,,,,,,,,,Went to S.Fetterman first eagle flushed came here. No tagged males 
,,,,,,,,,,,,,,,,6:54,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:56,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1987-04-23,5:54,6:11,WINDMILL DAM LEK,Lacey,,0 to 5,0,N,N,,,Clear,,,5:35,6,3,Hends walking away + feeding not very intresting ,5:56,6:01,unmarked,,33,1,,Missing tail. ,,,,,"5:47: 1 JUV being chased everywhere; 5:59: hens walking away from lek, strutting freq of all males decreased. 6:11: males starting to disperse, no tagged males. 6:17: hens moved back toward. center + males aggregated again. 6:31: hens left again. 6:34: master walked off/started feeding males very dispersed. Strutting unmarked males:  unmarked in center, and without tail. "
,,,,,,,,,,,,,,,,5:49,7,2,"One male is missing several tail feathers, he is in the center (~3 or 4 rt to the side of centre of tail).  ",5:56,6:01,unmarked,,21,1,,flew at another bird to chase it off,,,,,
,,,,,,,,,,,,,,,,6:06,7,2,2 hens left,6:01,6:06,unmarked,,8,0,both hens left area,Missing tail. ,,,,,
,,,,,,,,,,,,,,,,6:35,7,2,females have a whistling pound ,6:01,6:06,unmarked,,21,0,hens have moved completly away,,,,,,
,,,,,,,,,,,,,,,,,,,hens walking away (hens away from males) females moving off of lek +feeding ,6:21,6:26,unmarked,,26,1,Hens back close 1m ,fight w/missing tail- no winner ,,,,,
