pdf page ,Tags,Tags,Leg Band #,Lek,Date Capture,fecal sample Coccidea,,Mites,Mites,Comments,hematocrit Cells,hematocrit Cells, hematocrit Plasma, hematocrit Plasma, hematocrit Total , hematocrit Total ,Box num,Slide num, blood Malaria, blood Malaria,blood Haemaproteus,blood Haemaproteus,blood Leucocytozoan,blood Leucocytozoan,blood Other,,,,,,,
48,W1447,WB1623,SG180,MUD SPRINGS,14-05-1990,FALSE,TRUE,FALSE,TRUE,,9,15,6,8,15,23,2,83+84,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
50,G1507,WB1634,SG180,MUD SPRINGS,14-05-1990,FALSE,TRUE,FALSE,TRUE,,9,-,5,-,14,-,2,85+86,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Female Lagopraecus gibsoni ,
52,Y1286,WY1288,SG182,MUD SPRINGS,14-05-1990,FALSE,TRUE,FALSE,TRUE,,11,15,5,6,16,21,3,1+2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
54,W1416,WG1564,SG183,MUD SPRINGS,14-05-1990,FALSE,TRUE,FALSE,TRUE,,16,18,5.5,6.5,21.5,24.5,3,3+4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
56,B1614,WB1616,SG174,MUD SPRINGS,05-05-1990,FALSE,TRUE,FALSE,TRUE,,3,3,11,10,14,13,2,75+76,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,"Some blood coagulated, may not be accurate hematocrit"
58,WY1238,B1638,SG154,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,14.5,8,3.5,3,18,11,2,13+14,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Female Lagopraecus gibsoni ,
60,WY1232,W1426,SG145,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,9,17,6,5,15,22,3,15+16,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,-,
62,WG1567,Y1432,SG146,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,10,13,5,4,15,17,2,17+18,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
64,WG1562,G1572,SG143,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,8,11,9,9,17,20,2,33+34,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,-,
66,O1393,R1734,SG1,MUD SPRINGS,14-05-1990,FALSE,TRUE,FALSE,TRUE,,9,4,5,7,14,11,2,87+88,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
68,O1390,Y1294,SG13,MUD SPRINGS,14-05-1990,N/A,N/A,N/A,N/A,NO SAMPLE,12,3,4,5,16,8,2,89+90,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
70,O1383,G1510,SG12,MUD SPRINGS,14-05-1990,N/A,N/A,N/A,N/A,NO SAMPLE,9,7,6,7,15,14,3,5+6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
72,R1731,O1374,SG9,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,5.5,9,3.5,5,9,14,2,35+36,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
74,O1303,O1309,SG10,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,10,9,3,4,13,13,2,37+38,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,FALSE,TRUE,,
76,O1352,W1436,SG11,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,10,11,3,4,13,15,2,7+8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
