,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,6:04,7,35,females all w/selves - not 1 male,7:39,7:44,W,R,22,2,,,,,,,
,,,,,,,,,,,,,,,,6:53,5,1,females in draw S of lek - (?),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:46,6,7,,,,,,,,,,,,,,
24,04-10-1988,,6:40,SOUTH FETTERMAN,Burton,,0 to 5,10,N,N,,Good,,,,7:10,7,16,master cock moved,7:25,7:30,Y,O,,,,GONE,,,,,One bird with bloody air sac Marked location of master cock w/ No#8 stake. tags: YO
,,,,,,,,,,,,,,,,7:15,7,27,3 females flew off S,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:25,7,28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:31,5,10,females leaving lek,,,,,,,,,,,,,
25,04-26-1988,5:50,6:10,SOUTH FETTERMAN,Burton,,10 to 15,90 to 95,N,N,,,1-2in of snow on lek,,,5:50,13,0,,,,,,,,,,,,,,"No Strutting. Tags: RB, YO, WR"
,,,,,,,,,,,,,,,,6:05,12,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,13,0,,,,,,,,,,,,,,
