,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,6:47,44,1,Male resumed strutting with female appearance. 26+18 males,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,,,15 flew fromm N center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,42,,24+18 males,,,,,,,,,,,,,
37,01-04-1989,5:10,,MUD SPRINGS,"MSB, Dave Money, Joe New",None,5,98,,,,,Dry Temp ~ 30F,Coyote NW of N center,5:30 - only disturbed a few birds,5:15,67,87,Difficult to see females yet -- more present,,,,,,,,,unmarked,,6:24,1,Position of vehicle poor for observing female cluster this year. Need to find better location because many birds obstructed from view.
,,,,,,,,,,,,,,,,5:30,,,Coyote near N center -- in area,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:55,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,,,Hen cluster at S.W. edge of N center. Master cock had cluster of 13 females at 6:25. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,,,36 females flew,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,,,Stilll 19 females remaining was after 36 left!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:47,,,,,,,,,,,,,,,,
38,02-04-1989,6:17,,MUD SPRINGS - NORTH MATING CENTER ONLY,MSB & Tim Fox,,2 to 3,100,"Yes, like hell",,,,Light snow cover,,,6:30,34,22,Large hen cluster,6:52,6:57,R,R,0,3,,"Snowing like crazy again -- most activity ceased most females dispersed, mostly pr?",R,R,,1,"Center lek only. (regarding cop R/R) - 6:37 - possibly confused male but my best guess -- ID certain, just might be that another male moved into position"
,,,,,,,,,,,,,,,,6:45,34,10,Scattered female,7:15,7:20,G,R,2,3,,,,,,,
,,,,,,,,,,,,,,,,7:00,29,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,25,1,Very little strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:45,29,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:50,27,,South mating center,,,,,,,,,,,,,
39,03-04-1989,6:15,,MUD SPRINGS,MSB,None,25 to 30,99,,,,,Dry but very windy & cold,,,,,,,7:47,7:52,W,B,8,0,,,,,,,
,,,,,,,,,,,,,,,,6:15,29,3,North center,7:53,7:58,R,R,3,0,,Flew off at 7:56 - incomplete copulation,,,,,
,,,,,,,,,,,,,,,,6:25,31,1,North center,7:57,8:02,R,Y,17,0,,,,,,,
,,,,,,,,,,,,,,,,6:37,25,0,North center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,28,1,North center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:46,27,6,Female scattered throughtout area,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:53,30,16,R/G at S. center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,B/B at S center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,26,2,"R/Y at N center, G/R . North center",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,R/R G/B (west edge),,,,,,,,,,,,,
40,04-04-1989,6:10,,MUD SPRS,White/Camthalaq,Canon netting,10 to 20,30,-,-,,-,Clear,,,6:15,41,36,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:26,38,37,Y/R,,,,,,,,,,,,,
41,08-04-1989,6:00,,MUD SPRINGS,MSB,None,4 to 5,100+,Yes,,,,"Snow covered - fresh wet snow < 1/2 """,Eagle,7:15,,,,,6:27,6:32,Y,G,29,1,,Chased off a male + cop, Y,G,6:30,1,(referring to first copop) Female jumped on back of copulating male. 7:10 unmarked cop interrupted by Y/G 
,,,,,,,,,,,,,,,,6:00,24,,North center,6:35,6:40,Y,G,67,1,,-,Unmarked,,7:04,1,
,,,,,,,,,,,,,,,,6:10,26,,North center,6:41,6:46,Y,G,30,1,,Chased off male,,,,,
,,,,,,,,,,,,,,,,6:15,28,21,North center,6:41,6:46,W,B,30,1,,,,,,,
,,,,,,,,,,,,,,,,7:05,33,28,All flew with eagle appearance. North center,6:55,7:00,Y,O,24,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:55,7:00,Y,G,29,1,,2 fights including 15 m chase,,,,,
,,,,,,,,,,,,,,,,,26,14,South center,,,,,,,,,,,,,
42,09-04-1989,6:11,~6:40,MUS SPG,White/Giesl/Arnett,None,10 to 15,100,Yes,-,,-,Snow overnight,,,6:15,28,14,?/G male - not strutting,6:59,7:04,R,G,16,2,,-,,,,,1 attempted copul - male took 30 sec -> 1 minute + then stand on her after. Did not appear to be successful. Moved to west LEK at 06:50. Breeding male is UM. Leave at 07:46
,,,,,,,,,,,,,,,,6:53,25,13,G/R W/? Y/?,6:59,7:04,R,Y,0,3,,-,,,,,
,,,,,,,,,,,,,,,,7:21,21,4,? activity,6:59,7:04,Y,G,6,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,709,7:14,W,B,16,3,,standoff with UM,,,,,
43,10-04-1989,5:50,,MUD SPR,Boyce/Atherton/Burton,,1 to 2,0,,,,,"1 - 2"" snow on ground - drifted some",,,,,,,6:05,6:10,Unmarked breeder,,40,1,,1 cop + 1 fight,unmarked,,6:00,1,All unmarked copulations same male
,,,,,,,,,,,,,,,,5:55,39,45,New hen cluster N. Middle center ,,,,,,,,,unmarked,,6:07,1,
,,,,,,,,,,,,,,,,6:18,50,63,Middle center,,,,,,,,,unmarked,,6:15,1,
,,,,,,,,,,,,,,,,6:45,58,71,Middle center,,,,,,,,,unmarked,,6:21,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:22,1,
,,,,,,,,,,,,,,,,7:23,37,37,South center,,,,,,,,,unmarked,,6:27,1,
,,,,,,,,,,,,,,,,,,,"Max totals: 95 males, 108 females ",,,,,,,,,unmarked,,6:48,1,
44,11-04-1989,5:57,6:53,MS,White/Baldwin/Valenzuela,None,Calm,2 to 5,-,-,,-,Clear,,,6:06,48,32,Very scattered - 2 W lek merged,6:15,6:20,W,B,19,3,,0,unmarked,,,2,Left 7:30
