,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,7:48,33,1,1 juvenile,7:02,7:07,Green,Blue,6,3,,Fight UM male (2 min) standoff w/ G/W,,,,,
,,,,,,,,,,,,,,,,,,,,7:13,7:19,Orange,Purple,23,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:36,7:41,Green,Blue,11,3,,2 stand off with GW,,,,,
,,,,,,,,,,,,,,,,,,,,7:36,7:41,Green,White,0,3,,,,,,,
101,1988-04-05,6:05,,LONG LAKE,Boyce/Mitton,,15 to 20,25,N,N,Cold wind,,,,,6:10,37,10,1 JUV,6:27,6:32,Green,Blue,5,3,,,,,,,GW - fight standoff w/unmarked and won one . GB. RB won fight w/unmarked male. W/?. O/R won fight with unmarked male 
,,,,,,,,,,,,,,,,6:25,38,8,females moved off lek to W,6:48,6:53,Green,Blue,9,,,Took on fight - won ,,,,,
,,,,,,,,,,,,,,,,6:31,39,8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:02,47,22,11 females (?) with 2 males 30 m W of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:12,32,25,I think males followed females to this place,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:23,32,12,+8 males flushed - Eagle near ridge to W,,,,,,,,,,,,,
102,1988-04-06,5:50,6:46,LONG LAKE,Boyce/Mandy,,2 to 3,<5,N,N,,Nightlighted 10-11 the previous evening,Dry,,,5:55,29,2,,6:47,6:53,Green,Orange,4,3,,,unmarked,,,,G/B. O/R. G/W won fight over unmarked male with broken tail (missing feathers at right). G/O. hen cluster dissipated by 6:30. Unmarked copulation near west stake. 
,,,,,,,,,,,,,,,,6:10,44,73,Hen cluster at W of lek,6:49,6:54,Orange,Red,19,3,,Stand off w/ unmarked male ,unmarked,,,,
,,,,,,,,,,,,,,,,6:20,40,74,,,,,,,,,,unmarked,,,,
,,,,,,,,,,,,,,,,7:12,42,27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:42,39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:43,40,3,only 1 hen roaming at cluster site ,,,,,,,,,,,,,
103,1988-04-08,5:50,,LONG LAKE,Boyce/Schuett,,25 to 30,40,N,N,,Very windy! from W,,,,6:00,29,?,,,,,,,,,,,,,,Most males did not strut due to high wind. B/G . G/R - very vigorous fighter and strutter won at least 3 fights. G/?. R/?
,,,,,,,,,,,,,,,,6:30,38,12,an unmarked male at W edge of lek (?) females (?),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:45,36,12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:52,40,14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:12,31,8,female cluster broke up ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1988-04-09,5:30,6:38,LONG LAKE,Burton,,5 to 10,100,Y,N,,"Some fog lots of snow, snow fairly heavy and constant ",snow covered,,,5:30,40,42,,4:23,4:28,Yellow,Green,,,,won fight,,,,,"Tag present: Y/O, R/R, R/W, G/R, G/W, Y/R, Y/G"
