,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,6:53,6,0,Hens left,6:38,6:43,Purple,Purple,13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,Red,Red,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,Purple,Green,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,Purple,Orange,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,Red,Blue,21,,,,,,,,
34,1987-04-05,,,NORTH,Boyce + Cole,,23+,0,N,N,15-20,,Clear,,,7:30,6,0,Really windy,7:12,7:17,Red,Red,20,,,"G/P lost fight to unmarked male w/broken or missing tail feathers, R/B, P/B = fought twice which ended a tie both times",,,,,
,,,,,,,,,,,,,,,,,,,,7:12,7:17,Red,Blue,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:25,7:30,Red,Blue,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Purple,Purple,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1987-04-06,,,NORTH,Cole + Lacey,,,,N,N,,,Clear,,,6:00,8,13,11 females clustered around 1 or 2 males ,6:05,6:10,White,White,41,,2 females walked past him,,,,,,5 min counts were hand counted
,,,,,,,,,,,,,,,,,11,27,"Juv ran off, right blue/left red",,,Red,Blue,59,1,"beat W/W, Hens within 1m ",,,,,,
,,,,,,,,,,,,,,,,,11,24,hen R of range,,,Blue,Blue,34,1,W/W radio hen - other hens within 5 m,,,,,,
,,,,,,,,,,,,,,,,,13,13,"12 on lek, 1 far NW. B/B chased unmarked male",,,Purple,Purple,27,,,R/B ran off unmarked,,,,,
,,,,,,,,,,,,,,,,,12,8,Off lek B/B won fight W/W,,,Purple,Green,14,,,P/P ran off by W/W,,,,,
,,,,,,,,,,,,,,,,,,,P/P,,,Red ,Red,55,,,B/B ran unmarked ,,,,,
,,,,,,,,,,,,,,,,,,,Male w/missing tail faither chased 2 unmarked off ,,,Blue,Orange ,40,,,,,,,,
,,,,,,,,,,,,,,,,,13,5,"4 of the males are on NW edge, 1 JUV, all  stutting ",,,,,,,,,,,,,
