,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,,
88,Long Lake,B996,G1051,juven,26-Apr,15,0.280555556,0.256944444,-0.023611111,3,,,,
88,Long Lake,G303,O5,adult,29-Mar,4,0.266666667,0.246527778,-0.020138889,0,,,,
88,Long Lake,G303,O5,adult,15-Apr,3,0.30625,0.272222222,-0.034027778,0,,,,
88,Long Lake,G303,O5,adult,15-Apr,2,0.310416667,0.272222222,-0.038194444,0,,,,
88,Long Lake,G303,O5,adult,01-Apr,10,0.254861111,0.245833333,-0.009027778,0,,,,
88,Long Lake,G303,O5,adult,04-Apr,13,0.28125,0.282638889,0.001388889,1,,,,
88,Long Lake,G303,O5,adult,13-Apr,36,0.284027778,0.274305556,-0.009722222,1,,,,
88,Long Lake,G303,O5,adult,04-May,11,0.2625,0.249305556,-0.013194444,1,,,,
88,Long Lake,G303,O5,adult,01-Apr,13,0.273611111,0.245833333,-0.027777778,1,,,,
88,Long Lake,G303,O5,adult,06-Apr,4,0.282638889,0.28125,-0.001388889,3,,,,
88,Long Lake,G303,O5,adult,03-Apr,11,0.289583333,0.282638889,-0.006944444,3,,,,
88,Long Lake,G303,O5,adult,03-Apr,11,0.306944444,0.282638889,-0.024305556,3,,,,
88,Long Lake,G321,W421,adult,26-Mar,14,0.259722222,0.25,-0.009722222,0,,,,
88,Long Lake,G321,W421,adult,04-Apr,2,0.293055556,0.282638889,-0.010416667,3,,,,
88,Long Lake,G321,W421,adult,01-Apr,2,0.266666667,0.245833333,-0.020833333,3,,,,
88,Long Lake,G321,W421,adult,04-Apr,0,0.316666667,0.282638889,-0.034027778,3,,,,
88,Long Lake,G321,W421,adult,29-Mar,7,0.261111111,0.246527778,-0.014583333,4,,,,
88,Long Lake,G375,B281,adult,10-Apr,0,0.292361111,0.275,-0.017361111,1,,,,
88,Long Lake,G375,B281,adult,10-Apr,10,0.273611111,0.275,0.001388889,1,,,,
88,Long Lake,G375,B281,adult,04-Apr,6,0.293055556,0.282638889,-0.010416667,3,,,,
88,Long Lake,G375,B281,adult,03-Apr,7,0.319444444,0.282638889,-0.036805556,3,,,,
88,Long Lake,G375,B281,adult,04-Apr,11,0.316666667,0.282638889,-0.034027778,3,,,,
88,Long Lake,G375,B281,adult,03-Apr,10,0.306944444,0.282638889,-0.024305556,3,,,,
88,Long Lake,G375,B281,adult,05-Apr,5,0.26875,0.281944444,0.013194444,3,,,,
88,Long Lake,G375,B281,adult,03-Apr,19,0.289583333,0.282638889,-0.006944444,3,,,,
88,Long Lake,G375,B281,adult,05-Apr,9,0.283333333,0.281944444,-0.001388889,3,,,,
88,Long Lake,G378,Y,adult,10-May,10,0.256944444,0.247222222,-0.009722222,3,,,,
88,Long Lake,G379,,,18-Apr,0,0.261805556,0.26875,0.006944444,3,,,,
88,Long Lake,G389,R183,adult,29-Mar,0,,0.246527778,0.246527778,,1,,,
88,Long Lake,G389,R183,adult,09-Apr,8,0.28125,0.276388889,-0.004861111,0,1,,,
88,Long Lake,G389,R183,adult,26-Apr,35,0.285416667,0.256944444,-0.028472222,1,,,,
88,Long Lake,G389,R183,adult,20-Apr,10,0.277777778,0.266666667,-0.011111111,1,1,,,
88,Long Lake,G389,R183,adult,04-Apr,8,0.274305556,0.282638889,0.008333333,3,1,,,
88,Long Lake,G389,R183,adult,05-May,16,0.282638889,0.25,-0.032638889,3,,,,
88,Long Lake,O73,G387,adult,05-May,14,0.270833333,0.25,-0.020833333,1,,,,
88,Long Lake,O73,G387,adult,05-May,26,0.274305556,0.25,-0.024305556,1,,,,
88,Long Lake,O73,G387,adult,10-May,5,0.274305556,0.247222222,-0.027083333,1,,,,
88,Long Lake,O73,G387,adult,26-Apr,16,0.247222222,0.256944444,0.009722222,3,,,,
88,Long Lake,O83,R182,adult,04-May,31,0.282638889,0.249305556,-0.033333333,2,,,,
88,Long Lake,O83,R182,adult,03-Apr,0,0.319444444,0.282638889,-0.036805556,3,,,,
88,Long Lake,O83,R182,adult,04-Apr,18,0.26875,0.282638889,0.013888889,3,,,,
