 ,,TAG NUMBERS,TAG NUMBERS,STRUTS,STRUTS,,,,
PLASM,LEK NAME,RIGHT,LEFT,/5 MIN,BY BIRD,SUNRISE TIME,TIME,SUNRISE PROP,TO HENS
,,,,,,,,,
0,NORTH LEK,301,302,2,,6:01,5:50,-0.008,0
0,NORTH LEK,301,302,8,,6:00,6:45,0.031,0
0,NORTH LEK,301,302,3,,6:50,6:53,0.002,0
0,NORTH LEK,301,G302,20,,6:20,6:14,-0.004,1
0,NORTH LEK,301,302,14,,6:05,5:54,-0.008,1
0,NORTH LEK,301,302,18,,6:07,6:20,0.009,0
0,NORTH LEK,301,302,29,12.18,6:40,6:42,0.001,1
0,BROKEN WING,312,B217,31,,6:38,6:29,-0.006,0
0,BROKEN WING,312,B217,10,,6:11,6:36,0.017,3
0,BROKEN WING,312,B217,13,,6:11,5:48,-0.016,3
0,BROKEN WING,312,B217,43,24.25,6:26,6:12,-0.01,0
0,BROKEN WING,314,G315,32,,6:30,6:11,-0.013,0
0,BROKEN WING,314,G315,32,32,6:26,6:37,0.008,0
0,LONG LAKE,325,W419,12,,6:25,6:55,0.021,1
0,LONG LAKE,325,W419,14,,5:48,6:15,0.019,3
0,LONG LAKE,325,W419,30,,5:48,5:29,-0.013,3
0,LONG LAKE,325,W419,0,,6:04,6:09,0.003,3
0,LONG LAKE,325,W419,3,,6:00,6:08,0.006,2
0,LONG LAKE,325,W419,32,,6:26,7:10,0.031,0
0,LONG LAKE,325,W419,35,,6:22,7:08,0.032,0
0,LONG LAKE,325,W419,26,,6:26,6:45,0.013,0
0,LONG LAKE,325,W419,13,,6:12,6:16,0.003,2
0,LONG LAKE,325,W419,11,,5:43,6:36,0.037,2
0,LONG LAKE,325,W419,12,17.09,6:23,6:40,0.012,0
0,NORTH LEK,384,,26,,6:35,7:11,0.025,2
0,NORTH LEK,384,,40,,6:20,6:57,0.026,2
0,NORTH LEK,384,,43,36.33,6:23,6:47,0.017,1
0,SOUTH FETTERMAN,386,,24,,6:40,6:14,-0.018,0
0,SOUTH FETTERMAN,386,,26,25,6:40,6:36,-0.003,2
0,CORDINGLY,392,G396,32,,6:35,6:53,0.013,0
0,CORDINGLY,392,G396,0,,6:15,6:25,0.007,3
0,CORDINGLY,392,G396,0,10.67,6:15,6:03,-0.008,1
0,NORTH LEK,398,P573,0,,6:45,8:07,0.057,3
0,NORTH LEK,398,P573,20,,6:45,6:47,0.001,2
0,NORTH LEK,398,P573,35,,6:48,7:58,0.049,0
0,NORTH LEK,398,P573,11,,6:40,6:56,0.011,2
0,NORTH LEK,398,P573,32,,6:40,6:44,0.003,2
0,NORTH LEK,398,P573,12,,6:40,7:05,0.017,1
0,NORTH LEK,398,P573,7,16.71,6:40,7:20,0.028,2
0,NORTH LEK,401,402,11,,6:07,6:14,0.005,0
0,NORTH LEK,401,W402,18,,6:45,7:17,0.022,2
0,NORTH LEK,401,402,0,,6:05,6:24,0.013,0
0,NORTH LEK,401,W402,41,,6:53,6:05,-0.033,0
0,NORTH LEK,401,W402,28,,6:42,6:22,-0.014,0
0,NORTH LEK,401,W402,20,,6:40,6:33,-0.005,2
0,NORTH LEK,401,402,17,,6:01,5:50,-0.008,0
0,NORTH LEK,401,W402,13,,6:25,6:25,0,2
0,NORTH LEK,401,402,27,,6:50,6:22,-0.019,1
0,NORTH LEK,401,W402,23,,6:45,6:34,-0.008,2
0,NORTH LEK,401,402,3,,6:05,5:58,-0.005,0
0,NORTH LEK,401,W402,10,,6:20,6:56,0.025,2
0,NORTH LEK,401,402,12,,6:05,5:44,-0.015,0
0,NORTH LEK,401,W402,2,,6:40,7:34,0.038,2
0,NORTH LEK,401,402,13,,5:57,6:01,0.003,0
0,NORTH LEK,401,402,14,,5:57,6:37,0.028,0
0,NORTH LEK,401,402,25,,6:50,6:49,-0.001,1
0,NORTH LEK,401,402,29,,6:40,6:06,-0.024,3
0,NORTH LEK,401,402,6,,6:05,6:17,0.008,3
0,NORTH LEK,401,W402,8,,6:40,6:39,-0.001,2
0,NORTH LEK,401,402,32,,6:45,6:54,0.006,1
0,NORTH LEK,401,402,2,,6:01,6:42,0.028,0
0,NORTH LEK,401,402,14,,6:05,6:00,-0.003,1
0,NORTH LEK,401,402,37,,6:52,6:34,-0.013,1
0,NORTH LEK,401,402,14,,6:01,6:17,0.011,0
0,NORTH LEK,401,402,32,,6:52,7:44,0.036,1
0,NORTH LEK,401,402,39,,6:35,6:52,0.012,1
0,NORTH LEK,401,402,21,18.25,6:05,6:39,0.024,0
0,LONG LAKE,405,B205,2,,6:12,6:07,-0.003,2
0,LONG LAKE,405,B205,23,,6:00,5:54,-0.004,0
0,LONG LAKE,405,B205,0,,5:51,5:58,0.005,3
0,LONG LAKE,405,B205,34,,6:08,5:57,-0.008,0
0,LONG LAKE,405,B205,0,,6:04,5:38,-0.018,2
0,LONG LAKE,405,B205,1,,6:12,6:50,0.026,3
0,LONG LAKE,405,B205,1,,5:51,7:03,0.05,3
0,LONG LAKE,405,B205,0,,6:28,6:43,0.01,2
0,LONG LAKE,405,B205,0,,5:51,6:41,0.035,3
0,LONG LAKE,405,B205,26,,5:48,6:28,0.028,3
0,LONG LAKE,405,B205,0,,6:12,6:30,0.013,2
0,LONG LAKE,405,B205,17,,5:48,5:56,0.006,3
0,LONG LAKE,405,B205,0,,6:04,5:51,-0.009,3
0,LONG LAKE,405,B205,6,7.86,6:25,6:28,0.002,1
0,LONG LAKE,407,R104,2,2,6:22,6:40,0.013,2
0,LONG LAKE,408,409,0,,5:55,6:10,0.01,3
0,LONG LAKE,408,W409,0,0,5:43,7:03,0.056,0
0,BROKEN WING,415,G348,0,0,6:30,6:02,-0.019,2
0,BROKEN WING,418,W423,65,,6:35,6:20,-0.01,0
0,BROKEN WING,418,W423,1,,6:25,6:36,0.008,3
0,BROKEN WING,418,W423,9,,6:25,5:48,-0.026,3
0,BROKEN WING,418,W423,10,21.25,6:30,7:08,0.026,0
0,LONG LAKE,421,321,0,,6:47,7:36,0.034,2
0,LONG LAKE,421,321,14,,6:00,6:14,0.01,3
0,LONG LAKE,421,G321,0,,6:08,7:00,0.036,1
0,LONG LAKE,421,321,6,,5:55,6:16,0.015,3
0,LONG LAKE,421,321,2,,5:52,6:24,0.022,2
0,LONG LAKE,421,321,2,,6:47,7:02,0.01,2
0,LONG LAKE,421,G321,2,3.71,5:43,6:44,0.042,2
0,SYBILLE SPRINGS,435,,19,,6:16,6:40,0.017,2
0,SYBILLE SPRINGS,435,,28,23.5,6:24,6:23,-0.001,2
0,CORDINGLY,475,334,27,27,6:32,6:30,-0.001,2
0,MUD SPRINGS,489,258,31,,6:10,5:55,-0.01,1
0,MUD SPRINGS,489,B258,1,,6:15,7:08,0.037,2
0,MUD SPRINGS,489,258,28,,6:34,7:13,0.027,1
0,MUD SPRINGS,489,258,23,,6:32,6:48,0.011,0
0,MUD SPRINGS,489,258,33,,6:32,6:50,0.013,1
0,MUD SPRINGS,489,258,32,24.67,6:34,7:05,0.022,1
0,SOUTH FETTERMAN,495,W496,12,,6:30,6:45,0.01,2
0,SOUTH FETTERMAN,495,W496,27,19.5,6:15,6:23,0.006,0
0,MUD SPRINGS,513,B225,33,,6:40,7:09,0.02,0
0,MUD SPRINGS,513,B225,41,,6:43,7:09,0.018,0
0,MUD SPRINGS,513,B225,23,32.33,6:43,6:29,-0.01,0
0,BROKEN WING,519,G320,28,,6:26,7:25,0.041,0
0,BROKEN WING,519,G320,21,24.5,6:11,6:00,-0.008,0
0,BROKEN WING,523,P524,17,,6:26,6:51,0.017,1
0,BROKEN WING,523,P524,0,,6:25,6:28,0.002,3
0,BROKEN WING,523,P524,24,13.67,6:11,6:05,-0.004,0
0,SYBILLE SPRINGS,534,,16,,5:57,5:34,-0.016,0
0,SYBILLE SPRINGS,534,,0,,6:24,6:53,0.02,3
0,SYBILLE SPRINGS,534,,14,10,6:10,6:05,-0.003,1
0,MUD SPRINGS,876,632,0,0,6:00,6:40,0.028,0
0,RED POST,968,1039,35,35,6:12,5:45,-0.019,0
0,MUD SPRINGS,984,1064,0,,5:55,5:44,-0.008,0
0,MUD SPRINGS,984,1064,0,0,6:00,5:56,-0.003,0
0,MUD SPRINGS,1031,1167,16,16,6:40,6:39,-0.001,3
0,MUD SPRINGS,1085,631,11,,6:00,6:09,0.006,0
0,MUD SPRINGS,1085,631,8,,6:00,6:18,0.013,0
0,MUD SPRINGS,1085,631,3,,5:58,6:01,0.002,0
0,MUD SPRINGS,1085,631,18, ,6:00,5:50,-0.007,0
0,MUD SPRINGS,1085,631,3,8.6,5:58,5:40,-0.013,0
