,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE,
87,Long Lake,W409,W408,adult,08-Apr,0,0.29375,0.278472222,0.015277778,1,0,,,
87,Long Lake,W409,W408,adult,05-Apr,0,0.28125,0.283333333,-0.002083333,4,0,,,
87,Long Lake,W419,G325,adult,30-Apr,0,0.25625,0.252777778,0.003472222,0,0,,,
87,Long Lake,W419,G325,adult,03-Apr,30,0.228472222,0.241666667,-0.013194444,0,0,,,
87,Long Lake,W419,G325,adult,03-Apr,14,0.260416667,0.241666667,0.01875,0,0,,,
87,Long Lake,W419,G325,adult,15-Apr,26,0.28125,0.268055556,0.013194444,1,0,,,
87,Long Lake,W419,G325,adult,15-Apr,32,0.298611111,0.268055556,0.030555556,1,0,,,
87,Long Lake,W419,G325,adult,17-Apr,35,0.297222222,0.265277778,0.031944444,1,0,,,
87,Long Lake,W419,G325,adult,16-Apr,12,0.288194444,0.267361111,0.020833333,1,0,,,
87,Long Lake,W419,G325,adult,19-Apr,12,0.277777778,0.263194444,0.014583333,1,0,,,
87,Long Lake,W419,G325,adult,08-Apr,11,0.275,0.278472222,-0.003472222,4,0,,,
87,Long Lake,W419,G325,adult,03-May,3,0.255555556,0.250694444,0.004861111,4,0,,,
87,Long Lake,W419,G325,adult,05-Apr,19,0.26875,0.283333333,-0.014583333,4,0,,,
87,Long Lake,W419,G325,adult,28-Apr,13,0.261111111,0.253472222,0.007638889,4,0,,,
87,Long Lake,W485,O82,adult,28-Apr,3,0.255555556,0.253472222,0.002083333,4,0,,,
87,Long Lake,W486,R185,adult,25-Apr,7,0.257638889,0.25625,0.001388889,0,0,,,
87,Long Lake,W486,R185,adult,30-Apr,5,0.264583333,0.252777778,0.011805556,0,0,,,
87,Long Lake,W486,R185,adult,29-Apr,0,0.249305556,0.252777778,-0.003472222,3,0,,,
87,Long Lake,W486,R185,adult,26-Apr,21,0.269444444,0.255555556,0.013888889,3,0,,,
87,Long Lake,W486,R185,adult,19-Apr,22,0.294444444,0.263194444,0.03125,4,0,,,
87,Long Lake,W486,R185,adult,03-May,5,0.249305556,0.250694444,-0.001388889,4,0,,,
87,Long Lake,W486,R185,adult,19-Apr,5,0.267361111,0.263194444,0.004166667,4,0,,,
,,,,,,,,, ,,,,,
87,Windmill Dam,B271,P571,adult,17-Apr,30,0.245138889,0.265277778,-0.020138889,3,0,,,
87,Windmill Dam,O32,B268,adult,11-Apr,30,0.28125,0.275,0.00625,1,0,,,
87,Windmill Dam,B271,P571,adult,11-Apr,27,0.291666667,0.275,0.016666667,4,0,,,
,,,,,,,,, ,,,,,
87,North,B201,B202,adult,19-Apr,32,0.267361111,0.263194444,0.004166667,1,0,,,
87,North,B201,B202,adult,13-Apr,20,0.284722222,0.272916667,0.011805556,1,0,,,
87,North,B201,B202,adult,15-Apr,27,0.286805556,0.268055556,0.01875,1,0,,,
87,North,B201,B202,adult,17-Apr,27,0.259027778,0.265277778,-0.00625,1,0,,,
87,North,B201,B202,adult,22-Apr,1,0.263194444,0.259027778,0.004166667,1,0,,,
87,North,B201,B202,adult,18-Apr,32,0.264583333,0.263888889,0.000694444,1,0,,,
87,North,B201,B202,adult,11-Apr,27,0.290972222,0.275,0.015972222,1,0,,,
87,North,B201,B202,adult,17-Apr,16,0.295138889,0.265277778,0.029861111,2,0,,,
87,North,B201,B202,adult,16-Apr,4,0.259722222,0.267361111,-0.007638889,3,0,,,
87,North,B201,B202,adult,03-Apr,6,0.272222222,0.241666667,0.030555556,4,0,,,
87,North,B201,B202,adult,03-Apr,13,0.260416667,0.241666667,0.01875,4,0,,,
87,North,B201,B202,adult,08-Apr,10,0.322916667,0.278472222,0.044444444,4,0,,,
87,North,B201,B202,adult,03-Apr,4,0.284722222,0.241666667,0.043055556,4,0,,,
87,North,B201,B202,adult,31-Mar,13,0.284722222,0.245138889,0.039583333,4,0,,,
87,North,B201,B202,adult,31-Mar,11,0.266666667,0.245138889,0.021527778,4,0,,,
87,North,B201,B202,adult,14-Apr,3,0.270138889,0.270833333,-0.000694444,4,0,,,
87,North,B201,B202,adult,10-Apr,25,0.315277778,0.276388889,0.038888889,4,0,,,
87,North,B201,B202,adult,09-Apr,7,0.279861111,0.276388889,0.003472222,4,0,,,
87,North,B201,B202,adult,31-Mar,5,0.245138889,0.245138889,0,4,0,,,
87,North,B201,B202,adult,05-Apr,9,0.276388889,0.283333333,-0.006944444,4,0,,,
87,North,B251,W479,juven,13-Apr,0,0.297916667,0.272916667,0.025,3,0,,,
87,North,G302,G301,adult,22-Apr,20,0.259722222,0.259027778,0.000694444,2,0,,,
87,North,G302,G301,adult,31-Mar,31,0.258333333,0.245138889,0.013194444,4,0,,,
87,North,G302,G301,adult,31-Mar,8,0.273611111,0.245138889,0.028472222,4,0,,,
87,North,G302,G310,adult,09-Apr,16,0.352777778,0.276388889,0.076388889,4,0,,,
87,North,G302,G301,adult,31-Mar,32,0.238888889,0.245138889,-0.00625,4,0,,,
87,North,P502,P501,adult,05-Apr,10,0.289583333,0.283333333,0.00625,0,1,,,
87,North,P502,P501,adult,05-Apr,5,0.309027778,0.283333333,0.025694444,0,1,,,
87,North,P502,P501,adult,14-Apr,32,0.263888889,0.270833333,-0.006944444,1,1,,,
87,North,P502,P501,adult,15-Apr,32,0.270138889,0.268055556,0.002083333,1,1,,,
87,North,P502,P501,adult,09-Apr,18,0.340972222,0.276388889,0.064583333,1,1,,,
87,North,P502,P501,adult,18-Apr,34,0.26875,0.263888889,0.004861111,1,1,,,
87,North,P502,P501,adult,17-Apr,0,0.284027778,0.265277778,0.01875,3,1,,,
87,North,P502,P501,adult,19-Apr,7,0.284722222,0.263194444,0.021527778,3,1,,,
87,North,P502,P501,adult,03-Apr,6,0.284722222,0.241666667,0.043055556,4,1,,,
87,North,P502,P501,adult,09-Apr,16,0.321527778,0.276388889,0.045138889,4,1,,,
87,North,P502,P501,adult,03-Apr,12,0.255555556,0.241666667,0.013888889,4,1,,,
87,North,P502,P501,adult,13-Apr,30,0.271527778,0.272916667,-0.001388889,4,1,,,
87,North,P502,P501,adult,16-Apr,16,0.263888889,0.267361111,-0.003472222,4,1,,,
87,North,P502,P501,adult,05-Apr,12,0.276388889,0.283333333,-0.006944444,4,1,,,
87,North,P502,P501,adult,08-Apr,27,0.284722222,0.278472222,0.00625,4,1,,,
87,North,P502,P501,adult,22-Apr,11,0.259027778,0.259027778,0,4,1,,,
87,North,P573,G398,adult,10-Apr,0,0.338194444,0.276388889,0.061805556,0,0,,,
87,North,P573,G398,adult,09-Apr,35,0.331944444,0.276388889,0.055555556,1,0,,,
87,North,P573,G398,adult,16-Apr,32,0.280555556,0.267361111,0.013194444,3,0,,,
87,North,P573,G398,adult,17-Apr,11,0.288888889,0.265277778,0.023611111,3,0,,,
87,North,P573,G398,adult,15-Apr,13,0.30625,0.268055556,0.038194444,3,0,,,
87,North,P573,G398,adult,22-Apr,26,0.273611111,0.259027778,0.014583333,4,0,,,
87,North,P573,G398,adult,18-Apr,12,0.295138889,0.263888889,0.03125,4,0,,,
87,North,P573,G398,adult,15-Apr,28,0.281944444,0.268055556,0.013888889,4,0,,,
87,North,P573,G398,adult,14-Apr,2,0.280555556,0.270833333,0.009722222,4,0,,,
87,North,P573,G398,adult,17-Apr,7,0.305555556,0.265277778,0.040277778,4,0,,,
87,North,P573,G398,adult,11-Apr,20,0.282638889,0.275,0.007638889,4,0,,,
87,North,P573,G398,adult,05-Apr,5,0.284027778,0.283333333,0.000694444,4,0,,,
87,North,R102,R101,adult,05-Apr,20,0.3,0.283333333,0.016666667,0,0,,,
87,North,R102,R101,adult,16-Apr,9,0.307638889,0.267361111,0.040277778,0,0,,,
87,North,R102,R101,adult,09-Apr,32,0.345138889,0.276388889,0.06875,1,0,,,
87,North,R102,R101,adult,22-Apr,31,0.284722222,0.259027778,0.025694444,3,0,,,
87,North,R102,R101,adult,03-Apr,35,0.260416667,0.241666667,0.01875,4,0,,,
87,North,R102,R101,adult,11-Apr,36,0.308333333,0.275,0.033333333,4,0,,,
87,North,R102,R101,adult,10-Apr,8,0.331944444,0.276388889,0.055555556,4,0,,,
87,North,R102,R101,adult,16-Apr,27,0.269444444,0.267361111,0.002083333,4,0,,,
87,North,R102,R101,adult,17-Apr,21,0.270833333,0.265277778,0.005555556,4,0,,,
87,North,R102,R101,adult,05-Apr,0,0.282638889,0.283333333,-0.000694444,4,0,,,
87,North,R102,R101,adult,03-Apr,33,0.279166667,0.241666667,0.0375,4,0,,,
87,North,R102,R101,adult,14-Apr,2,0.302777778,0.270833333,0.031944444,4,0,,,
87,North,R103,O2,adult,16-Apr,2,0.302777778,0.267361111,0.035416667,0,0,,,
87,North,R103,O2,adult,10-Apr,0,0.338194444,0.276388889,0.061805556,0,0,,,
87,North,R103,O2,adult,11-Apr,33,0.268055556,0.275,-0.006944444,1,0,,,
87,North,R103,O2,adult,09-Apr,21,0.291666667,0.276388889,0.015277778,1,0,,,
87,North,R103,O2,adult,09-Apr,31,0.286805556,0.276388889,0.010416667,1,0,,,
87,North,R103,O2,adult,18-Apr,30,0.288888889,0.263888889,0.025,1,0,,,
87,North,R103,O2,adult,17-Apr,33,0.310416667,0.265277778,0.045138889,1,0,,,
87,North,R103,O2,adult,17-Apr,36,0.266666667,0.265277778,0.001388889,1,0,,,
87,North,R103,O2,adult,19-Apr,18,0.277777778,0.263194444,0.014583333,1,0,,,
87,North,R103,O2,adult,17-Apr,2,0.305555556,0.265277778,0.040277778,2,0,,,
87,North,R103,O2,adult,13-Apr,16,0.265972222,0.272916667,-0.006944444,2,0,,,
87,North,R103,O2,adult,16-Apr,14,0.2875,0.267361111,0.020138889,3,0,,,
87,North,R103,O2,adult,13-Apr,0,0.305555556,0.272916667,0.032638889,3,0,,,
87,North,R103,O2,adult,15-Apr,2,0.310416667,0.268055556,0.042361111,3,0,,,
87,North,R103,O2,adult,22-Apr,8,0.26875,0.259027778,0.009722222,3,0,,,
87,North,R103,O2,adult,10-Apr,20,0.284027778,0.276388889,0.007638889,4,0,,,
87,North,R103,O2,adult,18-Apr,0,0.306944444,0.263888889,0.043055556,4,0,,,
87,North,R103,O2,adult,31-Mar,21,0.266666667,0.245138889,0.021527778,4,0,,,
87,North,R103,O2,adult,31-Mar,13,0.284722222,0.245138889,0.039583333,4,0,,,
87,North,R103,O2,adult,10-Apr,18,0.302777778,0.276388889,0.026388889,4,0,,,
87,North,R103,O2,adult,14-Apr,21,0.275694444,0.270833333,0.004861111,4,0,,,
87,North,R103,O2,adult,31-Mar,22,0.245138889,0.245138889,0,4,0,,,
87,North,R103,O2,adult,08-Apr,22,0.322916667,0.278472222,0.044444444,4,0,,,
87,North,R109,B273,adult,16-Apr,0,0.295833333,0.267361111,0.028472222,0,1,,,
87,North,R109,B273,adult,05-Apr,9,0.309027778,0.283333333,0.025694444,0,1,,,
87,North,R109,B273,adult,05-Apr,21,0.289583333,0.283333333,0.00625,0,1,,,
87,North,R109,B273,adult,05-Apr,11,0.3,0.283333333,0.016666667,0,1,,,
87,North,R109,B273,adult,17-Apr,35,0.254166667,0.265277778,-0.011111111,1,1,,,
87,North,R109,B273,adult,18-Apr,35,0.260416667,0.263888889,-0.003472222,1,1,,,
87,North,R109,B273,adult,11-Apr,43,0.258333333,0.275,-0.016666667,1,1,,,
87,North,R109,B273,adult,10-Apr,35,0.288888889,0.276388889,0.0125,1,1,,,
87,North,R109,B273,adult,17-Apr,34,0.301388889,0.265277778,0.036111111,1,1,,,
87,North,R109,B273,adult,19-Apr,32,0.277777778,0.263194444,0.014583333,1,1,,,
87,North,R109,B273,adult,13-Apr,37,0.290972222,0.272916667,0.018055556,1,1,,,
