"lek_number","lek_name","year","month","day","time","prop_time","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","weight_g_with_bag","total_length_mm","tail_length_mm","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","comb_length_mm","bill_length_mm","bill_depth_mm","comb_color","air_sac_color","hematomas_combs","hematomas_air_sacs","breed","lice_back_of_head","lice_present_on_combs","lice_number__on_combs","lice_present_on_air_sacs","lice_number_on_air_sacs","diarrhea","fecal_samples_mites","fecal_samples_spores","fecal_samples_coccidia","blood_tryps","blood_plasm","blood_pcv_mm","total_volume_mm","days_lek_observed","days_on_lek","proportion_of_days_on_lek","comments"
"8","mud_springs","1987","04","12","6:45",0.28125,"orange","24","O24","red","114","R114","adult","3200","680","320","312","145","75","69","25.1","39.6","23.5","olive yellow","bistre yellow","no","no","no","no","no","0","no","0","yes",NA,NA,NA,"no","no","7.5","11.5",NA,NA,NA,NA
"6","broken_wing","1987","04","07",NA,NA,"white","412","W412","red","117","R117","juv","2800","700","280","291","131","72","60","18.9","34.9","20.65","olive yellow","lemon/bistre yellow","yes","yes","no","no","yes","1","no","0",NA,"no","yes","no","no","no","10.5","15","7","2","0.285714286",NA
"6","broken_wing","1987","04","07",NA,NA,"purple","521","P521","red","121","R121","juv","3400","729","295","294","133","73","66","24.6","38.15","22.9","olive yellow","bistre yellow","no","yes","no","no","no","0",NA,NA,NA,"no","yes","no","no","no","3","5","7","3","0.428571429",NA
"6","broken_wing","1987","04","14","4:06",0.170833333333333,"purple","521","P521","red","121","R121","juv","3050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","0","no","0",NA,"no","yes","no","no","yes","14","27.5",NA,NA,NA,"big red blotches back of head"
"7","sybille_springs","1987","04","08","4:28",0.186111111111111,"red","125","R125","red","122","R122","adult","3500","780","338","306","147","69","68","23.25","42.75","24.1","olive yellow","chrome yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no","yes","8","14.5",NA,NA,NA,NA
"4","south_fetterman","1987","04","13","3:42",0.154166666666667,"red","190","R190","red","179","R179","adult","3200","765","302","335","130","69","71","24.1","36.1","21.5","yellow/green","yellow","no","yes","no","no","no","0","yes","2",NA,"no","yes","no","no","no","8","11.5",NA,NA,NA,NA
"1","long_lake","1987","04","18","5:50",0.243055555555556,"blue","257","B257","red","180","R180","adult","3125","795","305","322","132","67","69","23.8","37","21.6","yellow/green","yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","3","21.5","8","1","0.125",NA
"1","long_lake","1987","04","18","5:30",0.229166666666667,"orange","83","O83","red","182","R182","adult","2950","730","229","303","135","71","69","23.1","40.8","22.1","yellow/green","yellow","yes","yes","no","no","no","0","no","0",NA,"yes","no","no","no","no","5","31","8","1","0.125","fiesty"
"1","long_lake","1987","04","18","5:05",0.211805555555556,"white","486","W486","red","185","R185","adult","3000","745","270","305","132","70","70","21.7","39","22.7","green","yellow/gray","yes","no","no","no","no","0","no","0",NA,"yes","yes","no","no","no","15","27.5","8","5","0.625","fiesty"
"3","windmill_dam","1987","04","03",NA,NA,"purple","572","P572","red","195","R195","adult","3000","751","293","289","129","65","69","23.7","33.9","19.5",NA,NA,"yes","no","no","yes",NA,NA,NA,NA,NA,"no","no","no","no","no","8","17","4","1","0.25",NA
"3","windmill_dam","1987","04","15","5:05",0.211805555555556,"purple","572","P572","red","195","R195","adult","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","1",NA,"no","no","no","no","no","11","13",NA,NA,NA,NA
"3","windmill_dam","1987","04","03",NA,NA,"green","400","G400","red","198","R198","adult","3300","757","287","297","128","72","71","23","36.5","21.6",NA,NA,NA,NA,"no",NA,"no","0","yes","1",NA,"yes","yes","no","no","no","8","19","4","1","0.25",NA
"6","broken_wing","1987","04","09",NA,NA,"orange","21","O21","orange","20","O20","adult","3250","726","323","320","143","78","67","25.55","40","22.65","olive yellow","bistre yellow","no","yes","no","no","no","0","yes","1",NA,"no","yes","no","no","yes","13","18.5","7","3","0.428571429",NA
"9","mule_creek_junction","1987","03","31","3:12",0.133333333333333,"orange","34","O34","red","200","R200","juv","2800","717","241","290","133","70","68","23.3","36","22.2",NA,NA,NA,NA,"no",NA,NA,NA,"yes","1",NA,"no","yes","no","no","no","6.5","13",NA,NA,NA,NA
"2","north_lek","1987","03","13",NA,NA,"blue","201","B201","blue","202","B202","adult",NA,"790","316","295","135","70","71","24","35.7","21.9",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"yes",NA,NA,"18","15","0.833333333","pleasant"
