"lek_number","lek_name","year","month","day","time","prop_time","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","weight_g_with_bag","total_length_mm","tail_length_mm","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","comb_length_mm","bill_length_mm","bill_depth_mm","comb_color","air_sac_color","hematomas_combs","hematomas_air_sacs","breed","lice_back_of_head","lice_present_on_combs","lice_number__on_combs","lice_present_on_air_sacs","lice_number_on_air_sacs","diarrhea","fecal_samples_mites","fecal_samples_spores","fecal_samples_coccidia","blood_tryps","blood_plasm","blood_pcv_mm","total_volume_mm","days_lek_observed","days_on_lek","proportion_of_days_on_lek","comments"
"1","long_lake","1987","03","16",NA,NA,"blue","205","B205","white","405","W405","adult","3300","805","340","328","135","71","74","20.4","39.2","22.2","green",NA,NA,"yes","no",NA,"yes",NA,"yes",NA,NA,"no","no","no",NA,"no",NA,NA,"20","10","0.5",NA
"1","long_lake","1987","03","16",NA,NA,"red","104","R104","white","407","W407","adult","3300","785","314","316","133","71","72","23.9","38.8","22.8",NA,NA,NA,"yes","no",NA,NA,NA,"yes",NA,NA,"no","yes","no",NA,"no",NA,NA,"20","1","0.05",NA
"1","long_lake","1987","03","18",NA,NA,"white","409","W409","white","408","W408","adult","3600","785","284","312","135","71","77","23.1","38.3","21.8","brilliant yellow",NA,"no","yes","no",NA,"no",NA,"yes",NA,NA,"no","yes","no","no","no",NA,NA,"20","3","0.15",NA
"8","mud_springs","1987","04","11","4:35",0.190972222222222,"red","116","R116","white","411","W411","juv","3000","700","269","296","128","66","70","24.8","39.45","23.55","lemon","bistre yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no","no","11.5","15",NA,NA,NA,NA
"6","broken_wing","1987","04","14","4:17",0.178472222222222,"blue","294","B294","white","414","W414","adult","3500","781","331","295","135","74","68","22.8","38.75","24.65","olive yellow","bistre yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","yes","9","27","5","1","0.2",NA
"6","broken_wing","1987","04","14","4:50",0.201388888888889,"green","348","G348","white","415","W415","adult","3100","892","312","313","141","72","70","22.75","37.35","24.05","yellow olive","bistre yellow","yes","yes","no","no","no","0","yes","2",NA,"no","yes","no","no","yes","12","21.5","5","1","0.2",NA
"7","sybille_springs","1987","04","16","3:51",0.160416666666667,"red","141","R141","white","416","W416","juv","2750","543","256","315","127","71","70","25.3","38.3","23.2","olive yel-yel olive","bistre yellow","yes","yes","no","yes","no","0","no","0",NA,NA,NA,NA,"no","no","8","23.5",NA,NA,NA,NA
"6","broken_wing","1987","04","09","3:45",0.15625,"white","423","W423","white ","418","W418","adult","3150","744","311","304","136","69","66","23.3","38.9","20.9","olive yellow","bistre yellow","yes","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","8.5","14.5","7","5","0.714285714",NA
"1","long_lake","1987","04","02",NA,NA,"green","321","G321","white","421","W421","juv","2550","674","238","318","131","70","68","23.6","37.6","21.95","apple green",NA,"yes","yes","no","no","no",NA,"no",NA,NA,"no","yes","no","no","no",NA,NA,"18","3","0.166666667",NA
"8","mud_springs","1987","04","26","6:57",0.289583333333333,"orange","79","O79","white","442","W442","adult","2800","690","310","325","130","70","65","25.4","41.1","23.8","olive yellow","bistre yellow","no","yes","no","no","no","0","yes","2",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA
"2","north_lek","1987","04","19",NA,NA,"blue","251","B251","white","479","W479","juv","2800","732","231","309","125","70","72","23.3","38.9","21","yellow/green","golden yellow","yes","yes","no","no","no","0","no","0","mild","no","yes","no","no","no","12","20",NA,NA,NA,NA
"2","north_lek","1987","04","19","7:50",0.326388888888889,"red","181","R181","white","480","W480","juv","2600","700","216","299","132","71","65","21","36.7","23.7","yellow","yellow","yes","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","13","24",NA,NA,NA,NA
"2","north_lek","1987","04","19","8:15",0.34375,"green","390","G390","white","482","W482","juv","3100","730","239","304","132","70","71","21.4","37.6","22.1","yellow/green","yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","no","9.5","20.5",NA,NA,NA,NA
"7","sybille_springs","1987","04","17",NA,NA,"orange","99","O99","white","483","W483","juv","2800","740","261","305","133","72","72","20.4","38.2","21.5","yellow/green","yellow","no","yes","no","no","no","0","no","0","yes",NA,NA,NA,"no","no","16.5","31","6","1","0.166666667",NA
"8","mud_springs","1987","04","14","4:15",0.177083333333333,"orange","98","O98","white","484","W484","adult","3550","811","327","304","139","71","72","23.1","40.3","21.7","yellow","yellow","no","no","no","no","no","0","yes","1",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA
"7","sybille_springs","1987","04","17","5:15",0.21875,"white","488","W488","white","487","W487","adult","3300","812","307","310","131","70","72","21.9","37.9","20.8","green","yellow green","no","no","no","no","no","0","yes","1",NA,NA,NA,NA,"no","yes","12.5","23",NA,NA,NA,NA
"8","mud_springs","1987","04","14","4:00",0.166666666666667,"blue","258","B258","white","489","W489","adult","3400","778","309","307","133","71","71","22.8","38.7","21.6","brilliant yellow","yellow green","no","no","no","no","no","0","no","0",NA,NA,NA,NA,NA,"yes",NA,NA,"5","1","0.2",NA
"4","south_fetterman","1987","04","12","4:00",0.166666666666667,"white","496","W496","white","495","W495","adult","3300","705","238","308","134","70","71","20.8","38","21.9","yellow","yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","8","11.5","4","2","0.5",NA
"5","cordingly","1987","04","11","4:15",0.177083333333333,"white","499","W499","white","498","W498","adult","3450","772","304","308","137","69","71","24.8","38.8","21.5","green","green","no","yes","no","no","no","0","no","0",NA,"no","no","no","no","no","8","17.5",NA,NA,NA,"nasty gash on head"
"1","long_lake","1987","03","19",NA,NA,"green","306","G306","purple","506","P506","juv","2900","710","252","310","134","70","73","20.8","37.7","22.5",NA,NA,"no","no","no",NA,"no",NA,"no",NA,NA,"yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA
"1","long_lake","1987","03","18",NA,NA,"purple","509","P509","purple","508","P508","adult","3500","790","314","308","127","71","75","23.7","38.2","21.5",NA,NA,"no","yes","no",NA,"no",NA,"yes",NA,NA,"yes","yes","no","no","no",NA,NA,NA,NA,NA,NA
"8","mud_springs","1987","04","11","3:19",0.138194444444444,"blue","225","B225","purple","513","P513","adult","3200","721","323","313","126","75","69","23.2","39.4","24.1","greenish yellow","chrome yellow","yes","no","no","no","no","0","yes","1",NA,NA,NA,NA,"no","yes","10","13.5","7","4","0.571428571",NA
"6","broken_wing","1987","04","06",NA,NA,"orange","15","O15","purple","516","P516","adult","3450","709","284","317","121","70","69","26.2","38.1","23.95","yellow olive","chrome yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","no","4","6.5",NA,NA,NA,"gash on rt breast, bleeding"
"6","broken_wing","1987","04","14","5:35",0.232638888888889,"green","320","G320","purple","519","P519","adult","3250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","0","no","0",NA,"no","yes","no","no","yes","12.5","24","7","5","0.714285714",NA
"6","broken_wing","1987","04","06",NA,NA,"green","320","G320","purple","519","P519","adult","3650","746","314","300","135","71","77","23.5","39.9","24.75","olive yellow","bistre yellow","yes","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","yes","8","11",NA,NA,NA,NA
"6","broken_wing","1987","04","09","4:25",0.184027777777778,"purple","524","P524","purple","523","P523","adult","3500","721","286","302","160","71","68","24.2","39","22.45","olive yellow","bistre yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","yes","9","12.5","7","5","0.714285714",NA
"4","south_fetterman","1987","04","13",NA,NA,"purple","561","P561","purple","560","P560","adult","3400","810","341","315","139","70","69","23.2","35.9","21.1","yellow","golden yellow","no","no","no","yes","no","0","yes","1",NA,NA,NA,"no","no","no","9","13.5",NA,NA,NA,NA
"1","long_lake","1987","04","10","5:55",0.246527777777778,"red","193","R193","purple","563","P563","adult","3200","760","306","307","127","70","72","24.6","38.1","22.2","yellow","yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","11","18.5",NA,NA,NA,NA
"1","long_lake","1987","04","10","7:10",0.298611111111111,"white","500","W500","purple","564","P564","juv","3000","700","240","315","133","70","74","21.1","35.5","21.5","yellow","yellow","no","no","no","no","no","0","no","0","yes","no","yes","no","no","no","10.5","16",NA,NA,NA,NA
"1","long_lake","1987","04","10","6:43",0.279861111111111,"orange","92","O92","purple","565","P565","adult","3300","779","308","318","131","70","71","22","39.1","22.6","yellow","yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","no","9.5","13.5",NA,NA,NA,"stressed out,release, got up"
"1","long_lake","1987","04","10","5:25",0.225694444444444,"blue","274","B274","purple","566","P566","adult","3300","764","305","310","131","69","71","23.9","37.5","22.4","green","yellow/green","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","3.5","13","14","3","0.214285714",NA
"5","cordingly","1987","04","08","3:45",0.15625,"purple","575","P575","purple","567","P567","adult","3300","770","330","302","126","70","72","24","40.2","21.8","green","yellow","no","yes","no","yes","no","0","yes","4",NA,"no","yes","no","no","no","4.5","14","3","1","0.333333333",NA
"3","windmill_dam","1987","04","05",NA,NA,"white","449","W449","purple","568","P568","adult","3400","762","301","302","126","69","70","24.5","39.6","22.2",NA,NA,NA,NA,"no",NA,NA,NA,"yes","9",NA,"no","yes","no","no","no","7.5","12",NA,NA,NA,NA
"3","windmill_dam","1987","04","05",NA,NA,"red","194","R194","purple","570","P570","adult","3600","781","302","315","124","72","69","25.2","38.4","22","green",NA,"yes",NA,"no",NA,NA,NA,"yes","16",NA,"yes","yes","no","no","no","8","14.5",NA,NA,NA,NA
"3","windmill_dam","1987","04","05",NA,NA,"blue","271","B271","purple","571","P571","adult","3400","800","306","308","128","68","71","21.5","39.5","20.9","green",NA,"yes","yes","no",NA,"no","0","no","0",NA,"yes","yes","no","no","no","5.5","13.5","4","2","0.5",NA
"2","north_lek","1987","04","04",NA,NA,"green","397","G397","purple","574","P574","juv","2600","685","266","303","135","67","65","21.71","38.78","20.25","yellow","yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no",NA,"10","19",NA,NA,NA,NA
"7","sybille_springs","1987","04","16","3:30",0.145833333333333,"blue","280","B280","purple","583","P583","adult","3100","740","291","296","145","72","66","21.1","41.4","23.85","olive yellow","bistre yellow","no","yes","no","no","no","0","yes","1",NA,NA,NA,NA,"no",NA,"11","21.5",NA,NA,NA,"hole in rt air sac"
"7","sybille_springs","1987","04","17","5:00",0.208333333333333,"blue","280","B280","purple","583","P583","adult","3300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"8","20.5",NA,NA,NA,NA
"7","sybille_springs","1987","04","16","3:06",0.129166666666667,"red","136","R136","purple","584","P584","adult","2700","715","278","305","145","72","67","23.05","40.35","23.05","olive yellow","bistre yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no",NA,"11","22","6","1","0.166666667",NA
"7","sybille_springs","1987","04","15","6:03",0.252083333333333,"green","343","G343","purple","591","P591","adult","3000","748","305","323","144","74","65","24.25","39.75","25.6","olive yellow","bistre yellow","no","no","no","no","no","0","no","0","yes",NA,NA,NA,NA,NA,NA,NA,"7","3","0.428571429",NA
"8","mud_springs","1987","04","12","4:05",0.170138888888889,"purple","599","P599","purple","596","P596","adult","3100","734","296","313","132","70","69","23.9","40.95","25.7","olive yellow","chrome yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no",NA,"7","14",NA,NA,NA,NA
"7","sybille_springs","1987","04","15","5:45",0.239583333333333,"orange","23","O23","purple","598","P598","adult","2800","710","331","308","127","68","65","21.95","40","21.1","olive yellow","bistre yellow","no","no","no","no","no","0","no","0",NA,NA,NA,NA,NA,NA,NA,NA,"7","4","0.571428571",NA
"1","long_lake","1987","03","10",NA,NA,"orange","10","O10","orange","9","O9","adult","3500","785","310","310","150","75","72","25.5","39.4","20.3",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"2","north_lek","1987","03","14",NA,NA,"purple","502","P502","purple","501","P501","adult","3600","770","330","320","135","70","71","23.7","38","20.8",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,"18","14","0.777777778",NA
"7","sybille_springs","1987","04","08","4:07",0.171527777777778,"purple","525","P525","purple","522","P522","adult","3350","765","327","309","138","66","67","23.25","38.6","23","yellow olive","greenish yellow","no","yes","yes","no","no","0","yes","2",NA,NA,NA,NA,"no",NA,"3","19.5","8","6","0.75",NA
"1","long_lake","1987","03","16",NA,NA,"green","303","G303","orange","5","O5","adult","3200","760","295","314","136","71","71","24.7","38.8","21.5","brilliant yellow",NA,"no","yes","yes","no","no",NA,"no",NA,NA,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,"lesion under left wing"
"8","mud_springs","1987","04","09","5:00",0.208333333333333,"white","447","W447","white","444","W444","adult","3400","730","292","316","131","71","73","24.8","37.4","21.7","green","yellow/green","yes","no","yes","no","no","0","no","0",NA,NA,NA,NA,"no",NA,"8","13.5","8","1","0.125",NA
"1","long_lake","1987","03","16",NA,NA,"purple","507","P507","white","406","W406","adult","3100","801","334","324","130","74","73","21.6","37.6","20.8","green",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,"20","9","0.45",NA
"8","mud_springs","1987","04","12","6:20",0.263888888888889,"white","413","W413","green","344","G344","adult","3100","740","332","301","125","75","65","23.3","38.6","24.75","olive yellow","bistre yellow","no","no","yes","no","no","0","no","0",NA,NA,NA,NA,"no",NA,"11","17","7","6","0.857142857","even sac color"
"2","north_lek","1987","04","04",NA,NA,"red","109","R109","blue","273","B273","adult","3200","750","325","299","136","67","65","25.66","36","17.45","yellow/green","yellow","no","yes","yes","no",NA,NA,NA,NA,NA,"no","yes","no","no",NA,"10.5","25","15","14","0.933333333",NA
"1","long_lake","1987","04","18","4:50",0.201388888888889,"green","389","G389","red","183","R183","adult","3100","770","273","309","135","69","71","27.2","41.4","21.8","yellow/green","yellow","yes","no","yes","no","no","0","no","0",NA,"no","yes","no","no",NA,"10","21.5","8","2","0.25",NA
"1","long_lake","1987","04","10","5:25",0.225694444444444,"green","303","G303","orange","5","O5","adult","3150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,"yes","4",NA,"no","yes","no","no",NA,"7.5","12","20","8","0.4",NA
