"","id_number","lek_name","collecter","female_id","num_eggs_in_clutch","estimated_hatch_month","estimated_hatch_day","actual_hatch_month","actual_hatch_day","observation_num","year","month","day","days_after_collection","time24h","length_mm","width_mm","weight_g","change_air_sac_mm","notes","general_notes"
"1","N1-3","north","White",NA,5,6,25,6,24,"0",1990,"5","28","0","16:00","54.3","38","42.99",NA,NA,NA
"2","N1-3","north","White",NA,5,6,25,6,24,"1",1990,"5","31","3",NA,NA,NA,"42.76",NA,NA,NA
"3","N1-3","north","White",NA,5,6,25,6,24,"2",1990,"6","11","14",NA,NA,NA,"41.03",NA,NA,NA
"4","N1-4","north","White",NA,5,6,25,6,23,"0",1990,"5","28","0","16:00","55.8","39.4","45.6",NA,NA,"pipped 22 June 90"
"5","N1-4","north","White",NA,5,6,25,6,23,"1",1990,"5","31","3",NA,NA,NA,"45.27",NA,NA,"pipped 22 June 90"
"6","N1-4","north","White",NA,5,6,25,6,23,"2",1990,"6","11","14",NA,NA,NA,"43.57",NA,NA,"pipped 22 June 90"
"7","N1-5","north","White",NA,5,6,25,6,24,"0",1990,"5","28","0","16:00","58.4","38.6","47.1",NA,NA,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 "
"8","N1-5","north","White",NA,5,6,25,6,24,"1",1990,"5","31","3",NA,NA,NA,"46.83",NA,NA,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 "
"9","N1-5","north","White",NA,5,6,25,6,24,"2",1990,"6","11","14",NA,NA,NA,"44.85",NA,NA,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 "
"10","N1-2","north","White",NA,5,6,25,NA,NA,"0",1990,"5","28","0","16:00","57.7","38.6","47.37",NA,NA,"never hatched"
"11","N1-2","north","White",NA,5,6,25,NA,NA,"1",1990,"5","31","3",NA,NA,NA,"47.12",NA,NA,"never hatched"
"12","N1-2","north","White",NA,5,6,25,NA,NA,"2",1990,"6","11","14",NA,NA,NA,"45.28",NA,NA,"never hatched"
"13","N1-2","north","White",NA,5,6,25,NA,NA,"3",1990,"7","1","34",NA,NA,NA,NA,NA,"opened, chick (?) complete in development ","never hatched"
"14","P2-2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"0",1990,"5","13","0","7:00","58.1","36.7","41.89",NA,NA,NA
"15","P2-2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"1",1990,"5","23","10",NA,NA,NA,"39.77",NA,NA,NA
"16","P2-2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"2",1990,"5","25","12",NA,NA,NA,NA,"none","not fertile",NA
"17","P2-2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"3",1990,"5","30","17",NA,NA,NA,"38.27",NA,NA,NA
"18","P2-2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"4",1990,"6","11","29",NA,NA,NA,NA,NA,"opened- not fertile ",NA
"19","P2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"0",1990,"5","11","0","7:00","54.7","37.2","38.93",NA,NA,NA
"20","P2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"1",1990,"5","23","12",NA,NA,NA,"32.81",NA,NA,NA
"21","P2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"2",1990,"5","25","14",NA,NA,NA,NA,"none","not fertile",NA
"22","P2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"3",1990,"5","31","20",NA,NA,NA,"38.77",NA,NA,NA
"23","P2-1","PEN","Baldwin",NA,1,NA,NA,NA,NA,"4",1990,"6","11","31",NA,NA,NA,NA,NA,"opened- not fertile",NA
"24","SS1-1","sybille_springs","White",NA,7,6,7,6,10,"0",1990,"5","16","0","18:25","55.1","39.1","45.78",NA,NA,"pipped 8 June "
"25","SS1-1","sybille_springs","White",NA,7,6,7,6,10,"1",1990,"5","23","7",NA,NA,NA,"44.43",NA,NA,"pipped 8 June "
"26","SS1-1","sybille_springs","White",NA,7,6,7,6,10,"2",1990,"5","31","15",NA,NA,NA,"42.92",NA,NA,"pipped 8 June "
"27","SS1-2","sybille_springs","White",NA,7,6,7,6,10,"0",1990,"5","16","0","18:25","54.4","39.1","45.23",NA,NA,NA
"28","SS1-2","sybille_springs","White",NA,7,6,7,6,10,"1",1990,"5","23","7",NA,NA,NA,"44.05",NA,NA,NA
"29","SS1-2","sybille_springs","White",NA,7,6,7,6,10,"2",1990,"5","31","15",NA,NA,NA,"42.71",NA,NA,NA
"30","SS1-2","sybille_springs","White",NA,7,6,7,6,10,"3",1990,"6","10","25",NA,NA,NA,"42.7",NA,"looks as if died ",NA
"31","SS1-3","sybille_springs","White",NA,7,6,7,6,10,"0",1990,"5","16","0","18:25","55.9","38.4","45.15",NA,NA,"pipped 9 June "
"32","SS1-3","sybille_springs","White",NA,7,6,7,6,10,"1",1990,"5","23","7",NA,NA,NA,"43.82",NA,NA,"pipped 9 June "
"33","SS1-3","sybille_springs","White",NA,7,6,7,6,10,"2",1990,"5","31","15",NA,NA,NA,"42.4",NA,NA,"pipped 9 June "
"34","SS1-4","sybille_springs","White",NA,7,6,7,NA,NA,"0",1990,"5","16","0","18:25","56.6","39.1","46.57",NA,NA,"opened 22 June 90 - chick fully developed head (?)"
"35","SS1-4","sybille_springs","White",NA,7,6,7,NA,NA,"1",1990,"5","23","7",NA,NA,NA,"45.03",NA,NA,"opened 22 June 90 - chick fully developed head (?)"
"36","SS1-4","sybille_springs","White",NA,7,6,7,NA,NA,"2",1990,"5","31","15",NA,NA,NA,"43.45",NA,NA,"opened 22 June 90 - chick fully developed head (?)"
"37","SS1-4","sybille_springs","White",NA,7,6,7,NA,NA,"3",1990,"6","11","26",NA,NA,NA,"41.13",NA,"looks as if died ","opened 22 June 90 - chick fully developed head (?)"
"38","SS1-5","sybille_springs","White",NA,7,6,7,NA,NA,"0",1990,"5","16","0","18:25","55.3","38.2","42.9",NA,NA,"opened on 22 June - chick fully developed, head (?) wing "
