"l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"o","g","1989",3,"31","s._fetterman",NA,"28","0.252083333","0.245833333","-0.00625","1","3",NA,NA
"O1315","W1448","1989",4,"20","viewpoint","adult","5","0.264583333","0.268055556","0.003472222","0","0","0","0"
"O1315","W1448","1989",5,"04","viewpoint","adult","30","0.24375","0.249305556","0.005555556","2","0","0","0"
"O1315","W1448","1989",5,"16","viewpoint","adult","10","0.234722222","0.243055556","0.008333333","0","0","0","0"
"O1315","W1448","1989",5,"07","viewpoint","adult","12","0.242361111","0.247222222","0.004861111","0","0","0","0"
"O1315","W1448","1989",5,"07","viewpoint","adult","33","0.25625","0.247222222","-0.009027778","0","0","0","0"
"O1315","W1448","1989",4,"20","viewpoint","adult","0","0.271527778","0.268055556","-0.003472222","0","0","0","0"
"O1315","W1448","1989",4,"30","viewpoint","adult","5","0.270138889","0.252777778","-0.017361111","0","0","0","0"
"O1315","W1448","1989",4,"30","viewpoint","adult","17","0.254861111","0.252777778","-0.002083333","0","0","0","0"
"O1315","W1448","1989",5,"07","viewpoint","adult","8","0.235416667","0.247222222","0.011805556","0","0","0","0"
"O1315","W1448","1989",4,"20","viewpoint","adult","6","0.284722222","0.268055556","-0.016666667","0","0","0","0"
"O1315","W1448","1989",5,"07","viewpoint","adult","10","0.241666667","0.247222222","0.005555556","0","0","0","0"
"O1316","O1324","1989",4,"05","viewpoint","adult","28","0.268055556","0.279166667","0.011111111","1","1","1","0"
"O1316","O1324","1989",4,"10","viewpoint","adult","26","0.279861111","0.277083333","-0.002777778","1","1","1","0"
"O1316","O1324","1989",4,"10","viewpoint","adult","27","0.292361111","0.277083333","-0.015277778","1","1","1","0"
"O1317","W1439","1989",5,"04","long_lake","adult","26","0.266666667","0.249305556","-0.017361111","2","0","0","0"
"O1317","W1439","1989",4,"16","long_lake","adult","25","0.268055556","0.272222222","0.004166667","2","0","0","0"
"O1317","W1439","1989",5,"10","long_lake","adult","21","0.243055556","0.245833333","0.002777778","1","0","0","0"
