,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,
63,27-03-1990,5:39,6:01,SYBILLE,White,None,0 to 5,90,- ,-,~30,,Some snow,golden eagle seen flying N above canals just before my arrival ,6:39,5:43,12,0,,5:51,5:56,R,,8,3,,,,,,,"Predator disturbance - all but 6 birds flew. 6:25 - coyotes howled, birds not disturbed. Written under copulation section: down at 5:53, 6:17 and up at 6:04, 6:19. Lek very disturbed strutting would occur for 1- 2 mins then nothing. 6:42 - 2 males flew E to W over lek - did not land. 6:43 - 3 males flew off lek, 5 males still strutting. 6:46 - - some males seen walking back onto lek"
,,,,,,,,,,,,,,,,6:01,15,0,,6:19,6:24,R - 25,W - 14,10,3,,,,,,,
,,,,,,,,,,,,,,,,6:33,19,0,1 juv. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:39,7,0,coyote howled - any left on flew away,,,,,,,,,,,,,
64,29-03-1990,6:00,6:00,SYBILLE,White,None,0 to 5,100,- ,-,~25,Snow and wind everywhere,snow and wind overnight,,,6:05,0,0,Nothing around,,,,,,,,,,,,,
65,09-04-1990,6:08,6:45,SYBILLE,White,None,0 to 5,95,- ,-,35,rain overnight,Clear,,,6:12,42,3,,6:31,6:36,R,W,33,1,,-,,,,,Fog rolled in 7:05 - hard to see. F. Hawk perched S of Lek. Left at 7:15 due to fog
,,,,,,,,,,,,,,,,7:05,43,10,,6:31,6:36,R,R,43,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:10,B,B,27,3,,couldn't see any hens - may have been over a rise,,,,,
66,4-11-1990,5:50,~6:15,SYBILLE,Gregg Kuez,Spotlighting night of 4-10-1990,0 to 5,15,-,-,30,,Clear,,,6:00,39,,Too dark to see females,6:36,6:40,Red,?,5,2,,-,UM,,,3,Observed 1 female with an orange tag
,,,,,,,,,,,,,,,,6:20,37,24,,7:11,7:16,Red,Yellow,27,1,,-,,,,,
,,,,,,,,,,,,,,,,7:00,37,27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,35,10,,,,,,,,,,,,,,
67,12-04-1990,6:15,6:28,ROUNDTOP,Suzy Beauchaine,,0 to 5,40,-,-,35,,Light frost,None,,6:15,26,10,3 marks,6:30,6:35,B,,0,3,,,,,,,GG had fight w/UNK. and standoff. By 7:00 am all birds were flushed by four people
,,,,,,,,,,,,,,,,6:30,,27,Flushed by 4 people,6:35,6:40,G,G,18,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,R,Y,31,1,,,,,,,
68,13-04-1990,5:50,,SYBILLE,Gregg Kuez,,5 to 10,95,,,,,Snow covered,Coyote (2),7:20,6:05,22,12,,6:38,6:43,- ,-,33,1,,3 fights 1 copopulation,,,,4,
,,,,,,,,,,,,,,,,6:20,26,15,,6:46,6:51,Red,,19,1,,-,,,,,
,,,,,,,,,,,,,,,,7:00,29,12,,6:53,6:58,Yellow,,28,,,2 fights,,,,,
,,,,,,,,,,,,,,,,7:20,29,12,,,,,,,,,,,,,,
69,13-04-1990,5:58,~6:30,SYBILLE,White/Menkens,Spotlighting,10 to 15,95,,,~25,Heavy wet snow overnight,Snow covered,,,6:00,25,16,,6:13,6:18,R,Y,24,2,,,,,,,2 coyotes to far W of lek - birds not disturbed
,,,,,,,,,,,,,,,,6:41,21,9,snow - can't see,6:24,6:29,W,B,34,1,,"Edge of hen cluster, chased juven. ",UM,,,6,
,,,,,,,,,,,,,,,,,,,,7:17,7:22,W,B,23,1,,hens wandering off ,,,,,
70,15-04-1990,5:50,6:10,SYBILLE,Kuez,,0,5,-,-,39,,Clear,,,6:16,20,18,,6:21,6:26,G,G,29,1,,2 (1 loss below),UM,,,3,
,,,,,,,,,,,,,,,,6:32,20,21,,6:40,6:45,O,,9,3,,,,,,,
,,,,,,,,,,,,,,,,7:00,18,22,,,,,,,,,,,,,,
71,15-04-1990,5:52,6:25,ROUNDTOP,Suzy Beauchaine,,0 to 5,10,-,-,37,,Light frost,Raptor (golden eagle),5:57 and 6:01,6:34,18,21,"Scattered into 4 groups because of eagle, another pickup approx 30 m from largest group",6:25,6:30,G,G,37,1,,"W/unknown standoff - 2 fights, both standoff",G,G,,1,Some unknown ? fought 3 different birds within 6:25 - 6:30. Light fog - 6:40 / Med fog - 7:00 / Heavy fog - 7:11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,25,22,Unable to see third group due to fog,6:49,6:54,OR,W,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:00,7:05,G,G,41,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:18,7:23,R,Y,26,1,,"W/unk, RY won",,,,,
72,16-04-1990,5:56,6:23,ROUNDTOP,Suzy Beauchaine,,0 to 5,20,-,-,38,,Dry,Train,6:46,6:00,41,24,Unable to see females in Group 1 /3 males ,6:05,6:10,R,,29,2,,,UNK,,,5,"7:18 - Another vehicle - most birds flushed, Page reads ""551"" in space allocated to record the time of sunrise "
,,,,,,,,,,,,,,,,6:30,42,26,,6:12,6:17,R/tape,Y/tape,31,1,,,O,Y,,1,
,,,,,,,,,,,,,,,,,,,,,Female,O,Y,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Female,Y,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,B/tape,R,13,2,,W/unknown ,,,,,
,,,,,,,,,,,,,,,,,,,,6:35,6:40,W,G?B?,29,2,,Difficult to see tags - fight w/ UM,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:51,O,W,8,3,,? Most birds half crouched - TRAIN,,,,,
73,17-04-1990,5:54,,SYBILLE,White/Beauchaine,None,"20 to 25, gusty",100,- ,-,25,Storm moving in ,Clear,None,,5:50,36,1,Prob more female - can't see them yet,6:12,6:17,WB,R,20,2,,standoff w/ UM male while timing,,?,,3,"7:14 - about 1/2 birds flew, by 7:29 hens gone, males very dispersed, Page reads ""350"" in space allocated to record the time of sunrise & WG1561 in the middle of the left margin"
,,,,,,,,,,,,,,,,6:20,38,8,,6:20,6:25,W,,41,1,,standoff with UM male while timing,,,,,
,,,,,,,,,,,,,,,,7:02,30,2,,6:25,6:30,WR,,0,3,,standoff with UM male while timing ,,,,,
,,,,,,,,,,,,,,,,,,,,6:29,6:34,WG,W1407,34,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,R,-,5,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:04,7:08,G,G,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:04,7:09,WO1319,?W,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:25,WG1561,Y1281,4,3,,-,,,,,
74,18-04-1990,5:52,6:10,SYBILLE,Gregg Kuez,,0 to 5,15,-,-,38,,Clear,,,5:59,42,,,6:06,6:11,White Orange,Yellow,14,1,,-,,,,,"Page reads ""550"" in space allocated to record the time of sunrise "
,,,,,,,,,,,,,,,,6:05,46,31,,6:12,6:17,Blue,Red,29,1,,1 standoff,,,,,
,,,,,,,,,,,,,,,,6:20,46,37,,6:20,6:25,White Orange,White,21,1,,-,,,,,
,,,,,,,,,,,,,,,,6:52,50,26,,6:45,6:50,Red,Yellow,4,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:55,7:00,Yellow,?,17,2,,-,,,,,
75,19-04-1990,6:00,,SYBILLE,White/Arvanill,Cannon netting,calm,40,-,-,40,-,Clear,,,6:04,35,,,,,,,,,,,,,,,
76,21-04-1990,6:00,6:12,SYBILLE SPRINGS,Menkens,None,0 to 1,,-,-,,,,,,6:20,34,12,"left and right tags (respectively): B/W, R; R/W, W; R/Y, Y; Y, Y",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,22-04-1990,5:55,6:14,ROUNDTOP,Suzy Beauchaine,,0 to 5,75,-,-,40,-,"Dry, clear",,,5:56,41,6,,6:09,6:11,B,R,29,1,,,Unm,1,,,"Unm cop. began and ended w/two other unm. males attacking him, Page reads ""548"" in space allocated to record the time of sunrise "
,,,,,,,,,,,,,,,,6:56,38,5,,6:14,6:19,W,-,34,2,,,O,G,,1,
,,,,,,,,,,,,,,,,7:21,32,3,,6:24,6:29,R,Y,32,2,,,,,,,
,,,,,,,,,,,,,,,,,,,R - ? B - W Female Y - ? B - R R - Y W - ?: begins with 14__ R - W,6:40,6:45,O/TAPE,B,19,1,,"W/unk, OB won; w/unk OB lost",,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:52,?,Y,0,3,,Ran away out of sight,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,Y/TAPE,G,4,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:00,7:05,G,G,35,1,,,,,,,
78,23-04-1990,5:30,1,SYBILLE/ROUNDTOP,Boyce/Neimuth,,5,15,,,,,Dry,,,5:40,32,,R - ? B - W Female Y - ? B - R R - Y W - ?: begins with 14__ R - W,6:50,6:55,B,W,9,1,,Eagle flushed,,,,,"Page reads ""547"" in space allocated to record the time of sunrise "
,,,,,,,,,,,,,,,,6:10,33,5,,6:50,6:55,R,W,32,1,,Eagle flushed in last 30 seconds,,,,,
,,,,,,,,,,,,,,,,6:40,32,0,,,,,,,,,,,,,,
79,24-04-1990,5:48,6:10,ROUNDTOP,Suzy Beauchaine,Spotlighting,0 to 5,40,-,-,38,-,Clear,,,5:50,32,2,,5:59,6:04,W,-,40,1,,,Unm,1,,,"One female mounted another, then was knocked off by an unmarked male. Female one  mounted female two; male mounted both then was knocked off by another UM male but then one male copopulated with female two. "
,,,,,,,,,,,,,,,,6:18,23,3,Group # 2 sitting down,5:59,6:04,R/tape,Y/tape,16,1,,,,,,,
,,,,,,,,,,,,,,,,7:05,28,2,,6:09,6:14,B/tape,R,14,1,,"3 fights w/unm, all standoffs",,,,,
,,,,,,,,,,,,,,,,,,,,6:34,6:39,O/tape,W,25,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,R/tape,W,20,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:51,6:56,G,G,7,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,Y?,G,14,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:13,7:18,R/tape,-,2,3,,,,,,,
80,27-04-1990,5:29,6:13,SYBILLE,Neimuth,None,10,25,,,35,,Snow covered,,,5:39,23,,,,,,,,,,who wins,,,,,
,,,,,,,,,,,,,,,,5:54,19,,"R &wh left, yell rt. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,26,,"Bl &wh. left, red rt.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:51,21,1,"rd. left, yell. rt. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,31,,Gr. st. 1565,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:31,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:35,,,All flew ? disturbance,,,,,,,,,,,,,
81,30-04-1990,05:?,~ 6:06,SYBILLE,White,None,0 to 5,3,-,-,20,-,? frost,6 E,5:40,5:52,18,0,"O/B   - lw, walked",6:00,6:05,W1405,G1593,6,3,,Lost NASTY one to UM male,,,,,"6:09 - all birds down. 15 avocets, 5 sand pipers, 2 pairs wigeons, 2 pairs buffles. left 7: 20 ?, Page reads ""544"" in space allocated to record the time of sunrise "
,,,,,,,,,,,,,,,,7:05,25,0,4 appeared on N lek ,6:05,6:10,WG,W,4,3,,way off by himself,,,,,
,,,,,,,,,,,,,,,,,,,,6:16,6:21,WR760,W1415,0,3,,chased off R1711,,,,,
,,,,,,,,,,,,,,,,,,,,- ,- ,WR1732,Y,,3,,,,,,,
