,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE
89,Sybille Spgs,W1442,B1609,adult, ,24,0.29722222,0.26388889,-0.033333333,3,0,1,1
89,Sybille Spgs,W619,O725,adult,,20,0.23645833,0.24618056,0.009722222,1.5,0,1,0
89,Sybille Spgs,Y,R129,adult,,30.5,0.26875,0.27118056,0.002430556,1.375,0,0,3
89,Sybille Spgs,Y,O59,adult,,33,0.27986111,0.24618056,-0.033680556,1.5,0,0,3
89,Sybille Spgs,Y,P534,adult, ,37,0.23888889,0.24513889,0.00625,1,0,0,3
89,Sybille Spgs,Y,B235,adult, ,19,0.27152778,0.275,0.003472222,3,0,0,3
,,,,,,,,,,,,,
89,Cordingly,B265,B264,adult, ,31,0.28819444,0.27847222,-0.009722222,2,0,0,3
89,Cordingly,O66,P556,adult,  ,33,0.28819444,0.27847222,-0.009722222,2,0,0,3
89,Cordingly,R196,R108,adult, ,31,0.2375,0.24930556,0.011805556,1,0,0,3
,,,,, ,,,,,,,,
89,North,B285,B279,adult,,8.3333333,0.29236111,0.27476852,-0.017592593,2.3333333,0,0,3
89,North,O9,W462,adult,,31.666667,0.26435185,0.27476852,0.010416667,1,1,,3
89,North,R1715,G1598,adult,,19.2,0.26375,0.25777778,-0.005972222,1.6,1,1,0
89,North,R1752,B1624,adult,,24,0.265625,0.24895833,-0.016666667,1,0,1,0
89,North,R181,W480,adult,,29.666667,0.24861111,0.24768519,-0.000925926,1.3333333,0,0,3
89,North,W432,B234,adult,,23.333333,0.28888889,0.27476852,-0.01412037,1.6666667,0,0,3
89,North,W481,G388,adult,,18,0.29305556,0.27847222,-0.014583333,2,0,0,3
89,North,W660,Y1113,adult,,17.5,0.29166667,0.27291667,-0.01875,3,0,0,0
89,North,Y,O77,adult, ,37,0.27291667,0.27777778,0.004861111,1,0,0,3
89,North,Y1115,R879,adult,,30.5,0.26979167,0.26400463,-0.005787037,1.3333333,1,0,0
