"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,0,0.010,3,89,0,11.95734875,-11.957499,,0,0,142.9817823,-11.957499,,,,,
0,18,0.000,1,89,0,19.8721,-1.87217,,324,18,3.505020509,-1.87217,,,,,
0,27,0.015,0,89,0,22.30583373,4.6941362,,729,27,22.03491466,4.6941362,,,,,
0,13,0.016,3,89,0,11.48449439,1.5153556,,169,13,2.296302594,1.5153556,,,,,
0,5,0.022,0,89,0,21.78044002,-16.78047,,25,5,281.5841734,-16.78047,,,,,
0,3,0.017,3,89,0,11.43195497,-8.432105,,9,3,71.10039473,-8.432105,,,,,
0,20,0.026,2,89,0,14.28600374,5.7138862,,400,20,32.64849551,5.7138862,,,,,
0,32,0.003,1,89,0,19.6619425,12.337988,,1024,32,152.2259479,12.337988,,,,,
0,0,-0.015,3,89,0,13.79622685,-13.796377,,0,0,190.3400183,-13.796377,,,,,
0,22,0.003,2,89,0,16.0723425,5.9275475,,484,22,35.13581936,5.9275475,,,,,
0,3,0.035,3,89,0,10.01339185,-7.0135419,,9,3,49.18976998,-7.0135419,,,,,
0,30,0.001,3,89,0,12.64036063,17.359489,,900,30,301.3518583,17.359489,,,,,
0,1,0.019,3,89,0,11.22179753,-10.221948,,1,1,104.4882209,-10.221948,,,,,
0,0,-0.006,3,89,0,13.16575438,-13.165904,,0,0,173.3410281,-13.165904,,,,,
0,4,0.032,3,89,0,10.27608878,-6.2762388,,16,4,39.39117347,-6.2762388,,,,,
0,17,0.031,3,89,0,10.38116747,6.6186825,,289,17,43.80695804,6.6186825,,,,,
0,0,0.020,0,89,0,21.93805812,-21.938088,,0,0,481.2797051,-21.938088,,,,,
0,14,0.003,3,89,0,12.4827425,1.5171075,,196,14,2.301615167,1.5171075,,,,,
1,8,0.012,0,90,0,22.56853059,-14.568561,,64,8,212.2429696,-14.568561,,,,,
0,5,0.010,2,89,0,15.49440935,-10.494519,,25,5,110.134929,-10.494519,,,,,
0,11,0.040,3,89,0,9.69815565,1.3016944,,121,11,1.694408311,1.3016944,,,,,
3,32,0.034,1,89,0,17.29767061,14.702259,,1024,32,216.1564197,14.702259,,,,,
0,2,-0.001,2,89,0,16.38757875,-14.387689,,4,2,207.0055948,-14.387689,,,,,
3,10,-0.003,3,89,0,12.95559687,-2.9557469,,100,10,8.736439737,-2.9557469,,,,,
0,26,0.031,1,89,0,17.50782813,8.4921019,,676,26,72.11579468,8.4921019,,,,,
1,16,0.042,2,89,0,13.07759813,2.9222919,,256,16,8.539789949,2.9222919,,,,,
0,12,0.042,3,89,0,9.487998133,2.5118519,,144,12,6.309399968,2.5118519,,,,,
1,29,0.042,1,89,0,16.66719813,12.332732,,841,29,152.0962786,12.332732,,,,,
0,8,0.012,3,89,0,11.79973059,-3.7998806,,64,8,14.43909257,-3.7998806,,,,,
1,7,0.028,0,89,0,21.36012498,-14.360155,,49,7,206.2140516,-14.360155,,,,,
0,10,0.016,3,89,0,11.48449439,-1.4846444,,100,10,2.204168994,-1.4846444,,,,,
3,0,0.031,3,89,0,10.32862813,-10.328778,,0,0,106.683655,-10.328778,,,,,
3,25,0.047,3,89,0,9.172761858,15.827088,,625,25,250.4967146,15.827088,,,,,
0,10,-0.004,0,89,0,23.77693625,-13.776966,,100,10,189.8047922,-13.776966,,,,,
3,21,0.026,1,89,0,17.87560374,3.1243263,,441,21,9.761414829,3.1243263,,,,,
0,0,0.010,3,89,0,11.95734875,-11.957499,,0,0,142.9817823,-11.957499,,,,,
1,10,0.021,0,89,0,21.88551878,-11.885549,,100,10,141.266275,-11.885549,,,,,
0,11,0.015,3,89,0,11.58957315,-0.58972313,,121,11,0.34777337,-0.58972313,,,,,
