regression of strut rate vs. distance to hens and time from sunrise,,,,,,,,,,,,,,,,,
malaria vs. no malaria - 1990. birds of unknown malaria status not included,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,,,,,,struts,,resids,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,values,resids,,,,,,,squared,struts,squared,resids
---------,---------,---------,---------,---------,---------,---------,---------,,,Regression Output:,,,,---------,---------,---------,---------
0,0,0.025,3,90,0,11.32595,-11.32592,,,,,,,0,0,128.2764638,-11.32592
0,3,0.028,0,90,0,16.00247778,-13.002448,,,,,,,9,3,169.063654,-13.002448
0,35,0.042,3,90,0,11.22591666,23.774113,,,,,,,1225,35,565.2084489,23.774113
,,,,,,,,,,,,,sums,15079,667,8241.049534,-110.4649691
,,,,,,,,,,,,,square,,444889,,12202.50939
,,,,,,,,,,,,,average,,10.93442623,,-1.810901132
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,0,-0.003,3,90,0,11.49684028,-11.49681,,,,,,,0,0,132.1766402,-11.49681
1,17,0.018,1,90,1,14.49643055,2.5035994,,,,,,,289,17,6.268009956,2.5035994
1,0,0.019,0,90,0,16.05249445,-16.052464,,,,,,,0,0,257.6816005,-16.052464
1,36,0.033,2,90,0,12.84033334,23.159697,,,,,,,1296,36,536.3715651,23.159697
1,0,-0.003,3,90,1,11.49684028,-11.49681,,,,,,,0,0,132.1766402,-11.49681
1,29,0.005,2,90,0,13.01122361,15.988806,,,,,,,841,29,255.6419173,15.988806
1,20,0.031,1,90,0,14.42140555,5.5786244,,,,,,,400,20,31.1210502,5.5786244
1,0,0.049,3,90,1,11.18423611,-11.184206,,,,,,,0,0,125.0864639,-11.184206
1,19,0.060,1,90,0,14.24217916,4.7578508,,,,,,,361,19,22.63714424,4.7578508
1,0,0.016,3,90,1,11.38013472,-11.380105,,,,,,,0,0,129.5067898,-11.380105
1,0,0.001,3,90,0,11.46766389,-11.467634,,,,,,,0,0,131.5066296,-11.467634
1,10,0.049,2,90,0,12.74863611,-2.7486061,,,,,,,100,10,7.554835493,-2.7486061
1,1,0.042,3,90,0,11.22591666,-10.225887,,,,,,,1,1,104.5687649,-10.225887
1,0,-0.008,3,90,0,11.52184861,-11.521819,,,,,,,0,0,132.7523131,-11.521819
1,20,0.028,3,90,0,11.30927778,8.6907522,,,,,,,400,20,75.5291738,8.6907522
1,14,0.006,1,90,0,14.5672875,-0.5672575,,,,,,,196,14,0.321781071,-0.5672575
1,11,0.033,3,90,0,11.27593334,-0.27590333,,,,,,,121,11,0.076122648,-0.27590333
1,17,-0.006,1,90,0,14.6423125,2.3577175,,,,,,,289,17,5.55883181,2.3577175
1,0,0.015,3,90,0,11.38847084,-11.388441,,,,,,,0,0,129.6965884,-11.388441
1,0,0.051,3,90,1,11.16756389,-11.167534,,,,,,,0,0,124.7138156,-11.167534
1,1,0.043,3,90,0,11.21758055,-10.217551,,,,,,,1,1,104.3983484,-10.217551
1,32,0.035,1,90,0,14.39639722,17.603633,,,,,,,1024,32,309.8878948,17.603633
1,8,0.049,3,90,0,11.18006805,-3.1800381,,,,,,,64,8,10.11264232,-3.1800381
1,19,0.027,1,90,0,14.44224584,4.5577842,,,,,,,361,19,20.77339681,4.5577842
1,27,0.006,2,90,0,13.00705556,13.992974,,,,,,,729,27,195.8033214,13.992974
1,20,0.024,2,90,0,12.89451805,7.1055119,,,,,,,400,20,50.48829936,7.1055119
1,11,-0.007,1,90,0,14.64648056,-3.6464506,,,,,,,121,11,13.29660198,-3.6464506
1,21,0.024,3,90,0,11.33011805,9.6699119,,,,,,,441,21,93.50719615,9.6699119
1,2,0.013,3,90,0,11.39680695,-9.3967769,,,,,,,4,2,88.29941611,-9.3967769
1,0,-0.011,3,90,0,11.54268889,-11.542659,,,,,,,0,0,133.2329768,-11.542659
1,0,0.043,0,90,0,15.91078055,-15.910751,,,,,,,0,0,253.1519974,-15.910751
1,47,0.023,1,90,0,14.46725416,32.532776,,,,,,,2209,47,1058.381514,32.532776
1,36,0.017,1,90,0,14.50059861,21.499431,,,,,,,1296,36,462.2255333,21.499431
1,40,0.019,1,90,0,14.48809445,25.511936,,,,,,,1600,40,650.8588785,25.511936
1,3,0.032,3,90,0,11.28426945,-8.2842394,,,,,,,9,3,68.62862244,-8.2842394
1,37,0.013,1,90,0,14.529775,22.470255,,,,,,,1369,37,504.9123598,22.470255
1,29,0.026,3,90,0,11.31761389,17.682416,,,,,,,841,29,312.6678356,17.682416
1,40,0.023,1,90,0,14.46725416,25.532776,,,,,,,1600,40,651.9226503,25.532776
1,8,0.012,0,90,0,16.09834305,-8.0983131,,,,,,,64,8,65.58267507,-8.0983131
1,22,0.011,3,90,0,11.40931111,10.590719,,,,,,,484,22,112.1633289,10.590719
1,31,0.027,1,90,0,14.44224584,16.557784,,,,,,,961,31,274.160211,16.557784
1,32,0.015,2,90,0,12.95287084,19.047159,,,,,,,1024,32,362.794266,19.047159
1,0,0.006,3,90,0,11.4384875,-11.438458,,,,,,,0,0,130.8383214,-11.438458
1,26,-0.001,2,90,0,13.04873611,12.951294,,,,,,,676,26,167.7360163,12.951294
1,26,0.019,3,90,0,11.35929445,14.640736,,,,,,,676,26,214.3511506,14.640736
1,4,0.029,3,90,0,11.30094166,-7.3009117,,,,,,,16,4,53.30331165,-7.3009117
1,0,0.003,3,90,0,11.45515972,-11.45513,,,,,,,0,0,131.2200033,-11.45513
1,2,-0.012,3,90,0,11.54685695,-9.5468269,,,,,,,4,2,91.14190386,-9.5468269
1,3,0.001,3,90,0,11.46766389,-8.4676339,,,,,,,9,3,71.70082386,-8.4676339
1,0,0.015,0,90,0,16.07750278,-16.077473,,,,,,,0,0,258.4851381,-16.077473
1,27,0.013,2,90,0,12.965375,14.034655,,,,,,,729,27,196.971541,14.034655
1,0,-0.001,3,90,0,11.48016806,-11.480138,,,,,,,0,0,131.7935685,-11.480138
1,9,0.020,3,90,0,11.35512639,-2.3550964,,,,,,,81,9,5.546479053,-2.3550964
1,0,0.013,0,90,0,16.09000695,-16.089977,,,,,,,0,0,258.8873599,-16.089977
1,4,0.025,0,90,0,16.01915,-12.01912,,,,,,,16,4,144.4592456,-12.01912
1,28,0.028,2,90,0,12.87367778,15.126352,,,,,,,784,28,228.8065248,15.126352
1,0,0.053,3,90,0,11.15922778,-11.159198,,,,,,,0,0,124.5277,-11.159198
1,8,0.010,3,90,0,11.41764722,-3.4176172,,,,,,,64,8,11.68010733,-3.4176172
1,24,0.033,3,90,0,11.28010139,12.719929,,,,,,,576,24,161.7965938,12.719929
1,20,0.006,2,90,0,13.00705556,6.9929744,,,,,,,400,20,48.90169096,6.9929744
1,29,0.006,1,90,0,14.57145556,14.428574,,,,,,,841,29,208.1837477,14.428574
1,0,0.009,0,90,0,16.11501528,-16.114985,,,,,,,0,0,259.6927416,-16.114985
1,13,0.014,2,90,0,12.95703889,0.042991111,,,,,,,169,13,0.001848236,0.042991111
1,12,0.019,3,90,0,11.35929445,0.64073556,,,,,,,144,12,0.410542058,0.64073556
1,0,0.023,0,90,0,16.03165416,-16.031624,,,,,,,0,0,257.0129681,-16.031624
1,0,0.051,3,90,0,11.17173195,-11.171702,,,,,,,0,0,124.8069256,-11.171702
1,18,0.061,0,90,0,15.80241111,2.1976189,,,,,,,324,18,4.82952883,2.1976189
1,11,0.025,3,90,0,11.32595,-0.32592,,,,,,,121,11,0.106223846,-0.32592
1,26,0.051,1,90,0,14.30053195,11.699498,,,,,,,676,26,136.8782535,11.699498
1,29,0.055,2,90,0,12.71112361,16.288906,,,,,,,841,29,265.3284587,16.288906
1,25,0.028,2,90,0,12.87367778,12.126352,,,,,,,625,25,147.0484128,12.126352
1,0,0.058,3,90,0,11.12588334,-11.125853,,,,,,,0,0,123.784605,-11.125853
1,14,0.028,0,90,0,16.00247778,-2.0024478,,,,,,,196,14,4.009797192,-2.0024478
1,25,0.010,2,90,0,12.97787916,12.022151,,,,,,,625,25,144.5321147,12.022151
1,19,0.053,0,90,0,15.84825972,3.1517703,,,,,,,361,19,9.933656024,3.1517703
1,26,0.021,2,90,0,12.91535834,13.084672,,,,,,,676,26,171.2086413,13.084672
1,21,0.038,3,90,0,11.24675695,9.7532731,,,,,,,441,21,95.12633616,9.7532731
,,,,,,,,,,,,,sums,28967,1109,12523.23893,110.4642287
,,,,,,,,,,,,,square,,1229881,,12202.34583
,,,,,,,,,,,,,average,,14.4025974,,1.434600373
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
regression of strut rate vs. distance to hens and time from sunrise,,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,,,,,,struts,,resids,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,values,resids,,,,,,,squared,struts,squared,resids
---------,---------,---------,---------,---------,---------,---------,---------,,,,,,,--------,--------,--------,--------
0,29,0.006,2,90,0,14.71075313,14.289267,,,Regression Output:,,,,841,29,204.1831514,14.289267
1,32,0.035,1,90,0,17.51342848,14.486592,,Constant,,,21.164885,,1024,32,209.8613478,14.486592
1,31,0.027,1,90,0,17.61603021,13.38399,,Std Err of Y Est,,,12.233996,,961,31,179.1311883,13.38399
