"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,, ,,,,,,,
"year = all, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,3,0.017,3,89,0,10.9500983,-7.9502183,,9,3,63.20597102,-7.9502183,,,,,
0,14,0.003,3,89,0,12.17376639,1.8261136,,196,14,3.33469088,1.8261136,,,,,
0,11,0.015,3,89,0,11.13364857,-0.13376854,,121,11,0.017894022,-0.13376854,,,,,
0,19,0.020,3,89,0,10.64418131,8.3556987,,361,19,69.81770077,8.3556987,,,,,
0,25,0.015,2,89,0,14.64436512,10.355555,,625,25,107.2375194,10.355555,,,,,
0,14,-0.003,1,88,0,19.86821701,-5.868257,,196,14,34.43644022,-5.868257,,,,,
0,5,0.022,0,89,0,21.17633113,-16.176331,,25,5,261.6736846,-16.176331,,,,,
0,4,0.001,0,89,0,23.0730166,-19.073017,,16,4,363.7799775,-19.073017,,,,,
0,43,0.018,1,89,1,17.97153149,25.028428,,1849,43,626.4222082,25.028428,,,,,
0,17,0.031,3,89,0,9.726430239,7.2734497,,289,17,52.90307054,7.2734497,,,,,
0,1,0.042,2,89,1,12.25821244,-11.258292,,1,1,126.7491388,-11.258292,,,,,
0,12,0.015,3,89,0,11.13364857,0.86623146,,144,12,0.750356942,0.86623146,,,,,
0,17,0.031,3,89,0,9.726430239,7.2734497,,289,17,52.90307054,7.2734497,,,,,
0,4,0.032,3,89,0,9.604063511,-5.6041835,,16,4,31.4068727,-5.6041835,,,,,
0,8,-0.001,2,89,0,16.0515834,-8.0516634,,64,8,64.82928351,-8.0516634,,,,,
0,30,0.001,3,89,0,12.3573166,17.642563,,900,30,311.2600292,17.642563,,,,,
0,5,0.003,0,89,1,22.82828299,-17.828283,,25,5,317.8476747,-17.828283,,,,,
0,0,0.010,3,89,0,11.56193236,-11.562052,,0,0,133.6810465,-11.562052,,,,,
0,28,0.002,1,89,0,19.37874979,8.6212102,,784,28,74.32526531,8.6212102,,,,,
0,21,0.003,1,89,1,19.25638299,1.743577,,441,21,3.040060755,1.743577,,,,,
0,0,0.005,3,89,1,11.99021618,-11.990336,,0,0,143.7681574,-11.990336,,,,,
0,0,0.020,0,89,0,21.35988131,-21.359881,,0,0,456.2445163,-21.359881,,,,,
0,8,0.022,3,89,0,10.52181449,-2.5219345,,64,8,6.360153622,-2.5219345,,,,,
0,0,0.010,3,89,0,11.56193236,-11.562052,,0,0,133.6810465,-11.562052,,,,,
0,0,-0.001,3,89,0,12.54086681,-12.540987,,0,0,157.2763549,-12.540987,,,,,
0,23,0.011,0,88,0,22.15526557,0.84473444,,529,23,0.713576274,0.84473444,,,,,
0,6,0.022,2,89,0,14.09371449,-8.0937945,,36,6,65.50950941,-8.0937945,,,,,
0,0,0.020,3,88,0,10.64418131,-10.644301,,0,0,113.3011438,-10.644301,,,,,
0,0,0.026,3,88,1,10.09353068,-10.093651,,0,0,101.8817905,-10.093651,,,,,
0,36,0.014,0,88,1,21.91053193,14.089468,,1296,36,198.5131085,14.089468,,,,,
0,1,0.037,2,88,1,12.74767961,-11.74776,,1,1,138.009865,-11.74776,,,,,
0,2,0.042,2,88,0,12.3193958,-10.319476,,4,2,106.4915849,-10.319476,,,,,
0,36,0.015,1,88,1,18.21626512,17.783695,,1296,36,316.2598079,17.783695,,,,,
0,41,0.028,1,88,1,17.11496387,23.884996,,1681,41,570.4930339,23.884996,,,,,
0,32,0.000,0,88,1,23.1342,8.8658,,1024,32,78.60240964,8.8658,,,,,
0,36,0.008,1,88,0,18.88928257,17.110677,,1296,36,292.7752674,17.110677,,,,,
0,41,0.004,1,88,0,19.19519958,21.80476,,1681,41,475.4475587,21.80476,,,,,
0,13,0.029,0,88,0,20.56449705,-7.5644971,,169,13,57.22161638,-7.5644971,,,,,
0,39,-0.009,0,88,0,23.92958424,15.070416,,1521,39,227.1174384,15.070416,,,,,
0,0,0.029,3,88,1,9.848797054,-9.8489171,,0,0,97.00116804,-9.8489171,,,,,
0,40,0.009,1,88,1,18.76691576,21.233044,,1600,40,450.8421575,21.233044,,,,,
0,5,0.013,2,88,1,14.88909875,-9.8891787,,25,5,97.79585536,-9.8891787,,,,,
0,31,-0.020,1,88,1,21.33661869,9.6633413,,961,31,93.38016508,9.6633413,,,,,
0,2,0.015,0,88,1,21.78816512,-19.788165,,4,2,391.5714741,-19.788165,,,,,
0,31,0.003,0,88,1,22.88946639,8.1105336,,961,31,65.78075528,8.1105336,,,,,
0,20,-0.015,1,88,1,20.90833488,-0.90837486,,400,20,0.825144886,-0.90837486,,,,,
0,37,0.019,1,88,1,17.91034813,19.089612,,1369,37,364.4132863,19.089612,,,,,
0,4,0.001,2,88,0,15.9292166,-11.929297,,16,4,142.3081269,-11.929297,,,,,
0,15,0.019,3,88,1,10.70536476,4.2945153,,225,15,18.44286166,4.2945153,,,,,
0,20,-0.004,0,88,1,23.50130042,-3.5013004,,400,20,12.25910449,-3.5013004,,,,,
0,35,-0.019,0,88,0,24.78615188,10.213848,,1225,35,104.322691,10.213848,,,,,
0,42,0.007,1,88,1,18.95046598,23.049494,,1764,42,531.2791737,23.049494,,,,,
0,38,0.008,1,88,1,18.82809917,19.171861,,1444,38,367.5602542,19.171861,,,,,
0,18,0.026,1,88,1,17.29851414,0.7014459,,324,18,0.492026351,0.7014459,,,,,
0,35,0.030,0,88,1,20.50331369,14.496686,,1225,35,210.153905,14.496686,,,,,
0,18,0.008,3,88,1,11.68429917,6.3155808,,324,18,39.88656084,6.3155808,,,,,
0,27,0.017,0,88,1,21.60461494,5.3953851,,729,27,29.11018038,5.3953851,,,,,
0,30,-0.008,1,88,0,20.29650083,9.7034592,,900,30,94.15712045,9.7034592,,,,,
0,33,-0.003,0,88,1,23.44011701,9.559883,,1089,33,91.39136297,9.559883,,,,,
0,15,-0.005,0,88,0,23.56248382,-8.5624838,,225,15,73.31612883,-8.5624838,,,,,
0,4,0.018,0,88,1,21.54343149,-17.543432,,16,4,307.7720063,-17.543432,,,,,
0,0,0.031,3,88,1,9.665246875,-9.6653669,,0,0,93.41931731,-9.6653669,,,,,
0,38,0.015,0,88,1,21.84934857,16.150651,,1444,38,260.8435277,16.150651,,,,,
0,38,0.047,1,88,1,15.46301199,22.536948,,1444,38,507.9140252,22.536948,,,,,
0,3,0.045,3,88,0,8.44157881,-5.4416988,,9,3,29.61208583,-5.4416988,,,,,
0,34,-0.009,0,88,1,23.92958424,10.070416,,1156,34,101.4132784,10.070416,,,,,
0,39,0.001,0,88,1,23.0730166,15.926983,,1521,39,253.6687875,15.926983,,,,,
0,4,0.011,0,88,1,22.15526557,-18.155266,,16,4,329.6136835,-18.155266,,,,,
0,22,0.019,1,88,1,17.84916476,4.1507953,,484,22,17.22910162,4.1507953,,,,,
0,14,0.039,2,89,0,12.56412943,1.4357906,,196,14,2.061494647,1.4357906,,,,,
0,34,0.006,1,88,1,19.07283277,14.927127,,1156,34,222.8191205,14.927127,,,,,
0,17,-0.019,3,88,0,14.13163524,2.8682447,,289,17,8.226827659,2.8682447,,,,,
0,2,0.041,0,88,0,19.52437926,-17.524379,,4,2,307.1038593,-17.524379,,,,,
0,11,0.013,0,88,1,21.97171539,-10.971715,,121,11,120.37853,-10.971715,,,,,
0,11,0.024,2,88,0,13.84898086,-2.8490609,,121,11,8.117148012,-2.8490609,,,,,
0,4,0.012,0,88,1,22.09408211,-18.094082,,16,4,327.3958034,-18.094082,,,,,
0,16,0.001,1,88,1,19.5011166,-3.5011566,,256,16,12.25809754,-3.5011566,,,,,
0,13,0.008,2,88,0,15.25619917,-2.2562792,,169,13,5.090795828,-2.2562792,,,,,
0,40,0.008,1,88,1,18.82809917,21.171861,,1600,40,448.2476982,21.171861,,,,,
0,14,-0.008,1,88,0,20.23531743,-6.2353574,,196,14,38.87968191,-6.2353574,,,,,
0,4,-0.008,1,88,1,20.23531743,-16.235357,,16,4,263.5868169,-16.235357,,,,,
0,0,0.050,2,88,0,11.585195,-11.585275,,0,0,134.2185968,-11.585275,,,,,
0,2,0.017,0,88,1,21.60461494,-19.604615,,4,2,384.3409293,-19.604615,,,,,
0,17,-0.006,2,88,0,16.47986723,0.52005278,,289,17,0.270454894,0.52005278,,,,,
0,29,0.028,1,88,0,17.05378051,11.94618,,841,29,142.7112166,11.94618,,,,,
0,4,0.001,2,88,0,15.9292166,-11.929297,,16,4,142.3081269,-11.929297,,,,,
0,32,-0.008,2,88,0,16.72460083,15.275319,,1024,32,233.3353706,15.275319,,,,,
0,1,0.022,2,88,0,14.09371449,-13.093795,,1,1,171.4474675,-13.093795,,,,,
0,20,-0.004,1,88,0,19.92940042,0.070559583,,400,20,0.004978655,0.070559583,,,,,
0,13,-0.008,2,88,0,16.66341743,-3.6634974,,169,13,13.4212132,-3.6634974,,,,,
0,31,-0.008,2,88,1,16.72460083,14.275319,,961,31,203.7847326,14.275319,,,,,
0,8,0.031,0,88,0,20.38094688,-12.380947,,64,8,153.2878486,-12.380947,,,,,
0,6,0.006,0,88,0,22.58354938,-16.583549,,36,6,275.0140974,-16.583549,,,,,
0,35,-0.017,0,88,1,24.66378506,10.336215,,1225,35,106.8373405,10.336215,,,,,
0,31,-0.016,0,88,1,24.54141824,6.4585817,,961,31,41.71327758,6.4585817,,,,,
0,36,0.009,1,88,1,18.76691576,17.233044,,1296,36,296.9778055,17.233044,,,,,
0,0,-0.007,0,88,0,23.74603402,-23.746034,,0,0,563.8741307,-23.746034,,,,,
0,11,0.007,2,88,0,15.37856598,-4.378646,,121,11,19.17254079,-4.378646,,,,,
0,14,-0.006,3,88,1,12.90796723,1.0919128,,196,14,1.192273563,1.0919128,,,,,
0,32,-0.001,0,88,1,23.25656681,8.7434332,,1024,32,76.44762412,8.7434332,,,,,
0,31,-0.017,1,88,1,21.09188506,9.9080749,,961,31,98.16994822,9.9080749,,,,,
0,4,0.008,0,88,1,22.39999917,-18.399999,,16,4,338.5599632,-18.399999,,,,,
0,18,0.024,0,88,1,21.05396432,-3.0539643,,324,18,9.326697946,-3.0539643,,,,,
0,22,0.027,1,88,1,17.17614732,4.8238127,,484,22,23.26916896,4.8238127,,,,,
0,4,0.013,0,88,1,21.97171539,-17.971715,,16,4,322.98254,-17.971715,,,,,
0,4,0.020,3,88,0,10.64418131,-6.6443013,,16,4,44.14673977,-6.6443013,,,,,
0,37,0.003,1,88,1,19.25638299,17.743577,,1369,37,314.8345248,17.743577,,,,,
0,9,-0.015,0,88,1,24.41905143,-15.419051,,81,9,237.7471337,-15.419051,,,,,
0,5,0.031,0,88,1,20.38094688,-15.380947,,25,5,236.5735306,-15.380947,,,,,
0,33,0.003,2,88,1,15.68448299,17.315437,,1089,33,299.8243585,17.315437,,,,,
0,36,0.010,0,88,0,22.27763236,13.722368,,1296,36,188.3033835,13.722368,,,,,
0,20,0.026,2,89,0,13.66543068,6.3344893,,400,20,40.12575469,6.3344893,,,,,
0,0,0.000,0,88,1,23.1342,-23.1342,,0,0,535.1912096,-23.1342,,,,,
0,0,0.019,3,89,0,10.70536476,-10.705485,,0,0,114.6074091,-10.705485,,,,,
0,9,0.039,3,90,0,8.992229435,0.007650556,,81,9,5.8531E-05,0.007650556,,,,,
0,4,0.006,3,90,0,11.92903277,-7.9291528,,16,4,62.87146413,-7.9291528,,,,,
0,0,0.040,3,90,0,8.869862619,-8.8699826,,0,0,78.67659132,-8.8699826,,,,,
0,8,0.044,0,90,0,19.27964563,-11.279646,,64,8,127.2304139,-11.279646,,,,,
0,0,0.016,0,90,0,21.72698176,-21.726982,,0,0,472.0617468,-21.726982,,,,,
0,20,0.062,3,90,0,6.973177114,13.026703,,400,20,169.6949911,13.026703,,,,,
