LEK ,LEK,,    ,,LEFT TAG,LEFT TAG,RIGHT TAG,RIGHT TAG,,MORPHOLOGY,,,,,,,,,,,,HEMATOMAS,,LICE,,,COMMENTS,,,FECAL SAMPLES,,,,BLOOD SAMPLES-HEMATOCRIT,,,,,,,,,,,,,,,,,,,
NUMBER,NAME,breed,DATE,TIME,COLOR,NUMBER,COLOR,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WEIGHT (G),TOTAL,TAIL,WING,KEEL,TARSUS,TOE,COMB ,BILL,BILL,COMB,AIR SAC,COMBS,AIR SACS,BACK OF,NUMBER ,NUMBER ON,DIARRHEA,,,,,,,,,PLASM,,,,,TOTAL,#DAYS LEK,# DAYS,PROPORTION OF,,,PLASM,,,,,,
,,,,,,,,,AGE,WITH BAG,LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH,LENGTH,DEPTH,COLOR,COLOR,,,HEAD,ON COMBS,AIR SACS,,,,MITES,SPORES,COCCIDIA,ANY OTHER,,TRYPS,,P,L,H,PCV (mm),VOLUME (mm),OBSERVED,ON LEK,DAYS ON LEK,,,,,,,,,
________________,______________________________,_,_,_,____________________________________________________________________,,,,,,______________________________________________________________,,,,,___________________________________________________________________,,,,,_____________________________________________________________________,,,,,,_____________________________________________,,,_____________,__________,_,_,_,_,_,_,_,_,_,___________________,_________________________,,________________,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON BREEDING MALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cordingly,0,16 Apr 87,3:45,red,196,red,108,adult,2900,,,,,,,,,,,yellow,,+,,,7,,,,-,+,-,,,-,0,+?,,,12,30,,,,110,0.055555556,0,,,,,,
5,Cordingly,0, 8 Apr 87,3:00,red,196,red,108,adult,3250,770,293,306,136,71,72,25,40.6,22.2,yellow,yellow,-,+,-,0,0,,,,-,+,-,,,-,0,,,,3,12.5,3,1,0.333333333,111,0.14285714,0,,,,,,
2,North Lek,0,27 Mar 87,,white,450,red,110,adult,3400,753,316,312,138,70,71,22.5,36.7,21.3,green,,,,,0,0,,,,+,+,-,,,,1,,,,,,18,1,0.055555556,114,0,1,,,,,,
8,Mud Springs,0,12 Apr 87,4:32,red,113,red,111,adult,3000,740,319,322,121,73,67,23.1,38.45,22.5,olive yellow,bistre yellow,-,+,-,0,0,,,,,,,,,,0,,,,,,7,1,0.142857143,117,0.28571429,0,,,,,,
8,Mud Springs,0,12 Apr 87,6:45,orange, 24,red,114,adult,3200,680,320,312,145,75,69,25.1,39.6,23.5,olive yellow,bistre yellow,-,-,-,0,0,yes,,,,,,,,-,0,+?,+,+,7.5,11.5,,,,121,0.42857143,0,,,,,,
6,Broken Wing,0, 7 Apr 87,,white,412,red,117,juv,2800,700,280,291,131,72,60,18.9,34.9,20.65,olive yellow,lemon/bistre yellow,+,+,-,1,0,,,,-,+,-,,,-,0,,,,10.5,15,7,2,0.285714286,122,0,0,,,,,,
6,Broken Wing,0, 7 Apr 87,,purple,521,red,121,juv,3400,729,295,294,133,73,66,24.6,38.15,22.9,olive yellow,bistre yellow,-,+,-,0,,,,,-,+,-,,,-,0,,,,3,5,7,3,0.428571429,179,0,0,,,,,,
6,Broken Wing,0,14 Apr 87,4:06,purple,521,red,121,juv,3050,,,,,,,,,,,,-,-,+,0,0,,big red blotches back of head,,-,+,-,,,-,1,,,,14,27.5,,,,180,0.125,1,,,,,,
7,Sybille Springs,0, 8 Apr 87,4:28,red,125,red,122,adult,3500,780,338,306,147,69,68,23.25,42.75,24.1,olive yellow,chrome yellow,+,+,_,0,0,,,,,,,,,-,1,,,,8,14.5,,,,182,0.125,1,,,,,,
4,South Fetterman,0,13 Apr 87,3:42,red,190,red,179,adult,3200,765,302,335,130,69,71,24.1,36.1,21.5,yellow/green,yellow,-,+,-,0,2,,,,-,+,-,,,-,0,,,,8,11.5,,,,185,0.625,0,,,,,,
1,Long Lake,0,18 Apr 87,5:50,blue,257,red,180,adult,3125,795,305,322,132,67,69,23.8,37,21.6,yellow/green,yellow,-,-,-,0,0,,,,-,+,-,,,-,0,+?,,+,3,21.5,8,1,0.125,195,0.25,0,,,,,,
1,Long Lake,0,18 Apr 87,5:30,orange, 83,red,182,adult,2950,730,229,303,135,71,69,23.1,40.8,22.1,yellow/green,yellow,+,+,-,0,0,,fiesty,,+,-,-,,,-,0,+?,+?,+,5,31,8,1,0.125,198,0.25,0,,,,,,
1,Long Lake,0,18 Apr 87,5:05,white,486,red,185,adult,3000,745,270,305,132,70,70,21.7,39,22.7,green,yellow/gray,+,-,-,0,0,,fiesty,,+,+,-,,,-,0,+?,,,15,27.5,8,5,0.625,20,0.42857143,0,,,,,,
3,Windmill Dam,0, 3 Apr 87,,purple,572,red,195,adult,3000,751,293,289,129,65,69,23.7,33.9,19.5,,,+,-,+,,,,,,-,-,-,,,-,0,,,,8,17,4,1,0.25,200,0,0,,,,,,
3,Windmill Dam,0,15 Apr 87,5:05,purple,572,red,195,adult,2700,,,,,,,,,,,,,,,,1,,,,-,-,-,,,-,0,,,,11,13,,,,202,0.83333333,0,,,,,,
3,Windmill Dam,0, 3 Apr 87,,green,400,red,198,adult,3300,757,287,297,128,72,71,23,36.5,21.6,,,,,,0,1,,,,+,+,-,,,-,0,,,,8,19,4,1,0.25,204,0,0,,,,,,
6,Broken Wing,0, 9 Apr 87,,orange, 21,orange,20,adult,3250,726,323,320,143,78,67,25.55,40,22.65,olive yellow,bistre yellow,-,+,-,0,1,,,,-,+,-,,,-,1,,,,13,18.5,7,3,0.428571429,206,0,1,,,,,,
9,Mule Creek Junction,0,31 Mar 87,3:12,orange, 34,red,200,juv,2800,717,241,290,133,70,68,23.3,36,22.2,,,,,,,1,,,,-,+,-,,,-,0,,,,6.5,13,,,,209,0,0,,,,,,
2,North Lek,0,13 Mar 87,,blue,201,blue,202,adult,,790,316,295,135,70,71,24,35.7,21.9,,,,,,,,,pleasant,,-,-,-,,,,1,,,+,,,18,15,0.833333333,214,0.375,1,,,,,,
1,Long Lake,0,16 Mar 87, ,purple,504,blue,204,juv,2500,684,239,303,127,70,71,17,37.5,19.6,apple green,xxxx,,,,,,,,,-,+,-,,,,0,,,,,,,,,215,0,0,,,,,,
1,Long Lake,0,18 Mar 87,,blue,207,blue,206,adult,3300,743,300,288,129,72,73,24.1,36.8,21,xxxx,xxxx,+,-,+,,,,stressed out prior to release,,+,+,-,,,-,0,+?,,,,,,,,216,0,0,,,,,,
2,North Lek,0,28 Mar 87,,white,410,blue,209,juv,2500,,,,,,,,,,,,,,,,,,,,-,+,-,,,,0,,,+,,,,,,219,0,0,,,,,,
2,North Lek,0,27 Mar 87,,white,410,blue,209,juv,2750,720,230,290,137,69,72,21.4,39,22.1,yellow,,,,,,,yes,,,+,+,-,,,,0,,,+,,,,,,223,0,0,,,,,,
1,Long Lake,0, 5 Apr 87,,orange, 16,blue,214,adult,3800,774,309,316,135,71,68,25.1,38.85,23.95,apple green,chrome yellow,-,+,-,-,-,,,,-,+,-,,,-,0,+?,,,10,14,16,6,0.375,224,0.16666667,0,,,,,,
8,Mud Springs,0,11 Apr 87,4:05,blue,221,blue,215,adult,3200,695,328,311,146,71,67,21.9,40.4,22,olive yellow,bistre yellow,++,+,-,0,0,,,,,,,,,-,0,,,,12,16,,,,252,0.5,0,,,,,,
1,Long Lake,0, 5 Apr 87,,white,422,blue,216,adult,3000,710,292,320,146,70,77,24,36.3,22,xxxxx,xxxx,,,-,-,+,,,,-,+,-,,,-,1,,,,11,18.5,,,,256,0,1,,,,,,
7,Sybille Springs,0, 8 Apr 87,3:45,blue,220,blue,219,adult,3500,725,318,306,133,69,68,24.2,39.2,22.95,olive yellow,bistre yellow,+,+,-,0,1,,,,,,,,,-,0,,,,6.5,12.5,,,,259,0.5,0,,,,,,
8,Mud Springs,0,11 Apr 87,3:47,white,425,blue,223,adult,3000,720,300,300,128,64,65,25.7,38.2,22.7,olive yellow,bistre yellow,+,-,-,0,1,,,,,,,,,-,0,,,,7.5,11,,,,262,0,0,,,,,,
6,Broken Wing,0,10 Apr 87,2:51,red,124,blue,224,adult,3350,733,304,313,153,70,62,26.4,39.5,23.95,olive yellow,bistre yellow,-,-,-,0,0,,air sacs even color,,-,+,-,,,-,1,,,,3,12.5,6,1,0.166666667,263,0.25,1,,,,,,
2,North Lek,0,19 Apr 87,7:10,white,478,blue,252,adult,3050,763,280,296,132,70,68,23.2,37.7,21.1,yellow/green,yellow/green,+,+,-,0,0,,,,-,+,-,,,-,1,,,,10,17,2,1,0.5,264,0,1,,,,,,
1,Long Lake,0,18 Apr 87,7:15,purple,559,blue,256,?,2700,715,235,309,140,70,73,21.7,36.5,21.3,yellow,yellow,+,-,-,0,0,,fiesty,,-,+,-,,,-,0,+?,,,11,32.5,,,,267,0.5,0,,,,,,
4,South Fetterman,0,12 Apr 87,4:35,white,493,blue,259,adult,3400,790,310,326,139,65,71,23.5,37.7,22.5,green,yellow,+,+,-,0,0,,,,-,+,-,,,-,0,,,,12.5,19,4,2,0.5,268,0.25,0,,,,,,
4,South Fetterman,0,13 Apr 87,,orange, 89,blue,262,adult,3400,818,316,319,131,70,68,25.5,38.7,22.7,yellow,yellow,-,-,-,0,0,,,,-,+,-,,,-,0,,+,,9,15,,,,269,0.21428571,0,,,,,,
4,South Fetterman,0,17 Apr 87,2:15,orange, 89,blue,262,adult,2900,,,,,,,,,,,,,,,,,,,,-,+,-,,,-,0,,+,,7.5,21.5,,,,270,0,0,,,,,,
4,South Fetterman,0,12 Apr 87,3:35,blue,266,blue,263,adult,3400,785,345,308,140,69,70,23.1,35.4,21.4,yellow/green,yellow,-,-,-,0,1,,,,-,+,-,,,-,0,+?,+,,6,16.5,4,1,0.25,289,0.5,0,,,,,,
4,South Fetterman,0,17 Apr 87,3:42,blue,266,blue,263,adult,2800,,,,,,,,,,,,,,,,,,,,-,+,-,,,-,1,,,,7.5,24,,,,291,0,1,,,,,,
5,Cordingly,0,11 Apr 87,4:00,blue,265,blue,264,juv,2900,682,234,307,130,70,69,22.5,37.3,22.2,yellow/green,yellow/green,-,-,-,0,0,,,,-,+,-,,,-,1,+?,,,8,11.5,,,,292,0,1,,,,,,
8,Mud Springs,0, 9 Apr 87,7:20,red,192,blue,267,adult,3200,777,328,310,133,70,68,22.9,38.4,22.6,yellow green,yellow,-,+,+,0,0,,,,,,,,,-,0,,,,6.5,16,8,4,0.5,295,0,0,,,,,,
3,Windmill Dam,0, 3 Apr 87,,orange, 32,blue,268,adult,3300,770,300,301,130,66,68,21.7,38.4,22.7,,,,+,,,1,,,,-,+,-,,,-,0,,,+,10,20,4,1,0.25,296,0,0,,,,,,
1,Long Lake,0,10 Apr 87,5:00,red,191,blue,269,adult,3400,762,310,304,137,70,73,23.8,38.5,22.5,green,yellow/green,+,-,-,0,0,,,,-,+,-,,,-,0,,,,7,13,14,3,0.214285714,297,0.42857143,0,,,,,,
2,North Lek,0, 4 Apr 87,,green,399,blue,270,juv,2700,607,271,291,140,70,64,22.4,38.01,20.77,yellow,yellow/gray,-,+,-,,,,,,-,+,-,,,-,0,,,,8,18,,,,298,0.14285714,0,,,,,,
4,South Fetterman,0,17 Apr 87,4:25,red,149,blue,289,adult,2850,806,341,300,140,74,65,21.7,39.2,27.55,olive yellow,bistre yellow,-,-,-,0,1,,,,-,+,-,,,-,1,,+,,10,24.5,2,1,0.5,299,0.42857143,1,,,,,,
7,Sybille Springs,0,15 Apr 87,4:20,red,123,blue,291,juv,2300,633,247,293,138,70,71,21.65,37.6,24.8,yellow olive,bistre yellow,++,+,-,0,0,,sacsgray at edges,,,,,,,,0,+?,,+,,,,,,300,0.14285714,0,,,,,,
7,Sybille Springs,0,17 Apr 87,,orange, 25,blue,292,adult,3100,,,,,,,,,,,,,,,,0,,,,,,,,,-,0,+?,,+?,8,30,,,,301,0.22222222,0,,,,,,
7,Sybille Springs,0,15 Apr 87,5:20,orange, 25,blue,292,adult,3100,742,335,328,148,75,68,23.5,37.65,22.9,yellow olive,bistre yellow,+,+,-,0,0,,even sac color,,,,,,,,1,+?,,+?,,,,,,304,0,1,,,,,,
7,Sybille Springs,0,17 Apr 87,5:46,purple,597,blue,295,adult,3100,,,,,,,,,,,,,,,,0,yes,,,,,,,,,1,,,,,,,,,307,0.14285714,1,,,,,,
7,Sybille Springs,0,15 Apr 87,4:55,purple,597,blue,295,adult,3100,721,339,321,128,72,68,22.97,40.4,20.7,yellow olive,bistre yellow,-,+,-,0,0,,even sac color,,,,,,,,0,,,,,,,,,311,0,0,,,,,,
7,Sybille Springs,0,15 Apr 87,4:39,green,345,blue,296,juv,2600,569,219,307,130,72,68,24.8,38.75,22.4,olive yellow,bistre yellow,++,+,-,0,3,,,,,,,,,,0,,,,,,,,,312,0.71428571,0,,,,,,
8,Mud Springs,0,12 Apr 87,5:50,purple,600,blue,297,juv,3000,660,270,307,135,70,69,22.1,39.4,22.1,yellow olive,bistre yellow,+,+,-,0,5,yes,,,,,,,,,0,,,,,,7,3,0.428571429,313,0,0,,,,,,
8,Mud Springs,0,12 Apr 87,,orange, 13,blue,298,adult,3200,730,231,313,127,71,68,25.65,36.75,23.6,olive green,bistre yellow,+,+,+,0,4,,blood under left wing,,,,,,,-,0,,,,9.5,14.5,7,1,0.142857143,314,0.28571429,0,,,,,,
7,Sybille Springs,0,15 Apr 87,3:47,white,417,blue,299,adult,3000,780,338,325,127,71,61,25.45,41.4,25.15,olive yellow,bistre yellow,-,+,+,0,0,,,,,,,,,,1,+?,,+?,,,7,3,0.428571429,316,0.14285714,1,,,,,,
8,Mud Springs,0,12 Apr 87,,green,350,blue,300,adult,3200,697,325,311,129,75,66,25.5,39.9,22.3,olive yellow,bistre yellow,-,+,-,0,0,,,,,,,,,,0,,,,,,7,1,0.142857143,322,0,0,,,,,,
2,North Lek,0,19 Apr 87,7:30,green,302,green,301,adult,3000,,,,,,,,,,,,,,,0,0,,,,-,+,-,,,-,0,,,,10.5,21.5,18,4,0.222222222,323,0,0,,,,,,
2,North Lek,0,13 Mar 87,,green,302,green,301,adult,3400,790,303,312,121,70,71,20.7,36.6,21.7,,,,,,,,,fiesty,,-,-,-,,,,1,,,,,,,,,324,0,1,,,,,,
1,Long Lake,0,18 Mar 87,,green,305,green,304,juv,2400,703,248,310,129,68,73,20.3,36.1,21.1,xxxxx,xxxx,-,-,,-,-,,gray tongue,,+,+,-,,,-,0,+?,,,,,,,,325,0.63157895,0,,,,,,
6,Broken Wing,0, 5 Apr 87,,white,448,green,307,adult,3100,767,300,318,129,70,70,22.3,37.5,21.5,,,,,,0,0,,,,+,+,-,,,-,0,+?,,+,6,16,7,1,0.142857143,349,0,0,,,,,,
