"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
0,11.863095,-0.007816634,2.547619,90,0,0,14.50703,-2.6439347,,140.733023,11.863095,6.990390698,-2.6439347,,,,,,
,36,-0.028,1,89,,0,25.770945,10.229055,,1296,36,104.6335662,10.229055,,,,,,
0,18,-0.029166667,1,90,0,0,25.758484,-7.7584838,,324,18,60.19407087,-7.7584838,,,,,,
0,23.857143,-0.015376984,1.7142857,90,1,0,20.636128,3.2210148,,569.1632721,23.857143,10.37493634,3.2210148,,,,,,
,15.8,-0.001,2.2,89,,0,17.245635,-1.445635,,249.64,15.8,2.089860553,-1.445635,,,,,,
,2.25,-0.007,2.75,89,,0,13.004354,-10.754354,,5.0625,2.25,115.65613,-10.754354,,,,,,
,31,-0.005,1,89,,0,26.186307,4.8136933,,961,31,23.17164319,4.8136933,,,,,,
0,25,-0.020833333,3,90,0,0,10.872594,14.127406,,625,25,199.5836003,14.127406,,,,,,
0,4.5,-0.021354167,3,90,0,0,10.863249,-6.3632485,,20.25,4.5,40.49093147,-6.3632485,,,,,,
,11,-0.005,3,89,,0,11.152964,-0.15296354,,121,11,0.023397845,-0.15296354,,,,,,
1,2.8333333,-0.021875,2.3333333,90,1,0,15.86571,-13.032376,,8.027777589,2.8333333,169.8428242,-13.032376,,,,,,
0,28.5,-0.005902778,3,90,0,0,11.140503,17.359497,,812.25,28.5,301.3521361,17.359497,,,,,,
3,2.6666667,-0.010416667,3,90,0,0,11.059507,-8.3928404,,7.111111289,2.6666667,70.43976998,-8.3928404,,,,,,
0,24.833333,-0.013310185,1.6666667,90,0,0,21.0312,3.8021332,,616.6944279,24.833333,14.45621687,3.8021332,,,,,,
0,0,-0.002777778,3,90,0,0,11.196577,-11.196577,,0,0,125.3633365,-11.196577,,,,,,
0,0,-0.009027778,3,90,0,0,11.084429,-11.084429,,0,0,122.8645663,-11.084429,,,,,,
1,14.875,0.002690972,2,90,0,0,18.812416,-3.9374158,,221.265625,14.875,15.50324318,-3.9374158,,,,,,
,16.125,-0.014,2,89,,0,18.508682,-2.3836823,,260.015625,16.125,5.681941307,-2.3836823,,,,,,
0,34,0.005208333,1.5,87,0,0,22.616441,11.383559,,1156,34,129.5854155,11.383559,,,,,,
0,30.333333,-0.002546296,1,88,1,0,26.23615,4.0971832,,920.1110909,30.333333,16.78691017,4.0971832,,,,,,
0,10,-0.009722222,3,88,0,0,11.071968,-1.0719679,,100,10,1.149115179,-1.0719679,,,,,,
0,16.857143,-0.001686508,2,88,1,0,18.733868,-1.8767251,,284.1632701,16.857143,3.522097101,-1.8767251,,,,,,
0,26.833333,-0.002314815,2.1666667,88,1,0,17.469642,9.3636912,,720.0277599,26.833333,87.67871289,9.3636912,,,,,,
0,31,-0.016493056,1,88,0,0,25.985895,5.0141055,,961,31,25.14125397,5.0141055,,,,,,
0,18,-0.010648148,2.3333333,88,0,0,16.06716,1.9328399,,324,18,3.735870079,1.9328399,,,,,,
0,11.666667,-0.000694444,2.3333333,88,1,0,16.245766,-4.5790991,,136.1111189,11.666667,20.96814857,-4.5790991,,,,,,
0,13.6,-0.030972222,2.8,90,1,0,12.194208,1.4057924,,184.96,13.6,1.976252272,1.4057924,,,,,,
1,19.664557,-0.007877673,1.2444444,88,0,0,24.302823,-4.6382665,,386.694802,19.664557,21.51351613,-4.6382665,,,,,,
1,15.25,-0.015625,1.5,88,0,0,22.242616,-6.9926156,,232.5625,15.25,48.89667293,-6.9926156,,,,,,
1,26.5,-0.019791667,2.5,88,0,0,14.65014,11.84986,,702.25,26.5,140.419182,11.84986,,,,,,
1,20.6,-0.002777778,2.2,88,0,0,17.210745,3.3892554,,424.36,20.6,11.48705217,3.3892554,,,,,,
1,19,0.005902778,3,88,0,0,11.352337,7.6476627,,361,19,58.48674477,7.6476627,,,,,,
0,27.5,-0.016666667,1.5,88,1,0,22.223924,5.2760757,,756.25,27.5,27.83697479,5.2760757,,,,,,
0,37.25,-0.022048611,1,88,1,0,25.886208,11.363792,,1387.5625,37.25,129.1357686,11.363792,,,,,,
0,23.666667,-0.020833333,2.3333333,88,0,0,15.884401,7.7822658,,560.1111269,23.666667,60.56366098,7.7822658,,,,,,
1,21,0.001388889,1,88,0,0,26.306762,-5.3067617,,441,21,28.16171974,-5.3067617,,,,,,
1,26,-0.005555556,2,88,0,0,18.664443,7.3355569,,676,26,53.81039503,7.3355569,,,,,,
1,36.25,0.035590278,1,87,0,0,26.920459,9.3295409,,1314.0625,36.25,87.0403334,9.3295409,,,,,,
0,17.2,-0.004583333,1.6,87,0,0,21.688972,-4.4889723,,295.84,17.2,20.15087231,-4.4889723,,,,,,
1,0,0.005555556,3,87,0,0,11.346107,-11.346107,,0,0,128.7341441,-11.346107,,,,,,
0,21.857143,-0.009027778,1.5714286,88,1,0,21.824015,0.033128337,,477.7347001,21.857143,0.001097487,0.033128337,,,,,,
1,32,-0.008055556,1.2,88,1,0,24.633752,7.366248,,1024,32,54.2616096,7.366248,,,,,,
0,23.154514,-0.005308586,1.8026175,88,1,0,20.152739,3.001775,,536.1315186,23.154514,9.010653151,3.001775,,,,,,
0,9.5,0.003472222,2.5,88,0,0,15.067579,-5.5675793,,90.25,9.5,30.99793926,-5.5675793,,,,,,
0,24.590278,-0.004756128,1.642094,88,0,0,21.369421,3.2208566,,604.6817721,24.590278,10.37391724,3.2208566,,,,,,
0,35,0.01875,1,88,0,0,26.618283,8.3817168,,1225,35,70.25317652,8.3817168,,,,,,
