"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
1,12,-0.041203704,3,90,0,0,12.104621,-0.1046213,,144,12,0.010945616,-0.1046213,,,,,,
1,22.125,-0.015885417,2.625,90,0,0,11.742755,10.382245,,489.515625,22.125,107.7910112,10.382245,,,,,,
0,11.863095,-0.007816634,2.547619,90,0,0,11.249307,0.61378846,,140.733023,11.863095,0.376736274,0.61378846,,,,,,
0,18,-0.029166667,1,90,0,0,28.283048,-10.283048,,324,18,105.7410762,-10.283048,,,,,,
0,23.857143,-0.015376984,1.7142857,90,1,0,19.841851,4.0152923,,569.1632721,23.857143,16.12257225,4.0152923,,,,,,
0,25,-0.020833333,3,90,0,0,9.1054917,15.894508,,625,25,252.6353846,15.894508,,,,,,
0,4.5,-0.021354167,3,90,0,0,9.182174,-4.682174,,20.25,4.5,21.92275337,-4.682174,,,,,,
1,2.8333333,-0.021875,2.3333333,90,1,0,15.242403,-12.40907,,8.027777589,2.8333333,153.9850183,-12.40907,,,,,,
0,28.5,-0.005902778,3,90,0,0,6.907266,21.592734,,812.25,28.5,466.2461616,21.592734,,,,,,
3,2.6666667,-0.010416667,3,90,0,0,7.5718458,-4.9051792,,7.111111289,2.6666667,24.06078298,-4.9051792,,,,,,
0,24.833333,-0.013310185,1.6666667,90,0,0,19.964952,4.8683814,,616.6944279,24.833333,23.70113746,4.8683814,,,,,,
0,0,-0.002777778,3,90,0,0,6.4471722,-6.4471722,,0,0,41.56602938,-6.4471722,,,,,,
0,0,-0.009027778,3,90,0,0,7.3673597,-7.3673597,,0,0,54.27798895,-7.3673597,,,,,,
1,14.875,0.002690972,2,90,0,0,14.617328,0.25767184,,221.265625,14.875,0.066394777,0.25767184,,,,,,
0,13.6,-0.030972222,2.8,90,1,0,12.393304,1.2066957,,184.96,13.6,1.456114512,1.2066957,,,,,,
,,,,,,,,,sums,7189.032223,365.863095,1531.7166,-14.79312129,,,,,,
,,,,,,,,,squares, ,133855.8043, ,218.8364376,,,,,,
,,,,,,,,,averages, ,13.06653911, ,-0.52832576,,,,,,
,,,,,,,,,,28,,,,,,,,,
,,,,,,,,,, ,, ,,,,,,,
0,16,0.004166667,2,90,0,1,14.400062,1.5999383,,256,16,2.559802564,1.5999383,,,,,,
0,7,0.001041667,2.5,90,0,1,10.372495,-3.3724954,,49,7,11.37372522,-3.3724954,,,,,,
1,10.166667,-0.001736111,2.1666667,90,0,1,13.773241,-3.6065743,,103.3611179,10.166667,13.00737818,-3.6065743,,,,,,
0,21.666667,-0.05,3,90,0,1,13.3997,8.2669667,,469.4444589,21.666667,68.34273842,8.2669667,,,,,,
0,12.3,-0.018541667,2.6,90,0,1,12.358218,-0.058217583,,151.29,12.3,0.003389287,-0.058217583,,,,,,
,,,,,,,,,sums,1029.095577,67.133334,95.28703367,2.829617717,,,,,,
,,,,,,,,,squares,,4506.884534,,8.006736424,,,,,,
,,,,,,,,,averages,,13.4266668,,0.565923543,,,,,,
