,,,,,,ave.,,,,,,,,,,AVE,PREDICTED,,,,,TIME,,,,,,,,,,,AND DIFFERENCE FROM SUNRISE,,,,,,,,,
 ,,,TAG NUMBERS,,STRUTS,STRUTS,,,,,,POOLED,AVG,,,,VALUES,,,,,FROM,DISTANCE,VALUES,,,, , ,,,,,Regression Output:,,,,,,,,
PLASM,LEK NAME,,RIGHT,LEFT,/5 MIN,BY BIRD,SUNRISE,TIME,SUNRISE,TO HENS,,RESIDS,RESIDS,,,,FROM REGR,RESIDS,,,,,,PREGRESS,,,, ,,, ,,Constant,,,26.9561,,,,,,
1,LONG LAKE,,R,O,5,10.83333333,06:47,07:05,0.013,2,,-9.53,,,,,16.74,-11.74,-5.97,,,,,14.53,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,R,O,0,,06:47,07:40,0.037,2,,-11.64,-8.19,,,,13.14,-13.14,,,,,,11.64,,,,,,,,,,,,,,,,,,
1,BROKEN WING,,R,R,25,25,06:26,06:44,0.013,0,,2.42,2.42,,,,25.895,-0.89,,,,,,22.58,,,,,,,,,,,,,,,,,,
1,SOUTH FETTERMAN,,R,R,38,,06:37,07:34,0.040,0,,18.64, ,,,,15.89,22.11,,,,,,19.36,,,,,,,,,,,,,,,,,,
1,SOUTH FETTERMAN,,R,R,37,,06:37,06:48,0.008,1,,17.87,,,,,19.04,17.96,,,,,,19.13,,,,,,,,,SF and Distance to hens,,,,,,,,,
1,SOUTH FETTERMAN,,R,R,35,18.6,06:33,06:54,0.015,0,,12.67, ,,,,19.59,15.41,0.44,,,,,22.33,,,,,,,,,,Regression Output:,,,,,,,,
1,SOUTH FETTERMAN,,R,R,38,,06:37,07:05,0.019,0,,16.25,16.36,,,,18.87,19.13,,,,,,21.75,,,,,,,,,Constant,,,26.5343,,,,,,
1,MUD SPRINGS,,R,R,6,6,05:55,06:11,0.011,0,,-16.74,-16.74,,,,20.11,-14.11,-14.11,,,,,22.74,,,,,,,,,Std Err of Y Est,,,10.9044,,,,,,
1,NORTH LEK,,W,B,34,20,06:23,07:03,0.028,3,,25.31,,,,,12.89,21.11,3.50,,,,,8.69,,,,,,,,,R Squared,,,0.3842,,,,,,
1,NORTH LEK,,W,B,14,,06:07,06:19,0.008,0,,-9.07,8.12,,,,20.52,-6.52,,,,,,23.07,,,,,,,,,No. of Observations,,,247.0000,,,,,,
1,VIEW POINT,,W,W,0,0,06:09,06:21,0.008,3,,-11.01,-11.01,,,,15.78,-15.78,-15.78,,,,,11.01,,,,,,,,,Degrees of Freedom,,,245.0000,,,,,,
1,SYBILLE SPRINGS,,Y,O,20,,05:54,06:15,0.015,1,,1.69,,,,,18.01,1.99,,,,,,18.31,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,Y,O,37,17.75,06:25,06:30,0.003,1,,17.37,,,,,19.66,17.34,-0.74,,,,,19.63,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,Y,O,38,,06:20,07:08,0.033,1,,21.92,13.66,,,,15.23,22.77,,,,,,16.08,,,,,,,,,WIND AND RAW STRUT DATA REGRESSEION,,,,,,,,,
1,LONG LAKE,,31,470,30,30.00,06:35,07:07,0.022,0,,8.58,8.58,,,,18.46,11.54,11.54,,,,,21.42,,,,,,,,,,Regression Output:,,,,,,,,
1,LONG LAKE,,82,W485,3,3.00,06:12,06:08,-0.003,2,,-13.35,-13.35,,,,13.952,-10.95,,,,,,16.35,,,,,,,,,Constant,,,21.7553,,,Constant,,,24.0656
1,CORDINGLY,,108,R196,0,0.00,06:15,06:25,0.007,3,,-11.17,-11.17,,,,6.506,-6.51,,,,,,11.17,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,114,O24,15,15.00,06:40,06:48,0.006,0,,-8.40,-8.40,,,,26.484,-11.48,,,,,,23.40,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,180,B257,1,,06:00,06:09,0.006,2,,-14.28,,,,,13.185,-12.19,,,,,,15.28,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,180,B257,12,6.50,06:04,05:52,-0.008,2,,-5.01,-9.64,,,,14.424,-2.42,,,,,,17.01,,,,,,,,,,,,,,,,,,
