DATA FILE TO COMPARE STRUTTING FREQUENCY WITH DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,BREEDING STATUS,,,,,,
0=NOT INFECTED,,,1=BREEDER,,,,,,
1=INFECTED,,,0=NON-BREEDER,,,,,,
3=UNKNOWN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BREED,MALARIA,DATE,/5 MIN,RESIDS,,REGRESSION ON ACTUAL DATA,,,BREEDERS
0,0,415,23,13.303509,,,,,
0,1,411,19,3.736621,,,,,
0,0,405,30,15.10922,,,,,
0,0,507,23,9.8436628,,,,,
0,0,425,0,-11.293343,,,,,
0,0,411,6,-2.7383798,,,,,
0,0,507,22,6.3795892,,,,,
0,1,410,1,-8.5368058,,,,,
0,1,423,9,-2.1868863,,,,,
0,1,422,1,-8.430349,,,,,
0,1,427,27,11.645731,,,,,
0,1,425,0,-12.251454,,,,,
0,1,423,11,0.82445333,,,,,
0,1,502,3,-7.2820035,,,,,
0,1,423,0,-12.783738,,,,,
0,1,412,10,-2.5863918,,,,,
0,1,418,29,18.292169,,,,,
0,1,415,47,28.862287,,,,,
0,1,414,40,21.596145,,,,,
0,0,425,8,-12.122731,,,,,
0,0,411,19,-2.5066691,,,,,
0,0,502,16,5.9309101,,,,,
0,1,409,37,17.691262,,,,,
0,1,417,25,2.4819913,,,,,
0,1,513,6,-16.624466,,,,,
0,1,409,38,16.014275,,,,,
0,1,410,35,12.641676,,,,,
0,1,327,14,-8.8373792,,,,,
0,0,504,8,-8.3656084,,,,,
0,1,512,20,1.2235465,,,,,
0,1,503,0,-13.491275,,,,,
0,1,403,5,-10.354269,,,,,
0,1,404,18,-6.5406881,,,,,
0,1,416,34,23.398626,,,,,
0,1,406,19,2.8473052,,,,,
0,1,427,0,-12.091769,,,,,
0,1,503,1,-14.833324,,,,,
0,1,421,0,-12.198226,,,,,
0,1,417,32,11.999293,,,,,
0,1,428,9,-15.381003,,,,,
0,1,429,12,-4.9511208,,,,,
0,1,424,5,-7.6240532,,,,,
0,1,413,15,-8.0502928,,,,,
0,1,416,37,17.371892,,,,,
0,1,428,3,-13.525294,,,,,
0,1,413,30,8.2271889,,,,,
0,1,424,38,20.660713,,,,,
0,1,403,0,-15.833324,,,,,
0,1,428,6,-17.422892,,,,,
0,1,425,18,-2.7459044,,,,,
0,1,502,0,-8.6851514,,,,,
0,1,422,18,-0.79202056,,,,,
0,0,423,0,-10.814288,,,,,
0,0,418,10,1.8471326,,,,,
0,1,507,36,22.242583,,,,,
0,0,507,35,25.463194,,,,,
0,1,423,11,0.1857125,,,,,
0,0,502,5,-6.9853124,,,,,
0,1,418,0,-8.8448366,,,,,
0,1,410,24,13.771225,,,,,
0,1,415,20,2.4477997,,,,,
0,0,502,20,12.006818,,,,,
0,3,414,12,1.1324841,,,,,
0,3,422,16,-0.20592319,,,,,
0,1,419,21,-3.1148608,,,,,
0,1,414,24,8.486046,,,,,
0,1,411,29,9.2122068,,,,,
0,1,412,28,5.4819913,,,,,
0,1,412,22,-0.99706438,,,,,
0,1,422,0,-11.453028,,,,,
0,1,426,5,-11.472065,,,,,
0,1,416,25,9.1666756,,,,,
0,1,414,31,14.527935,,,,,
0,1,512,0,-20.601786,,,,,
0,1,413,23,7.1134472,,,,,
0,0,410,0,-8.365781,,,,,
0,0,407,5,-11.966688,,,,,
0,0,411,31,8.6949049,,,,,
0,0,417,2,-11.438046,,,,,
0,0,422,10,-4.3961575,,,,,
0,0,405,25,5.0525216,,,,,
0,0,329,14,-7.3469839,,,,,
0,0,419,13,-10.263206,,,,,
0,0,325,6,-6.0917692,,,,,
0,0,402,12,-12.593916,,,,,
0,0,403,32,12.584806,,,,,
0,0,402,3,-20.848719,,,,,
0,0,410,23,6.1021076,,,,,
0,0,405,27,5.6153547,,,,,
0,0,410,29,14.459724,,,,,
0,0,329,17,-7.0616324,,,,,
0,0,417,8,-8.3656084,,,,,
0,0,402,21,-0.66635431,,,,,
0,0,407,32,14.873627,,,,,
0,0,426,34,9.9383676,,,,,
0,0,428,0,-12.357911,,,,,
0,0,503,23,-0.79549042,,,,,
0,0,415,28,3.4593119,,,,,
0,0,413,39,20.010633,,,,,
0,0,329,2,-19.293755,,,,,
0,0,325,14,-8.6244656,,,,,
0,0,403,37,16.147639,,,,,
0,0,401,14,-6.160392,,,,,
0,0,401,13,-3.31238,,,,,
0,0,428,1,-9.7078307,,,,,
0,0,418,20,3.3150212,,,,,
0,0,416,12,-10.571237,,,,,
0,0,428,13,-3.0994664,,,,,
0,0,416,43,24.383232,,,,,
0,0,417,40,25.657071,,,,,
0,0,413,26,11.603843,,,,,
0,0,407,26,9.4747064,,,,,
0,0,408,11,-2.4912747,,,,,
0,0,421,0,-12.198226,,,,,
0,0,415,26,3.5352197,,,,,
0,0,417,35,13.972387,,,,,
0,0,415,32,10.86593,,,,,
0,0,407,24,-0.86005847,,,,,
0,0,401,0,-15.513954,,,,,
0,0,412,32,9.4819913,,,,,
0,0,418,12,-6.5635399,,,,,
0,0,417,11,-4.4607256,,,,,
0,0,402,0,-22.46478,,,,,
0,0,327,11,-12.103521,,,,,
0,0,417,7,-7.1832439,,,,,
0,0,406,41,14.968917,,,,,
