"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
"year = 1989, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder file and lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,struts/,time,dist,,,predicted,,,,,,,,strut,,resids,,,
malaria,five min,sunrise,to hens,year,breed,values,resids,,,,,,,squared,strut,squared,resids,,
---------,---------,---------,---------,---------,---------,---------,---------,,,,,,,--------,--------,--------,--------,,
0,3,0.04,3,89,0,11.95664,-8.9566401,,,,,,,9,3,80.221401,-8.9566401,,
0,2,0.00,2,89,0,14.383925,-12.383925,,,,,,,4,2,153.36161,-12.383925,,
0,17,0.07,3,89,1,12.76582,4.2341805,,,,,,,289,17,17.928284,4.2341805,,
0,8,0.00,0,89,1,20.915704,-12.915704,,,,,,,64,8,166.81541,-12.915704,,
0,19,0.00,3,89,1,11.309296,7.6907035,,,,,,,361,19,59.146921,7.6907035,,
0,11,0.02,3,89,0,11.618256,-0.61825592,,,,,,,121,11,0.38224038,-0.61825592,,
0,0,0.01,3,89,0,11.382858,-11.382858,,,,,,,0,0,129.56946,-11.382858,,
0,8,0.01,3,89,0,11.45642,-3.45642,,,,,,,64,8,11.946839,-3.45642,,
0,16,0.04,3,89,0,12.015489,3.9845105,,,,,,,256,16,15.876324,3.9845105,,
0,0,0.03,2,89,0,15.119543,-15.119543,,,,,,,0,0,228.60058,-15.119543,,
0,26,0.02,0,89,0,21.268801,4.7311994,,,,,,,676,26,22.384248,4.7311994,,
0,12,0.00,0,89,0,20.900992,-8.9009918,,,,,,,144,12,79.227655,-8.9009918,,
0,31,0.00,1,89,1,17.532116,13.467884,,,,,,,961,31,181.3839,13.467884,,
0,19,-0.01,2,89,0,14.295651,4.7043488,,,,,,,361,19,22.130898,4.7043488,,
0,0,0.02,3,89,1,11.588831,-11.588831,,,,,,,0,0,134.30101,-11.588831,,
0,2,0.00,3,89,0,11.221022,-9.2210224,,,,,,,4,2,85.027253,-9.2210224,,
0,10,0.02,3,89,0,11.559406,-1.5594065,,,,,,,100,10,2.4317486,-1.5594065,,
0,47,0.02,1,89,1,17.944062,29.055938,,,,,,,2209,47,844.24755,29.055938,,
0,27,0.01,3,89,0,11.426995,15.573005,,,,,,,729,27,242.51847,15.573005,,
0,13,0.03,3,89,0,11.927215,1.0727846,,,,,,,169,13,1.1508669,1.0727846,,
0,38,0.04,1,89,0,18.400145,19.599855,,,,,,,1444,38,384.15433,19.599855,,
0,11,0.05,3,89,0,12.162613,-1.162613,,,,,,,121,11,1.351669,-1.162613,,
0,24,0.01,1,89,0,17.811651,6.1883494,,,,,,,576,24,38.295668,6.1883494,,
