,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
47,18-04-1989,4:30,6:03,LL,White/Cole,Spotlighting,,1,-,-,,-,Clear,??,none birds flew,6:07,69,9,See below (referring to notes),6:47,6:57,G,R,17,3,,-,UM,,,2,2 breeding centers on lek 1 w/2 hens 1w/7. All hens gone by 7:01. Left ~7:05 (written at top of page). Swift fox (written at top of page)
,,,,,,,,,,,,,,,,6:40,65,9,,6:12,6:17,B,Y,28,1,,Chased UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:10,6:15,R,B,19,3,,(?),,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,R,W,31,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,R,G,4,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,Y,G,14,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,O,R,3,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:32,6:37,O,W,19,,1 walked by,-,,,,,
48,23-04-1989,5:35,,LL,White/Heller/Habot/Cole/Klein,Canon netting,Calm,45,-,-,,-,Clear,,,5:42,69,0,,,,,,,,,,,,,,
49,25-04-1989,"3:25, obs 5:30",6:11,LL,White/Pilerson,Spotlighting,0 to 5,15,-,-,~32,- light fog,Clear,?,,5:33,25,0,(?) to SW,,,,,,,,,,,,,Saw golden eagle at ridge at 6:54. At 5:46 ~ 40 birds flew to (south?) of lek. Left 6:50 (written at the top of the page)
50,27-04-1989,5:51,6:10,LL,White/?/Kleene,Spotlighting,5 to 10,90,-,-,~40,stormy,Clear,,,6:06,18,0,,6:13,6:18,Y,Y,0,3,,-,,,,,"6:41 - Female wandered off, lek drifted towards lake. Left 7:00 (written at top of page)"
,,,,,,,,,,,,,,,,6:30,19,1,,6:13,6:18,B,Y,0,3,,-,,,,,
,,,,,,,,,,,,,,,,6:49,19,1,Hen behind lek walking away,6:24,6:29,R,W,16,2,Female wandered within 10 m,Wing fight w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:31,6:36,W,R,20,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:38,6:43,B,G,25,3,,-,,,,,
51,29-04-1989,At night,6:05,LL,White/Nickel/Szumski/Hemigain,Spotlighting,5 to 10,90,-,-,,-,Clear,,,5:35,50,1,Hen flew,,,,,,,,,,,,,"5:53 - ~40 birds flew SW - only ~ 10 birds left - don't know why? Remaining birds began to strut as soon as (?) hit them. Quit observing at 6:20 - (?) were relieved. 
"
,,,,,,,,,,,,,,,,5:55,13,0,W/?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,13,0,,,,,,,,,,,,,,
52,02-05-1989,5:40,6:00,LL,White,None,5 to 10,90,-,-,,Occassional sleet,Clear,Prairie falcon,7:06,5:45,45,6,"18 males flew on arrival, male W/O, G/?",5:49,5:54,W,O,39,1,,This years bird,UM ,,,1,"Drawing show relative locations of birds on scan. Y/Y in standoff w/UM male most of morning. Left 7:20 (written at top of page). Swainson's hawks flew over - grouse not disturbed.  Sunrise seen behind clouds at 6:05. Prairie hawk came back and dove at birds 7:07, came back again and dove at 7:0(?), birds sat still, birds not disturbed. "
,,,,,,,,,,,,,,,,6:31,47,4,,5:55,6:00,Y,Y,0,3,,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,7:15,46,2,Hen wandering all over!,6:00,6:05,B,Y,28,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:05,6:10,W,B,17,2,,Wingbeat w/UM male - won!,,,,,
,,,,,,,,,,,,,,,,,,,,6:12,6:17,B,G,27,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,B,W,13,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,G,O,11,3,,-,,,,,
53,03-05-1989,5:45,5:56,LL,White/Kuchen/Heup,None,10 to 15,40,-,-,,-,Clear,? ,6:11,5:47,64,5,O/G male,6:00,6:05,B,Y,20,1,,chased off UM,,,,,"6:39 - hens wandered off. 6:45 - after predator disturbance, remaining birds flew. Left 6:45"
,,,,,,,,,,,,,,Prairie falcon,6:45,6:23,,2,,6:01,6:06,W,B,30,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,6:22,W,O,0,1,,-,,,,,
54,04-05-1989,5:34,6:03,LL,White,None,15 to 20,98,-,-,33,occasional snow showers,Clear,,,5:38,62,4,lots of fights,5:55:00 AM,6:00,G,O,8,2,,"lost fight with B/W, chased off juv, standoff wingbeat w/UM male",RB,B,,1,"At one point were 7 hens present. At 7:14 ~20 birds flew. On rop spot, we rocket netted 2x. Left 7:30. "
,,,,,,,,,,,,,,,,,,,,5:49,5:54,RB1121,B,26,1,,-,UM,,,1,
,,,,,,,,,,,,,,,,,,,"Female G/R, B/Y, 1-1 (?)",6:09,6:14,B,W,26,1,,-,UM,,,1,
,,,,,,,,,,,,,,,,7:21,37,1,Hens wandering off,6:01,6:06,R,B,21,1,,-,UM,,,1,
,,,,,,,,,,,,,,,,,,,,6:00,6:05,G,R,22,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:11,6:16,Y,G,5,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,G,Y,20,,wandered by w/n 20 m,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,6:22,Y,R,19,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,G,W,26,1,wandered by w/n 5m,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:35,6:40,O,R,2,3,,"Fight w/OW and UM male, standoff w/UM male",,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,B,G,11,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,RW,O,27,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,O,O,15,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:10,7:15,W,B,35,1,wandered by w/n 5 m,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,Y,Y,22,3,,-,,,,,
55,07-05-1989,5:34,5:51,LL,White/Heelb,None,0 to 5,0,-,-,,-,Clear,,6:23,5:37,65,6,,5:46,5:51,RB,B,25,1,,-,UM,,,1,Left 6:35 (written at top of page)
,,,,,,,,,,,,,,,,6:31,10,0,,5:54,5:59,G,O,15,1,,-,RB,B,,2,
,,,,,,,,,,,,,,,,,,,,5:46,5:51,O,W,19,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,5:54,5:59,B,R,6,3,,"Tail very upright, wingbeat w/ B/, G/R chased B/? off ",,,,,
,,,,,,,,,,,,,,,,,,,,5:54,5:59,G,R,14,3,,G/R chased B/? off,,,,,
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:20,R,G,12,3,,Standoff w/RB,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:20,R,B,13,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:18,6:23,W,R,0,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:22,6:27,Y,G,0,3,,- left leg injured - hopping on leg,,,,,
,,,,,,,,,,,,,,,,,,,,6:22,6:27,B,W,1,3,,-,,,,,
56,08-05-1989,5:42,5:54,LL,White/Hutchinson,None,15 to 20,20,-,-,,-,Clear,,6:52,5:47,61,4,,5:50,5:55,W,B,36,3,,-,,,,,"4 males and 2 females flew as we drove in. Left at 7: 40 - only 3 birds left RB/B + 2 hens that can't decide
"
,,,,,,,,,,,,,,,6:17,6:29,39,2,,5:50,5:55,Y,Y,30,3,,-,,,,,
,,,,,,,,,,,,,,,6:35,6:59,16,2,hens at RB B ,5:58,6:03,R,B,0,3,,-,,,,,
,,,,,,,,,,,,,,,,7:04,3,2,hens at RB B ,5:58,6:03,W,R,5,3,,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:06,6:11,O,W,15,2,,standoff with (?),,,,,
,,,,,,,,,,,,,,,,,,,,6:06,6:11,RB,B,0,3,,(?),,,,,
,,,,,,,,,,,,,,,,,,,,6:00,6:05,Y,G,0,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:17,G,R,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:20,B,Y,8,3,Wandered by within 15 m,2 standoff w/same UM male; last standoff with UM,,,,,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,G,O,8,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,RB,B,29,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:49,G,O,6,1,,-,,,,,
57,10-05-1989,5:40,5:53,LL,White,None,15 to 25,20,-,-,,-,Clear - cow on lek,,,5:43,35,1,,5:45,5:50,RB,B,29,1,,-,,,,,Lek had been disturbed earlier - 2 males returning to lek at (?). 5:59 - cows wandering back onto lek. 6:09 cow chased birds off lek. 
,,,,,,,,,,,,,,,,6:03,37,1,,5:50,5:55,G,R,0,2,,Standoff w/UM male whole time,,,,,
,,,,,,,,,,,,,,,,,,,,5:50,5:55,O,W,21,1,,Last stare down with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,5:58,6:00,W,B,20,3,,Couldn't see hen anymore due to cows,,,,,
,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
