,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
58,24-04-1988,5:30,6:39,MUD SPRINGS,MSB + Cody,,1 to 2,70,-,-,,Cold,nearly 100% snow covered,Eagle,6:16,5:42,75,,,,,,,,,,,unmarked,,,2,"6:12 - W/O beat up B/R. Females: W/O. Males: W/R, B/R, W/O, B/Y, W/Y, B/W, W/G, B/B. Eagle at 6:16 at least 300 birds flushed. 7:32 B/B chased away from female cluster by two different males. "
,,,,,,,,,,,,,,,,5:55,81,101,,,,,,,,,,B,R,,1,
,,,,,,,,,,,,,,,,6:25,3,0,eagle flushed at 6:16,,,,,,,,,W,O,,1,
,,,,,,,,,,,,,,,,7:41,53,,Birds began (?) before in gradually (?) at S center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:49,,24,,,,,,,,,,,,,,
59,25-04-1988,6:01,,MUD SPRINGS,W. Gera,,light breeze,0,-,-,,Cool,Wet - snow melted. ,,,6:01,82,75,,,,,,,,,,unmarked,,,3,"Marked males: R/Y, Y/B, Y/G, W/G, G/Y, W/B, W/R. No marked females. R/Y in frequent aggresive encounters with other males. Won in all cases except had standoff with Y/R (?). Clear wins Y/G (2x). Immediately, R/Y went from mounting a female to another female that harrased him during copulation. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,Y,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
60,27-04-1988,5:20,,MUD SPRINGS,Heimgartner,,10,75,-,-,35,,,Eagle,,5:45,40,12,,,,,,,,,,,,,,Eagle flew by and all the birds flew off. 
,,,,,,,,,,,,,,,,5:50,32,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
"61, 62",28-04-1988,5:25,,MUD SPRINGS,"Rich Greer, supervised by Patricia White",,,10,-,-,,Sleepy,,,,5:40,34,7,East,5:55,6:00,B,W,31,1,,chased several juv males - had 3 females ,,,,,"W/B, R/Y, and G/O all next to each other w/ females at them. 6:49 - all birds but 7 flew S. Why?? G/R present - in middle of count when birds flew, but not strutting. "
,,,,,,,,,,,,,,,,6:00,43,5,East,6:16,6:21,G,O,26,1,,chased UM male,,,,,
,,,,,,,,,,,,,,,,6:20,48,4,East,6:28,6:33,W,B,35,1,,hen walked there,,,,,
,,,,,,,,,,,,,,,,6:40,54,1,East,6:22,6:27,R,Y,34,2,,,,,,,
,,,,,,,,,,,,,,,,7:00,46,2,East,6:37,6:42,Y,G,9,1,,,,,,,
,,,,,,,,,,,,,,,,7:20,20,2,East,6:48,6:53,W,?,0,3,,,,,,,
,,,,,,,,,,,,,,,,7:31,16,1,East,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:35,43,3,West,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:39,45,4,West,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:07,37,2,West. Several males wandering to E lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,32,1,West,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:54,6,1,West. All sitting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
63,30-04-1988,5:20,6:27,MUD SPRINGS,Boyce/White,,10 to 15,1,No,No,,Moonlight night - nearly full moon,Dry,,,5:30,86,4,,6:05,6:10,B,R,21,1,,,unmarked,,,7,"Unmarked male copulations - copulated with female W/O at least 3 times. G/O standoff - unmarked male. Marked males: B/R, W/O, W/B, R/Y, O/W, B/W, W/Y, G/O, W/G. Marked females: W/O, /B, W/. "
,,,,,,,,,,,,,,,,5:50,77,12,,6:05,6:10,W,O,5,1,,,,,,,
,,,,,,,,,,,,,,,,6:20,79,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,82,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:55,,,29 males left N area and several from S,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,04-05-1988,2:00,6:00,MUD SPRINGS,Johnson,,5,0,No,No,,Bright moon,Clear,,,5:30,54,9,,,,W,W,,,,,Unmarked,,,1,Video
,,,,,,,,,,,,,,,,6:30,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
