binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Fecal,samples collected Ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
20,1988-04-16,8:49,,LONG LAKE ,,ADULT,MALE,,,,2.95,710,320,20,300,145,70,65,39.1,20,26.2,Olive Yellow,0,Bistre Yellow,0,-,+,-,,Red,Purple,193,563,,TRUE,TRUE,TRUE,,,FALSE,TRUE,FALSE,Couldn't take blood because of sores under wings,,,RECAP 87,
21,1988-04-16,9:26,,LONG LAKE ,,,MALE,,,,2.95,700,315,11,310,152.5,67.6,65,39.9,21,26.5,Yellow Olive,0,Bistre Yellow,0,-,-,+,,Red,Yellow,859,1171,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,77.5
22,1988-04-20,4:02,,LONG LAKE ,,ADULT,MALE,,,,3.515341,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,"Very bloody, maybe airsac puntured?? did not process. Maybe internal (?). Air sac bleeding from right chest, could not find wound, but covered with blood and not very responsive.  ",,,,
23,1988-04-20,4:22,,LONG LAKE ,,JUVENILE,MALE,,,,3.33,657,270,18,291,160,65,65,38.2,20.5,27.1,Greenish Yellow,0,Bistre Yellow,0,-,+,+,,Blue,Green,996,1051,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,Middle tail feathers mising,,,,
24,1988-04-07,9:04,,LONG LAKE ,,ADULT,FEMALE,,,,2.17,543,204,,264,106,63,52,34.05,19.6,17.98,,,,,-,,,,Green,Blue,374,287,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,69.5
25,1988-04-07,8:50,,LONG LAKE ,,ADULT,FEMALE,,,,1.5,545,206,,276,104,58,53,33.7,18.82,17.08,,,,,-,,,,Green,Purple,356,579,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
26,1988-04-07,9:18,,LONG LAKE ,,ADULT,FEMALE,,,,1.995,571,208,,285,105,62,53,32.8,21.4,19,,,,,-,,,,Green ,Orange,360,11,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
27,1988-04-07,9:34,,LONG LAKE ,,ADULT,FEMALE,,,,1.905,531,191,,276,113,60,52,31.75,18.9,16.65,,,,,-,,,,Green,Red,362,134,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,,,,No blood data,69.5
28,1988-04-05,22:00,,LONG LAKE ,,JUVENILE,MALE,,,,2.85,648,227,13,297,137,69,70,38.5,20.8,19.2,Yellow olive,0,Chrome yellow,6,-,-,-,,Orange,Purple,67,536,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,,DIED.,,I screwed up. ,
29,1988-04-07,9:49,,LONG LAKE ,,ADULT,FEMALE,,,,1.5,551,219,,271,113,57,56,32.8,18.2,15.05,,,,,,,,,Green,White,373,468,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,, No blood data,72.75
