,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,5:25,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:50,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:52,3,,R/B remains! (former breeder),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:56,1,,R/B left lek,,,,,,,,,,,,,
20,01-05-1988,6:20,,VIEWPOINT,White,,"5 to 10, gusting",70,-,-,,Full moon overnight,,,,6:21,21,1,,6:35,6:40,R,G,0,3,,-,,,,,6:31 - hens flew away - S. all strutting stopped. R/B standoff w/UM male - clucking + tail wagging but mostly sitting. Hen hanging out w/ 3 UM male. Golden eagle nest blew down. 
,,,,,,,,,,,,,,,,6:40,18,0,Very little activity,6:29,6:31,R,B,10,3,,(?) mate below,,,,,
,,,,,,,,,,,,,,,,,,,,6:35,,R,R,2,3,,-,,,,,
21,04-05-1988,5:25,5:57,VIEWPOINT,Dan Martx,,10 to 15 from north,0,,,,,Clear,hawk,5:36,5:25,20,5,,5:35,-,,Y,4,1,,Hawk then came by,R,B,5:30,1,"Copulation - w/ male ?/G. Female ?/B, Male ?/B, Male ?/G. 5:36 - hawk flew by + all flew away. Hawk unsuccessful. Perched on S ridge from lek (1/4 mile away). 6:10 hawk gone"
22,05-05-1988,5:40,5:59,VIEWPOINT,White,,10 to 15,20,-,-,,Full moon overnight,,,,5:40,21,0,(?) strutting and fighting,,,,,,,,,,,,,"5:47 - all but 5 males flew E - were some northern harriers just below ridge when drove in. Remaining 5 strutted a lot! R/B.  5:57 - 3 more males flew E. Birds that flew only about 100 m to E, but no strutting. Golden eagle on ridge ~1/2 mile away. "
,,,,,,,,,,,,,,,,5:51,5,0,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:59,2,0,-,,,,,,,,,,,,,
23,06-05-1988,4:58,5:58,VIEWPOINT,White,Cannon net,10 to 15 gusty,40,-,-,,N. lights + full moon overnight,,,,5:15,10,0,,,,,,,,,,,,,,At ~ 5:40 most males (8) flew  - may be due to movement of trucks as all were trying to get close enought to see net. Cannon net not fired
,,,,,,,,,,,,,,,,5:32,12,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:44,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:53,8,0,"Some males strutting (mostly juven), many marked",,,,,,,,,,,,,
24,07-05-1988,5:25,,VIEWPOINT,White/Caning,Cannon net,40 to 50,90,-,-,,Wind gusting - high wind warning,,,,5:25,5,0,All flew (or were blown away) from lek,,,,,,,,,,,,,
