"","year_found","month_found","day_found","lek_name","nest_number","temp_F","wind","observers","dogs","cloud_cover_percent","time_search_start_24h","time_search_end_24h","time_found_24h","estimated_distance_from_lek_miles","nest_description","hen_on_nest","how_found","nest_collected","hen_previously_captured","num_eggs","num_eggs_collected","num_eggs_replaced","nest_predated","nest_bush_height","nest_bush_species","nearest_east_neighbor_species","nearest_east_neighbor_distance","nearest_east_neighbor_height","nearest_west_neighbor_species","nearest_west_neighbor_distance","nearest_west_neighbor_height","nearest_north_neighbor_species","nearest_north_neighbor_distance","nearest_north_neighbor_height","nearest_south_neighbor_species","nearest_south_neighbor_distance","nearest_south_neighbor_height","search_notes","year_followup","month_followup","day_followup","time_followup_24h","chicken_eggs_num","new_sage_grouse_eggs_num","hen_caught_followup","blood_sample_followup","hen_on_nest_followup","nest_deserted","nest_predated_followup","predator_type_followup","followup_condition_notes","followup_notes"
"1",1990,5,16,"sybille_springs","SS1",45,"13","White/?","Sadie",30,"12:00",NA,"06:25",0.5,"B/W 2 5 B bushes, dup behind (?) 10m grass","yes","dog","no","no",7,7,NA,"no","0.255","sagebrush","sagebrush",NA,0.255,"sagebrush",0.01,0.2,"sagebrush",0.77,0.205,"sagebrush",0.85,0.27,"Also found 1 hatched nest. clutch size = 8",1990,5,16,"15:00",7,0,NA,"no","no","yes",NA,NA,"hen has practiclly not been back to nest since discovery. Nest undistrurbed.",NA
"2",1990,5,24,"sybille_springs","SS2",70,"10 to 15","White/Huchinson","Sadie",50,"09:30","16:40","15:30",0.25,"B/W 2 (?) sagebrush bushes - unlined nest w/ 3 eggs - very open","yes","hen flush","no","no",3,3,3,NA,"none",NA,"sagebrush",0.15,0.095,"sagebrush",0.155,0.123,"sagebrush",0.71,0.09,"sagebrush",1.15,0.132,NA,1990,5,30,"10:15",2,0,"no","no","no","yes","yes","mammal","recently destroyed - doesn't appear as if hen returned",NA
"3",1990,5,24,"sybille_springs","SS3",70,"10 to 15","White/Huchinson","Sadie",50,"09:30","16:30","16:00",0.25,"b/w 2 ARTR - w/ overhanging deep bowl, well (?)","yes","human","no","yes",8,8,7,NA,"0.215","sagebrush","sagebrush",0.625,0.101,"sagebrush",0.211,0.89,"sagebrush",0,0.215,"sagebrush",0.14,0.09,"1 egg cracked, white (?) hen, blood taken from hen, leg band 5614",1990,5,30,"10:00",7,0,"yes","yes","no","yes",NA,NA,NA,"doesn't appear if hen returned, leg band 5614"
"4",1990,5,28,"north","N1",60,"20 to 25","White/Neitmuth/Hutchinson","Ike",50,"11:15","19:00","16:00",0.5,"deep bowl w/ SB (?) over nest - on E (?) sage on hiv to SW glir","yes","dog","no","no",5,5,5,"no","0.335","sagebrush","sagebrush",0.85,0.27,"sagebrush",0.371,0.12,"sagebrush",1.75,0.11,"sagebrush",0,0.27,"2 dead bird, one dead hen on (?) nest, 3 pud nests, 1 nest (?), 1 female - 3 chicks, 4 male,  2g+2",1990,5,29,"10:00",5,0,"no",NA,"no","yes",NA,NA,"no change",NA
