"left_tag_code","left_tag_colour","left_tag_number","right_tag_code","right_tag_colour","right_tag_number","year","month","day","lek_name","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"G1560","green","1560","B1620","blue","1620","1990",4,"27","north","adult","0","0.282638889","0.254861111","-0.027777778","0","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"12","north","adult","0","0.315277778","0.270833333","-0.044444444","0","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",3,"28","north","adult","0","0.295138889","0.249305556","-0.045833333","0","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"16","north","adult","29","0.267361111","0.265972222","-0.001388889","1","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"14","north","adult","32","0.2625","0.26875","0.00625","1","yes","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"25","north","adult","0","0.279166667","0.256944444","-0.022222222","0","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"04","north","adult","28","0.283333333","0.279166667","-0.004166667","1","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",3,"30","north","adult","6","0.254166667","0.247916667","-0.00625","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"23","north","adult","10","0.259027778","0.261111111","0.002083333","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"18","north","adult","2","0.29375","0.265277778","-0.028472222","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"07","north","adult","17","0.306944444","0.278472222","-0.028472222","2","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",5,"13","north","adult","0","0.252777778","0.239583333","-0.013194444","3","yes","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",5,"02","north","adult","9","0.264583333","0.248611111","-0.015972222","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",5,"07","north","adult","1","0.284027778","0.245138889","-0.038888889","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"23","north","adult","1","0.284027778","0.261111111","-0.022916667","3","no","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",5,"07","north","adult","16","0.296527778","0.245138889","-0.051388889","3","yes","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"10","north","adult","30","0.274305556","0.275","0.000694444","1","yes","yes","NA"
"G1560","green","1560","B1620","blue","1620","1990",4,"15","north","adult","16","0.265972222","0.267361111","0.001388889","3","no","yes","NA"
"G1591","green","1591","G1590","green","1590","1990",4,"15","sybille_springs","adult","29","0.264583333","0.267361111","0.002777778","1","no","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"22","sybille_springs","adult","35","0.291666667","0.263888889","-0.027777778","1","yes","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"15","sybille_springs","adult","37","0.267361111","0.267361111","0","1","no","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"12","sybille_springs","adult","18","0.274305556","0.270833333","-0.003472222","2","yes","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"24","sybille_springs","adult","7","0.285416667","0.259027778","-0.026388889","3","no","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"17","sybille_springs","adult","0","0.294444444","0.265972222","-0.028472222","3","no","no","no"
"G1591","green","1591","G1590","green","1590","1990",4,"15","sybille_springs","adult","41","0.291666667","0.267361111","-0.024305556","1","yes","no","no"
