,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
12,3,1987,4,6,NA,NA,adult,male,broken_wing,NA,NA,green,320,G320,purple,519,P519,NA,NA,NA,NA,3.65,746,314,NA,NA,300,39.9,24.75,135,23.5,71,77,bistre yellow,olive yellow,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,yes,NA,NA,yes,no,yes,no,NA,no,NA,8,NA,3,NA,11,NA,NA,NA,NA,NA,NA,"Airsacs: Left - 1 blood spot, right - 1 spot . blood on tips of combs. No lice back of head . Huge Neck. Large, beautiful, well-behaved"
13,4,1987,4,6,NA,NA,adult,male,broken_wing,NA,NA,orange,15,O15,purple,516,P516,NA,NA,NA,NA,3.45,709,284,NA,NA,317,38.1,23.95,121,26.2,70,69,chrome yellow,yellow olive,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,NA,no,no,yes,no,NA,yes,NA,4,NA,2.5,NA,6.5,NA,NA,NA,NA,NA,NA,"Big gash on right breast - bleeding airsacs: B left 3 red spots, right 4, back of head clean"
14,5,1987,4,6,NA,NA,juven,male,broken_wing,NA,NA,red,118,R118,NA,NA,,NA,NA,NA,NA,3.35,751,295,NA,NA,295,38.9,23.8,150,20.65,73,71,bistre yellow,yellow olive,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,NA,NA,NA,yes,no,yes,no,NA,no,NA,7.5,NA,8,NA,15.5,NA,NA,NA,NA,NA,NA,"broken right wing. Thick neck, sittting weird when approached, right wing seems smaller than left and less connected,very floppy and loose, broken, no lice back of head, no red blotches on air sac, thick neck, (?) wing"
15,6,1987,4,6,NA,NA,juven,female,broken_wing,NA,NA,blue,218,B218,purple,520,P520,NA,NA,NA,NA,1.95,574,190,NA,NA,258,32.8,19.85,121,NA,58,59,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Radio 150.953, no lice back of head"
16,7,1987,4,7,NA,NA,adult,female,broken_wing,NA,NA,blue,212,B212,blue,211,B211,NA,NA,NA,NA,1.85,581,203,NA,NA,255,34.4,18.75,105,NA,61,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ft.Fetterman (written at top of pg)
17,8,1987,4,7,NA,NA,juven,female,broken_wing,NA,NA,green,319,G319,green,318,G318,NA,NA,NA,NA,1.8,563,201,NA,NA,253,31.85,20,101,NA,57,61,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ft.Fetterman (written at top of pg). Head clean
18,9,1987,4,7,NA,NA,adult,female,broken_wing,NA,NA,orange,19,O19,orange,18,O18,NA,NA,NA,NA,1.85,594,220,NA,NA,261,30.55,19,115,NA,60,60,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ft.Fetterman (written at top of pg). Head clean
19,10,1987,4,7,NA,NA,adult,male,broken_wing,NA,NA,orange,17,O17,green,313,G313,NA,NA,NA,NA,3.4,820,332,NA,NA,306,39.95,22.05,141,23.6,72,70,bistre yellow,yellow olive,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,NA,yes,no,yes,no,NA,yes,NA,8,NA,5.5,NA,13.5,NA,NA,NA,NA,NA,NA,Fetterman (written at top of pg). No lice
20,11,1987,4,7,NA,NA,adult,male,broken_wing,NA,NA,NA,NA,NA,green,311,G311,NA,NA,NA,NA,3.35,730,331,NA,NA,314,36.9,22.75,152,25.15,75,61,bistre yellow,yellow olive; chrome yellow on very top edge,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,NA,NA,no,no,yes,no,NA,yes,NA,8.5,NA,7.5,NA,16,NA,NA,NA,NA,NA,NA,"Fetterman (written at top of pg). Scratched off data for left wing tag, note next to it says Left wing covered membrane area completely. air sac: look like (?)skin, 1 spot left sac, back of head clean"
21,12,1987,4,7,NA,NA,adult,male,broken_wing,NA,NA,blue,217,B217,green,312,G312,NA,NA,NA,NA,3.5,748,285,NA,NA,311,36.9,21.05,120,26.8,76,74,bistre yellow,yellow olive,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,no,no,yes,NA,NA,no,no,yes,no,NA,yes,NA,12,NA,11.5,NA,23.5,NA,NA,NA,NA,NA,NA,"Fetterman (written at top of pg). No lice, air sacs - covered in red, could not count, very feisty, bit me"
22,13,1987,4,7,NA,NA,juven,male,broken_wing,NA,NA,purple,521,P521,red,121,R121,NA,NA,NA,NA,3.4,729,295,NA,NA,294,38.15,22.9,133,24.6,73,66,bistre yellow,olive yellow,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,NA,yes,no,yes,no,NA,yes,NA,3,NA,2,NA,5,NA,NA,NA,NA,NA,NA,"No lice. right airsac densly covered in red spots (5 other hematomas), left 6, back of head clean"
23,14,1987,4,7,NA,NA,juven,male,broken_wing,NA,NA,white,412,W412,red,117,R117,NA,NA,NA,NA,2.8,700,280,NA,NA,291,34.9,20.65,131,18.9,72,60,between lemon and  bistre-yellow,olive yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,NA,yes,no,yes,no,NA,yes,NA,10.5,NA,4.5,NA,15,NA,NA,NA,NA,NA,NA,"Big feet. right air sac 9, left 26"
24,15,1987,4,9,NA,NA,adult,male,broken_wing,NA,NA,orange,21,O21,orange,20,O20,NA,NA,NA,NA,3.25,726,323,NA,NA,320,40,22.65,143,25.55,78,67,bistre yellow,olive yellow,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,yes,NA,NA,yes,no,yes,no,NA,yes,NA,13,NA,5.5,NA,18.5,NA,NA,NA,NA,NA,NA,NA
