"","id_number","nest_number","egg_number","lek_name","collecter","female_id","num_eggs_in_clutch","estimated_hatch_month","estimated_hatch_day","actual_hatch_month","actual_hatch_day","general_notes","observation_num","year","month","day","days_after_collection","time24h","length_mm","width_mm","weight_g","change_air_sac_mm","notes"
"1","N1-3","N1","3","north","White",NA,5,6,25,6,24,NA,"0",1990,"5","28","0","16:00","54.3","38","42.99",NA,NA
"2","N1-3","N1","3","north","White",NA,5,6,25,6,24,NA,"1",1990,"5","31","3",NA,NA,NA,"42.76",NA,NA
"3","N1-3","N1","3","north","White",NA,5,6,25,6,24,NA,"2",1990,"6","11","14",NA,NA,NA,"41.03",NA,NA
"4","N1-4","N1","4","north","White",NA,5,6,25,6,23,"pipped 22 June 90","0",1990,"5","28","0","16:00","55.8","39.4","45.6",NA,NA
"5","N1-4","N1","4","north","White",NA,5,6,25,6,23,"pipped 22 June 90","1",1990,"5","31","3",NA,NA,NA,"45.27",NA,NA
"6","N1-4","N1","4","north","White",NA,5,6,25,6,23,"pipped 22 June 90","2",1990,"6","11","14",NA,NA,NA,"43.57",NA,NA
"7","N1-5","N1","5","north","White",NA,5,6,25,6,24,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 ","0",1990,"5","28","0","16:00","58.4","38.6","47.1",NA,NA
"8","N1-5","N1","5","north","White",NA,5,6,25,6,24,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 ","1",1990,"5","31","3",NA,NA,NA,"46.83",NA,NA
"9","N1-5","N1","5","north","White",NA,5,6,25,6,24,"pipped 22 June 90, helped out of shell, was bleeding, died 24 June 1990 ","2",1990,"6","11","14",NA,NA,NA,"44.85",NA,NA
"10","N1-2","N1","2","north","White",NA,5,6,25,NA,NA,"never hatched","0",1990,"5","28","0","16:00","57.7","38.6","47.37",NA,NA
"11","N1-2","N1","2","north","White",NA,5,6,25,NA,NA,"never hatched","1",1990,"5","31","3",NA,NA,NA,"47.12",NA,NA
"12","N1-2","N1","2","north","White",NA,5,6,25,NA,NA,"never hatched","2",1990,"6","11","14",NA,NA,NA,"45.28",NA,NA
"13","N1-2","N1","2","north","White",NA,5,6,25,NA,NA,"never hatched","3",1990,"7","1","34",NA,NA,NA,NA,NA,"opened, chick (?) complete in development "
"14","P2-2-1","P2","2-1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"0",1990,"5","13","0","7:00","58.1","36.7","41.89",NA,NA
"15","P2-2-1","P2","2-1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"1",1990,"5","23","10",NA,NA,NA,"39.77",NA,NA
"16","P2-2-1","P2","2-1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"2",1990,"5","25","12",NA,NA,NA,NA,"none","not fertile"
"17","P2-2-1","P2","2-1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"3",1990,"5","30","17",NA,NA,NA,"38.27",NA,NA
"18","P2-2-1","P2","2-1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"4",1990,"6","11","29",NA,NA,NA,NA,NA,"opened- not fertile "
"19","P2-1","P2","1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"0",1990,"5","11","0","7:00","54.7","37.2","38.93",NA,NA
"20","P2-1","P2","1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"1",1990,"5","23","12",NA,NA,NA,"32.81",NA,NA
"21","P2-1","P2","1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"2",1990,"5","25","14",NA,NA,NA,NA,"none","not fertile"
"22","P2-1","P2","1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"3",1990,"5","31","20",NA,NA,NA,"38.77",NA,NA
"23","P2-1","P2","1","red_butte_pen","Baldwin",NA,1,NA,NA,NA,NA,NA,"4",1990,"6","11","31",NA,NA,NA,NA,NA,"opened- not fertile"
"24","SS1-1","SS1","1","sybille_springs","White",NA,7,6,7,6,10,"pipped 8 June ","0",1990,"5","16","0","18:25","55.1","39.1","45.78",NA,NA
