"binder_pdf_scan_page_","year","month","day","age","sex","lek_name","right_tag_color","right_tag_number","right_tag_code","left_tag_color","left_tag_number","left_tag_code","bird_weight_g","total_length_mm","tail_length_mm","wing_length_mm","bill_length_mm","bill_depth_mm","keel_length_mm","comb_length_mm","tarsus_length_mm","toe_length_mm","cut_feathers","collect","labelled","samples_collected_blood","blood_smear","samples_collected_fecal","samples_collected_ectoparasites","lice_back_of_head","num_lice_back_of_head","hematomas_air_sacs","hematomas_combs","air_sac_color","comb_color","notes","time_start","time_end","observer","capture_technique","weight_bird_and_bag_g","weight_bag_g","num_tail_feathers","num_lice_on_comb","num_lice_on_air_sac","hematomas_num_air_sacs","num_combs","wygf_leg_band","hematoma_group","hematomas_applied_","blood_smears","existing_injuries","handling_injury","stresses_while_handling_describe"
"9","1987","4","7","adult","female","broken_wing","orange","18","O18","orange","19","O19","1.85","594","220","261","30.55","19","115",NA,"60","60","yes","yes","yes","yes","no","yes","yes","no",NA,NA,NA,NA,NA,"Ft.Fetterman (written at top of pg). Head clean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1987","4","7","adult","male","broken_wing","green","313","G313","orange","17","O17","3.4","820","332","306","39.95","22.05","141","23.6","72","70","yes","yes","yes","yes","no","yes","yes","no",NA,NA,NA,"bistre yellow","yellow olive","Fetterman (written at top of pg). No lice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1987","4","7","adult","male","broken_wing","green","311","G311",NA,NA,"","3.35","730","331","314","36.9","22.75","152","25.15","75","61","no","no","no","no","no","no","yes","no",NA,NA,NA,"bistre yellow","yellow olive; chrome yellow on very top edge","Fetterman (written at top of pg). Scratched off data for left wing tag, note next to it says Left wing covered membrane area completely. air sac: look like (?)skin, 1 spot left sac, back of head clean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1987","4","7","adult","male","broken_wing","green","312","G312","blue","217","B217","3.5","748","285","311","36.9","21.05","120","26.8","76","74","yes","yes","yes","no","no","no","yes","no",NA,NA,NA,"bistre yellow","yellow olive","Fetterman (written at top of pg). No lice, air sacs - covered in red, could not count, very feisty, bit me ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1987","4","7","juven","male","broken_wing","red","121","R121","purple","521","P521","3.4","729","295","294","38.15","22.9","133","24.6","73","66","yes","yes","yes","yes","no","yes","yes","no",NA,NA,NA,"bistre yellow","olive yellow","No lice. right airsac densly covered in red spots (5 other hematomas), left 6, back of head clean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1987","4","7","juven","male","broken_wing","red","117","R117","white","412","W412","2.8","700","280","291","34.9","20.65","131","18.9","72","60","yes","yes","yes","yes","no","yes","yes",NA,NA,NA,NA,"between lemon and  bistre-yellow","olive yellow","Big feet. right air sac 9, left 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1987","4","9","adult","male","broken_wing","orange","20","O20","orange","21","O21","3.25","726","323","320","40","22.65","143","25.55","78","67","yes","yes","yes","yes","no","yes","yes","no","1","yes","no","bistre yellow","olive yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1987","4","9","adult","male","broken_wing","purple","523","P523","purple","524","P524","3.5","721","286","302","39","22.45","160","24.2","71","68","yes","yes","yes","yes","no","yes","yes","no",NA,"yes","yes","bistre yellow","olive yellow","Shortened toenail lateral toe of foot ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1987","4","9","adult","male","broken_wing","green","314","G314","green","315","G315","3.35","788","317","325","39.95","22.55","146","25.9","72","76","yes","yes","yes","yes","no","yes","yes","no",NA,"no","yes","bistre yellow","yellow olive","Wing found in wing barrel, sept 25, 1989, by Joe Bohne. Wing well dried - unusual, another bird was shot in 87, 88, or 89. Wing barrel location - 0 everland trail, rt. 230. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1987","4","9","adult","male","broken_wing","white","418","W418","white","423","W423","3.15","744","311","304","38.9","20.9","136","23.3","69","66","yes","yes","yes","yes","no","yes","yes","no",NA,"no","yes","bistre yellow","olive yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1987","4","10","adult","male","broken_wing","blue","224","B224","red","124","R124","3.35","733","304","313","39.5","23.95","153","26.4","70","62","yes","yes","yes","yes","no","yes","yes","no","0","no","no","bistre yellow","olive yellow","Moon too bright, have tried ~5 bird, flush before on them. Birds were strutting int he moonlight. Evil eye, air sacs very even color, no blotches, well-behaved, ""beautiful"" bird ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1987","4","14","juven","male","broken_wing","red","121","R121","purple","521","P521","3.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","yes","yes","0","no","no",NA,NA,"*Recapture. Lice on the back of the head: big red blotches on back of head",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1987","4","14","adult","male","broken_wing","white","414","W414","blue","294","B294","3.5","781","331","295","38.75","24.65","135","228","74","68","yes","yes","yes","yes","no","yes","yes","no",NA,"no","no","bistre yellow","front  -> back; olive yellow; yellow olive","No lice . ""2 bags"" written next to weight ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1987","4","14","adult","male","broken_wing","green","312","G312","blue","217","B217","3.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","yes","no","no",NA,"yes","no",NA,NA,"*Recapture. left sac is covered by hematomas ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1987","4","14","adult","male","broken_wing","white","415","W415","green","348","G348","3.1","892","312","313","37.35","204.05","141","22.75","72","70","yes","yes","yes","yes","no","yes","yes","no","2","yes","yes","bistre yellow","yellow olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1987","4","14","juven","female","broken_wing","white","424","W424","red","112","R112","1.65","548","201","261","31.95","20.4","108",NA,"59","56","no","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,"Radio 150.933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1987","4","14","adult","male","broken_wing","purple","519","P519","green","320","G320","3.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","no","no","0","yes","no",NA,NA,"*Recapture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1987","4","14","juven","female","broken_wing","purple","592","P592","purple","595","P595","1.8","564","201","266","30.65","20.5","122",NA,"64","60","no","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1987","4","19",NA,"female","broken_wing","orange","38","O38","blue","210","B210","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","yes","no",NA,NA,NA,NA,NA,NA,"*Recapture. Radio collar - # worn off . Seems to fly okay w/radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1987","03","31",NA,"male","mule_creek","red","200","R200","orange","34","O34","2.8","717","241","290","36","22.2","133","23.3","70","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One louse on air sac","3:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA
"2","1987","04","01","adult","female","mule_creek","red","199","R199","blue","275","B275","1.5","555","200","255","30.55","18.1","115",NA,"65","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA
