"binder_pdf_scan_page_","year","month","day","age","sex","lek_name","right_tag_color","right_tag_number","right_tag_code","left_tag_color","left_tag_number","left_tag_code","bird_weight_g","total_length_mm","tail_length_mm","wing_length_mm","bill_length_mm","bill_depth_mm","keel_length_mm","comb_length_mm","tarsus_length_mm","toe_length_mm","cut_feathers","collect","labelled","samples_collected_blood","blood_smear","samples_collected_fecal","samples_collected_ectoparasites","lice_back_of_head","num_lice_back_of_head","hematomas_air_sacs","hematomas_combs","air_sac_color","comb_color","notes","time_start","time_end","observer","capture_technique","weight_bird_and_bag_g","weight_bag_g","num_tail_feathers","num_lice_on_comb","num_lice_on_air_sac","hematomas_num_air_sacs","num_combs","wygf_leg_band","hematoma_group","hematomas_applied_","blood_smears","existing_injuries","handling_injury","stresses_while_handling_describe"
"12","1987","4","4","adult","male","north","blue","273","B0273","red","109","R0109","3.2","750","325","299","36","17.45","136","25.66","67","65","yes","yes","yes","yes",NA,"yes","no",NA,NA,NA,NA,"yellow green","yellow","Master Cock. Breeder (written at top). Nape looks fine. Cloaca fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","Red blotches on both air sacs",NA,NA
"13","1987","4","4","juven","male","north","blue","270","B0270","green","399","G0399","2.7","607","271","291","38.01","20.77","140","22.4","70","64","yes","yes","yes","yes",NA,"yes","no",NA,NA,NA,NA,"yellow gray","yellow","Cloaca fine
Nape fine ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","Red blotches + Flea(?) (not collected) on air sac",NA,NA
"14","1987","4","4","adult","male","north","green","398","G0398","purple","573","P0573","3.4","751","329","309","39.96","20.88","150","27.36","72","65","yes","yes","yes","yes",NA,"yes","no",NA,NA,NA,NA,"bright yellow","yellow green","Nape fine ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","Several red blotches on air sacs",NA,NA
"15","1987","4","4","juven","male","north","purple","574","P0574","green","397","G0397","2.6","685","266","303","38.78","20.25","135","21.71","67","65","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yellow","yellow gray","Cloaca fine. Nape fine ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","air sacs red blotches",NA,NA
"16","1987","4","19","juven","male","north","white","482","W482","green","390","G390","3.1","730","239","304","37.6","22.1","132","21.4","70","71","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","yellow","yellow green","Mild case of diarrhea ","8:15",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"17","1987","4","19","juven","male","north","white","479","W479","blue","251","B251","2.8","732","231","309","38.9","21","125","23.3","70","72","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","golden yellow","yellow green",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"18","1987","4","19","juven","male","north","white","480","W480","red","181","R181","2.6","700","216","299","36.7","23.7","132","21","71","65","no","no","no","yes",NA,"yes","yes","no",NA,"no","yes","yellow","yellow",NA,"7:50",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"19","1987","4","19","juven","male","north","green","388","G388","white","481","W481","2.7","715","234","287","38.5","21.4","131","24.5","69","69","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","yellow","green",NA,"7:30",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"20","1987","4","19","adult","male","north","blue","252","B252","white","478","W478","3.05","763","280","296","37.7","21.1","132","23.2","70","68","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","yellow green","yellow green",NA,"7:10",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"21","1987","4","19","adult","male","north","green","301","G301","green","302","G302","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no",NA,"no","no",NA,NA,NA,NA,NA,NA,"Recapture","7:30",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"22","1987","3","29","adult","female","north","orange","8","O8","red","107","R107","1.8","579","185","253","30","18.9","101",NA,"56","57","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,"No Radio -- Goddamn it!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"23","1987","3","29","juven","female","north","orange","7","O7","green","308","G308","1.75","557","185","257","31.5","18.5","105",NA,"58","58","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,"No Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"24","1987","3","27","juven","female","north","green","309","G309","green","310","G310","1.7","582","194","263","30.1","17.9","101",NA,"59","58","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,"RADIO 150.866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"25","1987","3","27","adult","female","north","white","445","W445","white","446","W446","1.8","557","185","258","32.2","17.5","107",NA,"57","61","yes","yes","yes","yes",NA,"no","yes",NA,NA,NA,NA,NA,NA,"RADIO 151.046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"1","1987","04","12","adult","male","south_fetterman","orange","75","O75","orange","96","O96","3.4","777","326","313","36.6","22.1","130","27.5","69","72","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no","yellow green","yellow green",NA,"3:30",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"2","1987","04","12","juven","female","south_fetterman","orange","93","O93","orange","94","O94","1.8","558","184","275","31.1","18.1","98",NA,"58","58","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no",NA,NA,"RADIO 151.124","3:00",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"3","1987","04","12","adult","male","south_fetterman","white","495","W495","white","496","W496","3.3","705","238","308","38","21.9","134","20.8","70","71","no","no","no","no",NA,"no","yes","no",NA,"no","no","yellow","yellow",NA,"4:00",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"4","1987","04","12","adult","male","south_fetterman","blue","263","B263","blue","266","B266","3.4","785","345","308","35.4","21.4","140","23.1","69","70","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no","yellow","yellow green",NA,"3:35",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"no",NA,NA,NA
"5","1987","04","12","adult","male","south_fetterman","orange","29","O29","white","497","W497","3.1","739","295","310","37.4","21.7","122","25","65","68","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no","yellow","green",NA,"4:15",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"6","1987","04","12","adult","male","south_fetterman","blue","259","B259","white","493","W493","3.4","790","310","326","37.7","22.5","139","23.5","65","71","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","yellow","green",NA,"4:35",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"7","1987","04","12","adult","male","south_fetterman","green","394","G394","green","395","G395","3.1","675","239","306","38.5","21.8","133","23.5","69","70","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","yes","gray yellow","yellow green",NA,"5:00",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"8","1987","04","12","juven","female","south_fetterman","white","492","W492","white","494","W494","1.95","569","189","265","31.3","18.4","106",NA,"60","62","yes","yes","yes","yes",NA,"no","yes","no",NA,"no",NA,NA,NA,"RADIO 151.026","5:20",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"9","1987","04","13","adult","male","south_fetterman","red","179","R179","red","190","R190","3.2","765","302","335","36.1","21.5","130","24.1","69","71","yes","yes","yes","yes",NA,"yes","yes","no",NA,"yes","no","yellow","yellow green","caught on lek ","3:42",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"no",NA,NA,NA
"10","1987","04","13","adult","male","south_fetterman","purple","560","P560","purple","561","P561","3.4","810","341","315","35.9","21.1","139","23.2","70","69","yes","yes","yes","yes",NA,"yes","yes","yes",NA,"no","no","golden yellow","yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"no",NA,NA,NA
"11","1987","04","13","adult","male","south_fetterman","blue","262","B262","orange","89","O89","3.4","818","316","319","38.7","22.7","131","25.5","70","68","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no","yellow","yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"12","1987","04","16","juven","male","south_fetterman","orange","85","O85","red","184","R184","2.9","768","267","310","35.8","21.6","135","25","67","68","yes","yes","yes","yes",NA,"yes","yes","no",NA,"no","no","yellow","yellow",NA,"5:50",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"no",NA,NA,NA
"13","1987","04","17","adult","male","south_fetterman","blue","262","B262","orange","89","O89","2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes",NA,"no","no",NA,NA,NA,NA,NA,NA,"RECAPTURE","2:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"14","1987","04","17","adult","female","south_fetterman","white","452","W452","purple","589","P589","1.7","553","210","256","29.5","21.2","121",NA,"61","53","yes","yes","yes","yes",NA,"yes","yes","no",NA,NA,NA,NA,NA,NA,"3:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA
"15","1987","04","17","adult","male","south_fetterman","blue","263","B263","blue","266","B266","2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes",NA,"yes","no",NA,NA,NA,NA,NA,NA,"RECAPTURE","3:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","Rt. tag appeared to be rubbing a sore underwing ",NA,NA
"16","1987","04","17","adult","male","south_fetterman","blue","289","B289","red","149","R149","2.85","806","341","300","39.2","27.55","140","21.7","74","65","yes","yes","yes","yes",NA,"yes","no","no",NA,"no","no","bistre yellow","olive yellow",NA,"4:25",NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,"no",NA,NA,NA
